
Gurobi 12.0.1 (linux64) logging started jeu. 11 juin 2026 10:46:07

Set parameter LogFile to value "Results_BAU_73/Run_73_2026-06-11.log"

Gurobi 12.0.1 (linux64) logging started jeu. 11 juin 2026 10:46:07

Set parameter LogFile to value "Results_BAU_73/Run_73_2026-06-11.log"
Gurobi Optimizer version 12.0.1 build v12.0.1rc0 (linux64 - "Ubuntu 24.04.3 LTS")

CPU model: Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 24 physical cores, 48 logical processors, using up to 48 threads

Non-default parameters:
Method  2
BarHomogeneous  1
Threads  48

Optimize a model with 2305415 rows, 5730439 columns and 11472973 nonzeros
Model fingerprint: 0xc323348f
Coefficient statistics:
  Matrix range     [3e-05, 6e+03]
  Objective range  [1e+00, 1e+04]
  Bounds range     [0e+00, 0e+00]
  RHS range        [2e-06, 1e+06]
Presolve removed 1916895 rows and 5356830 columns (presolve time = 5s)...
Presolve removed 1931890 rows and 5356833 columns
Presolve time: 5.79s
Presolved: 373525 rows, 373606 columns, 2324979 nonzeros

Ordering time: 11.15s

Barrier statistics:
 Dense cols : 66
 AA' NZ     : 1.673e+07
 Factor NZ  : 1.199e+08 (roughly 1.2 GB of memory)
 Factor Ops : 9.803e+10 (roughly 1 second per iteration)
 Threads    : 48

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   2.47870586e+14 -8.28817145e+13  6.55e+10 6.70e+02  5.84e+11    21s
   1   2.20978482e+14 -8.10700724e+13  5.82e+10 4.53e+03  5.26e+11    22s
   2   1.75101960e+14 -8.39979093e+13  4.55e+10 4.27e+03  4.29e+11    22s
   3   1.49410326e+14 -9.30508025e+13  3.81e+10 3.54e+03  3.61e+11    23s
   4   8.15546288e+13 -4.26391895e+13  2.06e+10 1.54e+03  1.03e+11    24s
   5   3.09234872e+13 -1.54589597e+13  7.57e+09 6.11e+02  1.80e+10    25s
   6   1.04118625e+13 -8.41578107e+12  2.37e+09 3.44e+02  4.01e+09    26s
   7   4.72106690e+12 -3.29630736e+12  8.65e+08 1.49e+02  1.05e+09    27s
   8   3.10751400e+12 -1.54319127e+12  4.34e+08 8.01e+01  4.54e+08    28s
   9   1.84351094e+12 -5.24380058e+11  2.33e+08 3.66e+01  1.53e+08    29s
  10   6.97192690e+11 -1.50926263e+11  7.93e+07 1.56e+01  3.16e+07    30s
  11   4.37593831e+11 -6.91020253e+10  4.62e+07 8.38e+00  1.24e+07    31s
  12   2.33683710e+11 -4.85818990e+10  2.36e+07 6.10e+00  5.52e+06    32s
  13   1.27229511e+11 -1.26603753e+10  1.27e+07 2.35e+00  1.63e+06    34s
  14   6.53389025e+10 -4.99678674e+09  6.41e+06 1.29e+00  6.37e+05    35s
  15   2.78072841e+10 -1.06617125e+09  2.57e+06 5.81e-01  1.98e+05    36s
  16   1.54336641e+10 -1.02519925e+09  1.43e+06 2.72e-01  8.27e+04    37s
  17   7.90259174e+09 -5.17547175e+08  7.20e+05 1.65e-01  3.86e+04    38s
  18   7.39151988e+09 -3.87154485e+08  6.73e+05 1.36e-01  3.38e+04    39s
  19   5.29090916e+09 -2.43174838e+08  4.80e+05 9.20e-02  2.22e+04    40s
  20   2.71250123e+09 -1.10771150e+08  2.43e+05 4.76e-02  1.02e+04    41s
  21   1.14951491e+09 -6.26979268e+07  1.02e+05 2.84e-02  4.26e+03    42s
  22   6.00557434e+08 -2.93127039e+07  5.35e+04 1.15e-02  1.93e+03    43s
  23   2.47910386e+08 -1.39236001e+07  2.22e+04 4.98e-03  7.47e+02    44s
  24   1.58690716e+08 -1.20277965e+07  1.41e+04 4.33e-03  4.97e+02    45s
  25   1.29629578e+08 -8.55710503e+06  1.15e+04 3.27e-03  3.92e+02    46s
  26   1.23581964e+08 -6.37980780e+06  1.09e+04 2.60e-03  3.58e+02    47s
  27   8.63486993e+07 -5.65688179e+06  7.59e+03 2.38e-03  2.60e+02    47s
  28   6.81304771e+07 -4.44080538e+06  5.91e+03 2.03e-03  2.06e+02    48s
  29   3.38295703e+07 -2.85238478e+06  2.99e+03 9.65e-04  9.81e+01    50s
  30   1.67159357e+07 -1.47819375e+06  1.49e+03 4.86e-04  4.74e+01    51s
  31   1.24998633e+07 -1.16701633e+06  1.11e+03 3.81e-04  3.52e+01    52s
  32   8.77211624e+06 -7.55353583e+05  7.79e+02 2.39e-04  2.38e+01    53s
  33   7.02040501e+06 -5.98179762e+05  6.23e+02 1.90e-04  1.88e+01    54s
  34   4.69800796e+06 -4.87220136e+05  4.16e+02 1.55e-04  1.29e+01    54s
  35   3.24739452e+06 -3.02520263e+05  2.86e+02 9.81e-05  8.52e+00    55s
  36   2.20962010e+06 -1.60789581e+05  1.94e+02 5.11e-05  5.41e+00    57s
  37   1.41570827e+06 -8.34112866e+04  1.24e+02 2.85e-05  3.31e+00    58s
  38   9.85395371e+05 -5.11167557e+04  8.56e+01 1.99e-05  2.25e+00    59s
  39   9.07321927e+05 -2.37181493e+04  7.86e+01 1.35e-05  1.95e+00    60s
  40   6.79476911e+05 -8.05796900e+03  5.82e+01 1.01e-05  1.43e+00    61s
  41   6.51872596e+05 -2.15200718e+03  5.56e+01 8.91e-06  1.35e+00    62s
  42   4.57541299e+05  5.70939205e+03  3.78e+01 7.55e-06  9.33e-01    63s
  43   3.55910809e+05  1.93834749e+04  2.83e+01 5.23e-06  6.85e-01    64s
  44   3.41858633e+05  2.70129126e+04  2.68e+01 4.20e-06  6.35e-01    65s
  45   3.08545412e+05  3.45625439e+04  2.35e+01 3.49e-06  5.55e-01    66s
  46   2.52075000e+05  4.21103115e+04  1.78e+01 2.86e-06  4.27e-01    67s
  47   2.39104994e+05  4.61462198e+04  1.65e+01 2.46e-06  3.93e-01    68s
  48   2.14708698e+05  5.03341720e+04  1.41e+01 2.20e-06  3.34e-01    70s
  49   1.88889853e+05  5.64730143e+04  1.15e+01 1.82e-06  2.68e-01    71s
  50   1.71664919e+05  6.05155101e+04  9.72e+00 1.63e-06  2.24e-01    72s
  51   1.83022347e+05  6.16981945e+04  1.02e+01 1.10e-06  2.55e-01    73s
  52   1.77391508e+05  6.33844902e+04  9.42e+00 1.25e-06  2.42e-01    74s
  53   1.68105724e+05  6.34774791e+04  8.63e+00 1.24e-06  2.22e-01    75s
  54   1.53626727e+05  6.68144671e+04  7.20e+00 8.14e-07  1.84e-01    77s
  55   1.34337332e+05  6.93304742e+04  5.28e+00 4.97e-07  1.36e-01    78s
  56   1.30047754e+05  7.02915009e+04  4.84e+00 4.32e-07  1.25e-01    79s
  57   1.29731895e+05  7.28701484e+04  4.80e+00 4.65e-07  1.21e-01    80s
  58   1.30597347e+05  7.37541193e+04  4.64e+00 5.51e-07  1.21e-01    81s
  59   1.31459788e+05  7.43689213e+04  4.61e+00 6.89e-07  1.22e-01    83s
  60   1.31835354e+05  7.52023914e+04  4.51e+00 9.76e-07  1.23e-01    84s
  61   1.31366304e+05  7.54029986e+04  4.44e+00 9.92e-07  1.22e-01    85s
  62   1.32802549e+05  7.65177745e+04  4.44e+00 1.38e-06  1.25e-01    87s
  63   1.32726677e+05  7.64968812e+04  4.41e+00 1.31e-06  1.25e-01    88s
  64   1.33372254e+05  7.68876066e+04  4.13e+00 1.44e-06  1.24e-01    89s
  65   1.32452544e+05  7.83753747e+04  4.03e+00 1.61e-06  1.22e-01    90s
  66   1.32024369e+05  7.89913956e+04  3.96e+00 1.66e-06  1.20e-01    92s
  67   1.29846955e+05  7.94787670e+04  3.70e+00 1.42e-06  1.13e-01    93s
  68   1.31564674e+05  8.01834317e+04  3.64e+00 1.66e-06  1.16e-01    94s
  69   1.30233510e+05  8.07540056e+04  3.54e+00 1.77e-06  1.13e-01    95s
  70   1.26436799e+05  8.18797005e+04  3.18e+00 1.56e-06  1.02e-01    97s
  71   1.28360074e+05  8.24181045e+04  3.26e+00 1.64e-06  1.06e-01    98s
  72   1.25314721e+05  8.29805686e+04  2.92e+00 1.64e-06  9.71e-02    99s
  73   1.24782160e+05  8.43409913e+04  2.87e+00 1.69e-06  9.47e-02   100s
  74   1.24547872e+05  8.43990261e+04  2.83e+00 1.60e-06  9.36e-02   102s
  75   1.23230016e+05  8.50319792e+04  2.73e+00 1.79e-06  9.06e-02   103s
  76   1.21672412e+05  8.59011934e+04  2.58e+00 1.59e-06  8.51e-02   104s
  77   1.22317035e+05  8.63728782e+04  2.58e+00 1.72e-06  8.62e-02   105s
  78   1.19945476e+05  8.68312505e+04  2.34e+00 1.70e-06  7.93e-02   107s
  79   1.18079686e+05  8.75579721e+04  2.16e+00 1.55e-06  7.32e-02   108s
  80   1.18103790e+05  8.78571282e+04  2.16e+00 1.70e-06  7.35e-02   109s
  81   1.19217711e+05  8.82070938e+04  2.17e+00 1.82e-06  7.56e-02   110s
  82   1.18803397e+05  8.82869458e+04  2.07e+00 1.70e-06  7.34e-02   111s
  83   1.18601190e+05  8.92820215e+04  2.05e+00 1.80e-06  7.23e-02   113s
  84   1.19034514e+05  8.97201516e+04  2.03e+00 1.88e-06  7.27e-02   114s
  85   1.16609672e+05  8.99269772e+04  1.84e+00 1.60e-06  6.55e-02   115s
  86   1.15798418e+05  9.01615366e+04  1.76e+00 1.35e-06  6.25e-02   116s
  87   1.15949341e+05  9.05823111e+04  1.76e+00 1.61e-06  6.30e-02   118s
  88   1.15787550e+05  9.08120823e+04  1.74e+00 1.64e-06  6.24e-02   119s
  89   1.15522548e+05  9.12727406e+04  1.71e+00 1.26e-06  6.03e-02   120s
  90   1.13742235e+05  9.16039830e+04  1.54e+00 1.40e-06  5.53e-02   121s
  91   1.11054140e+05  9.25719901e+04  1.31e+00 8.22e-07  4.61e-02   123s
  92   1.12294622e+05  9.30344562e+04  1.34e+00 1.04e-06  4.85e-02   124s
  93   1.12261526e+05  9.32064123e+04  1.21e+00 1.08e-06  4.67e-02   125s
  94   1.10998135e+05  9.38247173e+04  1.11e+00 8.63e-07  4.24e-02   126s
  95   1.11885811e+05  9.39878281e+04  1.12e+00 9.81e-07  4.41e-02   128s
  96   1.11108690e+05  9.42644063e+04  1.05e+00 1.01e-06  4.17e-02   129s
  97   1.10168560e+05  9.43318797e+04  9.67e-01 1.00e-06  3.90e-02   130s
  98   1.08690788e+05  9.53110301e+04  8.50e-01 7.79e-07  3.35e-02   131s
  99   1.08197802e+05  9.54424192e+04  8.10e-01 7.55e-07  3.19e-02   133s
