Region,Sector,Technology,Fuel,Type,Unit,PathwayScenario,Year,Value
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,BAU_BAU,2025,4.9999999999999805
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,BAU_BAU,2030,12.000000000000002
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,BAU_BAU,2035,13.99999999999998
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,BAU_BAU,2040,16.000000000000007
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,BAU_BAU,2045,19.999999999999982
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,BAU_BAU,2050,24.00000000000006
Dakar,Power,P_Oil,Power,Production,PJ,BAU_BAU,2022,12.88762879115896
Dakar,Power,P_Oil,Power,Production,PJ,BAU_BAU,2030,10.000000000000023
Dakar,Power,P_Oil,Power,Production,PJ,BAU_BAU,2035,8.000000000000032
Dakar,Power,P_Oil,Power,Production,PJ,BAU_BAU,2040,5.99999999999999
Dakar,Power,P_Oil,Power,Production,PJ,BAU_BAU,2045,7.99999999999999
Dakar,Power,P_Oil,Power,Production,PJ,BAU_BAU,2050,18.0564845187615
Dakar,Power,P_Oil,Power,Production,PJ,BAU_BAU,2025,8.000000000000004
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,BAU_BAU,2022,1.2263390189287846
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,BAU_BAU,2030,0.58821261516099
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,BAU_BAU,2035,0.5882126151609903
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,BAU_BAU,2040,0.5882126151609903
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,BAU_BAU,2045,0.5882126151609889
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,BAU_BAU,2050,0.5882126151609902
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,BAU_BAU,2025,0.15505673039155962
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,BAU_BAU,2025,0.19999999999999987
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,BAU_BAU,2030,0.6529164923076918
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,BAU_BAU,2035,5.66871766551984
