Region,Sector,Technology,Type,PathwayScenario,Year,Value
MTKK,Power,RES_Hydro_Small,PeakCapacity,BAU_BAU,2022,0.0018518518518518521
Dakar,Power,P_Oil,PeakCapacity,BAU_BAU,2022,0.006799277499806233
Thies,Power,P_Oil,PeakCapacity,BAU_BAU,2022,0.00206140350877193
ZS,Power,P_Oil,PeakCapacity,BAU_BAU,2022,0.00010526315789473686
MTKK,Power,P_Oil,PeakCapacity,BAU_BAU,2022,0.00012166666666666667
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2022,0.0012342022116903636
Thies,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2022,0.00019747235387045813
MTKK,Power,RES_Hydro_Large,PeakCapacity,BAU_BAU,2022,0.0018712993834570125
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2022,1.6666666666666667e-5
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2022,0.00025
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2022,0.0010375000000000002
LS,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2022,0.00020833333333333337
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2022,0.0004666666666666667
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,BAU_BAU,2022,0.0013494897959183678
Dakar,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2025,0.0017455956304093638
Thies,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2025,0.0010473573782456172
MTKK,Power,RES_Hydro_Small,PeakCapacity,BAU_BAU,2025,0.0018518518518518524
Dakar,Power,P_Oil,PeakCapacity,BAU_BAU,2025,0.004442982456140349
Thies,Power,P_Oil,PeakCapacity,BAU_BAU,2025,0.0008771929824561402
ZS,Power,P_Oil,PeakCapacity,BAU_BAU,2025,0.00010526315789473686
MTKK,Power,P_Oil,PeakCapacity,BAU_BAU,2025,0.00012166666666666667
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2025,0.0012342022116903636
Thies,Power,P_Coal_Hardcoal,PeakCapacity,BAU_BAU,2025,0.00019747235387045813
MTKK,Power,RES_Hydro_Large,PeakCapacity,BAU_BAU,2025,0.003994098658521735
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2025,0.0002552654436607685
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2025,0.00026762005768705076
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2025,0.0022147098011045764
LS,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2025,0.0003838831455400571
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2025,0.0006626958530880215
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,BAU_BAU,2025,0.0016151618129630456
Dakar,Power,P_Gas_OCGT,PeakCapacity,BAU_BAU,2025,0.0010473573782456302
Dakar,Power,P_Gas_CCGT,PeakCapacity,BAU_BAU,2030,0.004189429512982488
