Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
Dakar,Power,CO2,P_Gas_CCGT,Emissions,BAU_BAU,2025,0.4566934990979987
Dakar,Power,CO2,P_Gas_CCGT,Emissions,BAU_BAU,2030,1.0800000001296008
Dakar,Power,CO2,P_Gas_CCGT,Emissions,BAU_BAU,2035,1.2600000001511982
Dakar,Power,CO2,P_Gas_CCGT,Emissions,BAU_BAU,2040,1.4400000001728008
Dakar,Power,CO2,P_Gas_CCGT,Emissions,BAU_BAU,2045,1.785599999999999
Dakar,Power,CO2,P_Gas_CCGT,Emissions,BAU_BAU,2050,2.125714285310406
Dakar,Power,CO2,P_Oil,Emissions,BAU_BAU,2022,2.5096961326638083
Dakar,Power,CO2,P_Oil,Emissions,BAU_BAU,2025,1.5486957392000005
Dakar,Power,CO2,P_Oil,Emissions,BAU_BAU,2030,1.927656283760003
Dakar,Power,CO2,P_Oil,Emissions,BAU_BAU,2035,1.5355543142240067
Dakar,Power,CO2,P_Oil,Emissions,BAU_BAU,2040,1.1467377015239981
Dakar,Power,CO2,P_Oil,Emissions,BAU_BAU,2045,1.5224128892479987
Dakar,Power,CO2,P_Oil,Emissions,BAU_BAU,2050,3.421347600362173
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,BAU_BAU,2022,0.2558960752575501
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,BAU_BAU,2025,0.030821988341524085
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,BAU_BAU,2030,0.11409217975356678
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,BAU_BAU,2035,0.11368513259550134
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,BAU_BAU,2040,0.11100002736770612
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,BAU_BAU,2045,0.11060895535306027
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,BAU_BAU,2050,0.1102178833936481
Dakar,Power,CO2,P_Gas_OCGT,Emissions,BAU_BAU,2025,0.3875722423084512
Dakar,Power,CO2,P_Gas_OCGT,Emissions,BAU_BAU,2030,0.7433320910003973
Dakar,Power,CO2,P_Gas_OCGT,Emissions,BAU_BAU,2035,1.2399999998759992
Dakar,Power,CO2,P_Gas_OCGT,Emissions,BAU_BAU,2040,1.2399999998760003
Dakar,Power,CO2,P_Gas_OCGT,Emissions,BAU_BAU,2045,1.3639999998636019
Dakar,Power,CO2,P_Gas_OCGT,Emissions,BAU_BAU,2050,1.4879999998512006
Thies,Power,CO2,P_Gas_CCGT,Emissions,BAU_BAU,2025,0.2650720427692991
Thies,Power,CO2,P_Gas_CCGT,Emissions,BAU_BAU,2030,0.017054147404767614
Thies,Power,CO2,P_Gas_CCGT,Emissions,BAU_BAU,2035,0.0014279981044913225
Thies,Power,CO2,P_Gas_CCGT,Emissions,BAU_BAU,2040,0.13544998251932988
Thies,Power,CO2,P_Gas_CCGT,Emissions,BAU_BAU,2045,0.26783999999999786
Thies,Power,CO2,P_Gas_CCGT,Emissions,BAU_BAU,2050,0.26571428566379734
