Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Power,Dakar,Oil,2022,9.42078127876805
Final Energy Demand [TWh],Power,Dakar,Oil,2025,5.813422444444446
Final Energy Demand [TWh],Power,Dakar,Oil,2030,7.235947011111124
Final Energy Demand [TWh],Power,Dakar,Oil,2035,5.764092771111135
Final Energy Demand [TWh],Power,Dakar,Oil,2040,4.3045709516666575
Final Energy Demand [TWh],Power,Dakar,Oil,2045,5.714763097777775
Final Energy Demand [TWh],Power,Dakar,Oil,2050,12.842896397755885
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2025,4.202836227630664
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2030,9.076722875000002
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2035,12.445240940000012
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2040,13.341298287777777
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2045,15.679012345
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2050,17.98941798666664
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2022,0.7569993943247838
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2025,0.0911785242619929
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2030,0.33751088555664016
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2035,0.3363067465255627
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2040,0.32836358823720824
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2045,0.3272067073513796
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2050,0.326049826628943
Final Energy Demand [TWh],Power,Dakar,Gas_Bio,2025,0.058157787091557125
Final Energy Demand [TWh],Power,Dakar,Gas_Bio,2030,0.08750000000000017
Final Energy Demand [TWh],Power,Thies,Oil,2022,1.5879460978418611
Final Energy Demand [TWh],Power,Thies,Oil,2025,0.19155706911644432
Final Energy Demand [TWh],Power,Thies,Oil,2030,0.7235947011111118
Final Energy Demand [TWh],Power,Thies,Oil,2035,0.7205115963888865
Final Energy Demand [TWh],Power,Thies,Oil,2040,0.717428491944446
Final Energy Demand [TWh],Power,Thies,Oil,2045,0.7143453872222217
Final Energy Demand [TWh],Power,Thies,Oil,2050,1.605362049719486
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2025,1.3195541754744087
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2030,0.0848971893905198
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2035,0.007108712188825776
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2040,0.6742830671014026
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2045,1.3333333333333217
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2050,1.3227513224999898
Final Energy Demand [TWh],Power,Thies,Hardcoal,2022,0.034644416725446624
Final Energy Demand [TWh],Power,Thies,Hardcoal,2025,0.022390255846310988
Final Energy Demand [TWh],Power,Thies,Hardcoal,2030,0.0828808662971333
Final Energy Demand [TWh],Power,Thies,Hardcoal,2035,0.08258517187568278
Final Energy Demand [TWh],Power,Thies,Hardcoal,2040,0.23645934963472368
Final Energy Demand [TWh],Power,Thies,Hardcoal,2045,0.08035052060258319
Final Energy Demand [TWh],Power,Thies,Hardcoal,2050,0.0800664311684902
Final Energy Demand [TWh],Power,Thies,Gas_Bio,2025,0.04656604285891771
Final Energy Demand [TWh],Power,Thies,Gas_Bio,2030,0.005407470118524661
Final Energy Demand [TWh],Power,FKK,Gas_Natural,2045,0.2133885777698253
Final Energy Demand [TWh],Power,FKK,Gas_Natural,2050,1.2868102897298852
Final Energy Demand [TWh],Power,ZS,Oil,2022,0.11939464130967692
Final Energy Demand [TWh],Power,ZS,Oil,2025,0.21800334166666654
Final Energy Demand [TWh],Power,ZS,Oil,2030,0.21707841033333308
Final Energy Demand [TWh],Power,ZS,Oil,2035,0.0019472792882286847
Final Energy Demand [TWh],Power,ZS,Oil,2040,0.005685921904340525
Final Energy Demand [TWh],Power,ZS,Oil,2045,0.0002032225558311915
Final Energy Demand [TWh],Power,ZS,Oil,2050,0.0004567059361138011
Final Energy Demand [TWh],Power,ZS,Gas_Natural,2045,1.8605520056861478
Final Energy Demand [TWh],Power,ZS,Gas_Natural,2050,3.015440717788029
Final Energy Demand [TWh],Power,MTKK,Oil,2022,0.10334202257507187
Final Energy Demand [TWh],Power,MTKK,Oil,2025,0.2543372319444445
Final Energy Demand [TWh],Power,MTKK,Oil,2030,0.36179735055555673
Final Energy Demand [TWh],Power,MTKK,Oil,2035,0.00036409315324835743
Final Energy Demand [TWh],Power,MTKK,Oil,2040,0.0010631270243511798
Final Energy Demand [TWh],Power,MTKK,Oil,2045,0.0024293633620145
Final Energy Demand [TWh],Power,MTKK,Oil,2050,0.0054595547421709524
Final Energy Demand [TWh],Power,MTKK,Gas_Natural,2045,0.31038385849438255
Final Energy Demand [TWh],Power,MTKK,Gas_Natural,2050,1.3279983896630212
Final Energy Demand [TWh],Industry,Dakar,Oil,2022,0.34490449344444446
Final Energy Demand [TWh],Industry,Dakar,Oil,2025,0.34373609094444396
Final Energy Demand [TWh],Industry,Dakar,Oil,2030,0.005987727837667137
Final Energy Demand [TWh],Industry,Dakar,Oil,2035,0.003975031467959964
Final Energy Demand [TWh],Industry,Dakar,Gas_Natural,2025,0.0005266387253287678
Final Energy Demand [TWh],Industry,Dakar,Gas_Natural,2030,0.559383344897154
Final Energy Demand [TWh],Industry,Dakar,Gas_Natural,2035,1.2080761959219435
Final Energy Demand [TWh],Industry,Dakar,Gas_Natural,2040,2.070369107886497
Final Energy Demand [TWh],Industry,Dakar,Gas_Natural,2045,3.0455040243396962
Final Energy Demand [TWh],Industry,Dakar,Gas_Natural,2050,4.4850409786364445
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2022,2.123524622986111
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2025,3.1356246325838892
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2030,4.137789084301209
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2035,5.4075942614512265
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2040,7.368206970415483
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2045,10.57276166475306
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2050,15.251383924398464
Final Energy Demand [TWh],Industry,Dakar,Biomass,2022,0.1101370035000006
Final Energy Demand [TWh],Industry,Dakar,Biomass,2025,0.12895520363600016
Final Energy Demand [TWh],Industry,Dakar,Biomass,2030,0.13191585602307207
Final Energy Demand [TWh],Industry,Dakar,Biomass,2035,0.13493547963506497
Final Energy Demand [TWh],Industry,Dakar,Biomass,2040,0.13802088107528124
Final Energy Demand [TWh],Industry,Dakar,Biomass,2045,0.1253875354999169
Final Energy Demand [TWh],Industry,Dakar,Biomass,2050,0.10140459230265178
Final Energy Demand [TWh],Industry,Dakar,Power,2025,0.0995523132428742
Final Energy Demand [TWh],Industry,Dakar,Power,2030,0.21314760750123757
Final Energy Demand [TWh],Industry,Dakar,Power,2035,0.3490967241298788
Final Energy Demand [TWh],Industry,Dakar,Power,2040,0.5497534940680171
Final Energy Demand [TWh],Industry,Dakar,Power,2045,0.8578458720566361
Final Energy Demand [TWh],Industry,Dakar,Power,2050,1.3148197089451072
Final Energy Demand [TWh],Industry,Dakar,Gas_Bio,2025,0.00017554624177625364
Final Energy Demand [TWh],Industry,Diourbel,Oil,2022,0.25867837008333355
Final Energy Demand [TWh],Industry,Diourbel,Oil,2025,0.2578020682083332
