Region,Technology,Type,Year,Value
World,A_Air,Capital Costs,2022,0.5
Dakar,A_Air,Capital Costs,2022,0.5
Diourbel,A_Air,Capital Costs,2022,0.5
Thies,A_Air,Capital Costs,2022,0.5
LS,A_Air,Capital Costs,2022,0.5
FKK,A_Air,Capital Costs,2022,0.5
ZS,A_Air,Capital Costs,2022,0.5
MTKK,A_Air,Capital Costs,2022,0.5
Dakar,A_Rooftop_Residential,Capital Costs,2022,0.01
Diourbel,A_Rooftop_Residential,Capital Costs,2022,0.01
Thies,A_Rooftop_Residential,Capital Costs,2022,0.01
LS,A_Rooftop_Residential,Capital Costs,2022,0.01
FKK,A_Rooftop_Residential,Capital Costs,2022,0.01
ZS,A_Rooftop_Residential,Capital Costs,2022,0.01
MTKK,A_Rooftop_Residential,Capital Costs,2022,0.01
World,CHP_Biomass_Solid,Capital Costs,2022,3300.0
Dakar,CHP_Biomass_Solid,Capital Costs,2022,3300.0
Diourbel,CHP_Biomass_Solid,Capital Costs,2022,3300.0
Thies,CHP_Biomass_Solid,Capital Costs,2022,3300.0
LS,CHP_Biomass_Solid,Capital Costs,2022,3300.0
FKK,CHP_Biomass_Solid,Capital Costs,2022,3300.0
ZS,CHP_Biomass_Solid,Capital Costs,2022,3300.0
MTKK,CHP_Biomass_Solid,Capital Costs,2022,3300.0
World,CHP_Biomass_Solid_CCS,Capital Costs,2022,6342.105
Dakar,CHP_Biomass_Solid_CCS,Capital Costs,2022,6342.105
Diourbel,CHP_Biomass_Solid_CCS,Capital Costs,2022,6342.105
Thies,CHP_Biomass_Solid_CCS,Capital Costs,2022,6342.105
LS,CHP_Biomass_Solid_CCS,Capital Costs,2022,6342.105
FKK,CHP_Biomass_Solid_CCS,Capital Costs,2022,6342.105
ZS,CHP_Biomass_Solid_CCS,Capital Costs,2022,6342.105
MTKK,CHP_Biomass_Solid_CCS,Capital Costs,2022,6342.105
World,CHP_Coal_Hardcoal,Capital Costs,2022,3393.34536958849
Dakar,CHP_Coal_Hardcoal,Capital Costs,2022,3393.34536958849
Diourbel,CHP_Coal_Hardcoal,Capital Costs,2022,3393.34536958849
Thies,CHP_Coal_Hardcoal,Capital Costs,2022,3393.34536958849
LS,CHP_Coal_Hardcoal,Capital Costs,2022,3393.34536958849
FKK,CHP_Coal_Hardcoal,Capital Costs,2022,3393.34536958849
ZS,CHP_Coal_Hardcoal,Capital Costs,2022,3393.34536958849
MTKK,CHP_Coal_Hardcoal,Capital Costs,2022,3393.34536958849
World,CHP_Coal_Hardcoal_CCS,Capital Costs,2022,4125.0
Dakar,CHP_Coal_Hardcoal_CCS,Capital Costs,2022,4125.0
Diourbel,CHP_Coal_Hardcoal_CCS,Capital Costs,2022,4125.0
Thies,CHP_Coal_Hardcoal_CCS,Capital Costs,2022,4125.0
LS,CHP_Coal_Hardcoal_CCS,Capital Costs,2022,4125.0
FKK,CHP_Coal_Hardcoal_CCS,Capital Costs,2022,4125.0
ZS,CHP_Coal_Hardcoal_CCS,Capital Costs,2022,4125.0
MTKK,CHP_Coal_Hardcoal_CCS,Capital Costs,2022,4125.0
World,CHP_Coal_Lignite,Capital Costs,2022,2030.0
Dakar,CHP_Coal_Lignite,Capital Costs,2022,2030.0
Diourbel,CHP_Coal_Lignite,Capital Costs,2022,2030.0
Thies,CHP_Coal_Lignite,Capital Costs,2022,2030.0
LS,CHP_Coal_Lignite,Capital Costs,2022,2030.0
FKK,CHP_Coal_Lignite,Capital Costs,2022,2030.0
ZS,CHP_Coal_Lignite,Capital Costs,2022,2030.0
MTKK,CHP_Coal_Lignite,Capital Costs,2022,2030.0
World,CHP_Coal_Lignite_CCS,Capital Costs,2022,3300.0
Dakar,CHP_Coal_Lignite_CCS,Capital Costs,2022,3300.0
Diourbel,CHP_Coal_Lignite_CCS,Capital Costs,2022,3300.0
Thies,CHP_Coal_Lignite_CCS,Capital Costs,2022,3300.0
LS,CHP_Coal_Lignite_CCS,Capital Costs,2022,3300.0
FKK,CHP_Coal_Lignite_CCS,Capital Costs,2022,3300.0
ZS,CHP_Coal_Lignite_CCS,Capital Costs,2022,3300.0
MTKK,CHP_Coal_Lignite_CCS,Capital Costs,2022,3300.0
World,CHP_Gas_CCGT_Biogas,Capital Costs,2022,1087.7671933403
Dakar,CHP_Gas_CCGT_Biogas,Capital Costs,2022,1087.7671933403
Diourbel,CHP_Gas_CCGT_Biogas,Capital Costs,2022,1087.7671933403
