Type,Region,Dim1,Dim2,Year,Value
SelfSufficiencyRate,Dakar,X,X,2022,1.2999593210026437
SelfSufficiencyRate,Diourbel,X,X,2022,0.12546158725397205
SelfSufficiencyRate,Thies,X,X,2022,1.595263878532014
SelfSufficiencyRate,LS,X,X,2022,0.1138855038599813
SelfSufficiencyRate,FKK,X,X,2022,0.1421004042010416
SelfSufficiencyRate,ZS,X,X,2022,0.20463992999838884
SelfSufficiencyRate,MTKK,X,X,2022,1.0281465887761596
SelfSufficiencyRate,Dakar,X,X,2025,1.1181072523342117
SelfSufficiencyRate,Diourbel,X,X,2025,0.12070047755921802
SelfSufficiencyRate,Thies,X,X,2025,1.3528386738306992
SelfSufficiencyRate,LS,X,X,2025,0.22978438551581185
SelfSufficiencyRate,FKK,X,X,2025,0.2667102550982147
SelfSufficiencyRate,ZS,X,X,2025,0.2576427358636982
SelfSufficiencyRate,MTKK,X,X,2025,1.9605261480986005
SelfSufficiencyRate,Dakar,X,X,2030,1.4729607136670826
SelfSufficiencyRate,Diourbel,X,X,2030,0.09288283430619536
SelfSufficiencyRate,Thies,X,X,2030,0.822478752188824
SelfSufficiencyRate,LS,X,X,2030,0.11397007287796984
SelfSufficiencyRate,FKK,X,X,2030,0.1911861475276839
SelfSufficiencyRate,ZS,X,X,2030,0.15307815398184813
SelfSufficiencyRate,MTKK,X,X,2030,1.567298486738898
SelfSufficiencyRate,Dakar,X,X,2035,1.5419273582596444
SelfSufficiencyRate,Diourbel,X,X,2035,0.08241138492737383
SelfSufficiencyRate,Thies,X,X,2035,0.7323436852745348
SelfSufficiencyRate,LS,X,X,2035,0.40896319223962485
SelfSufficiencyRate,FKK,X,X,2035,0.17593660006703474
SelfSufficiencyRate,ZS,X,X,2035,0.0010362209072978688
SelfSufficiencyRate,MTKK,X,X,2035,1.2855628122728757
SelfSufficiencyRate,Dakar,X,X,2040,1.4047807319935157
SelfSufficiencyRate,Diourbel,X,X,2040,0.06928482728497468
SelfSufficiencyRate,Thies,X,X,2040,0.9725538440064179
SelfSufficiencyRate,LS,X,X,2040,1.034180470401024
SelfSufficiencyRate,FKK,X,X,2040,0.1629665871633432
SelfSufficiencyRate,ZS,X,X,2040,0.0023855135889897707
SelfSufficiencyRate,MTKK,X,X,2040,1.2002131112416035
SelfSufficiencyRate,Dakar,X,X,2045,1.410606654704852
SelfSufficiencyRate,Diourbel,X,X,2045,0.058918492007634424
SelfSufficiencyRate,Thies,X,X,2045,0.923348887285508
SelfSufficiencyRate,LS,X,X,2045,1.1465384826872176
SelfSufficiencyRate,FKK,X,X,2045,0.17275637645503775
SelfSufficiencyRate,ZS,X,X,2045,0.8128097430544049
SelfSufficiencyRate,MTKK,X,X,2045,1.0416457411294793
SelfSufficiencyRate,Dakar,X,X,2050,1.5546882540081526
SelfSufficiencyRate,Diourbel,X,X,2050,0.04581231164093329
SelfSufficiencyRate,Thies,X,X,2050,0.8544968939199402
SelfSufficiencyRate,LS,X,X,2050,0.8870757392801238
SelfSufficiencyRate,FKK,X,X,2050,0.30212085784661386
SelfSufficiencyRate,ZS,X,X,2050,0.8835782537368144
SelfSufficiencyRate,MTKK,X,X,2050,1.0377180260937544
ElectrificationRate,Total,Industry,X,2025,0.03805922707704267
ElectrificationRate,Total,Transportation,X,2025,0.00612129828716953
ElectrificationRate,Total,Industry,X,2030,0.1164173701252302
ElectrificationRate,Total,Transportation,X,2030,0.09639342476871911
ElectrificationRate,Total,Industry,X,2035,0.11591340467280374
ElectrificationRate,Total,Transportation,X,2035,0.12456402064836088
ElectrificationRate,Total,Industry,X,2040,0.12893222832989973
ElectrificationRate,Total,Transportation,X,2040,0.12603795495397827
ElectrificationRate,Total,Industry,X,2045,0.1743670491960502
ElectrificationRate,Total,Transportation,X,2045,0.15727989267116943
ElectrificationRate,Total,Industry,X,2050,0.20362363742179027
ElectrificationRate,Total,Transportation,X,2050,0.1805497175205969
FinalEnergyConsumption,Dakar,P_Oil,Oil,2022,9.42078127876805
FinalEnergyConsumption,Dakar,P_Oil,Oil,2025,5.813422444444446
FinalEnergyConsumption,Dakar,P_Oil,Oil,2030,7.235947011111124
FinalEnergyConsumption,Dakar,P_Oil,Oil,2035,5.764092771111135
FinalEnergyConsumption,Dakar,P_Oil,Oil,2040,4.3045709516666575
FinalEnergyConsumption,Dakar,P_Oil,Oil,2045,5.714763097777775
FinalEnergyConsumption,Dakar,P_Oil,Oil,2050,12.842896397755885
FinalEnergyConsumption,Dakar,HLI_Oil_Boiler,Oil,2022,0.06535947711111108
FinalEnergyConsumption,Dakar,HLI_Oil_Boiler,Oil,2025,0.06526610644444442
FinalEnergyConsumption,Dakar,HLI_Oil_Boiler,Oil,2030,0.005987727837667137
FinalEnergyConsumption,Dakar,HLI_Oil_Boiler,Oil,2035,0.003975031467959964
FinalEnergyConsumption,Dakar,HMI_Oil,Oil,2022,0.2795450163333334
FinalEnergyConsumption,Dakar,HMI_Oil,Oil,2025,0.27846998449999955
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2022,0.016344310819791562
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2025,0.036593023020291646
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2030,0.04245568214054226
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2035,0.05105075359111064
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2040,0.061267869771812845
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2045,0.07385129526026034
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2050,0.08886579557503184
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2022,1.1710864074962133
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2025,1.247289520796704
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2030,1.4534833740434612
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2035,1.7556570462379502
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2040,2.116809141995818
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2045,2.563749416519518
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2050,3.1001169043628085
FinalEnergyConsumption,Dakar,FRT_Ship_Conv,Oil,2022,0.010586462769314438
FinalEnergyConsumption,Dakar,FRT_Ship_Conv,Oil,2025,0.011806165194906947
FinalEnergyConsumption,Dakar,FRT_Ship_Conv,Oil,2030,0.014758041806066666
FinalEnergyConsumption,Dakar,FRT_Ship_Conv,Oil,2035,0.0184435149328625
FinalEnergyConsumption,Dakar,FRT_Ship_Conv,Oil,2040,0.02304296304521251
FinalEnergyConsumption,Dakar,FRT_Ship_Conv,Oil,2045,0.028782020189691646
FinalEnergyConsumption,Dakar,FRT_Ship_Conv,Oil,2050,0.03593937096215557
FinalEnergyConsumption,Dakar,PSNG_Air_Conv,Oil,2022,0.13411988069335842
FinalEnergyConsumption,Dakar,PSNG_Air_Conv,Oil,2025,0.11122549017383333
FinalEnergyConsumption,Dakar,PSNG_Air_Conv,Oil,2030,0.04700062093199167
FinalEnergyConsumption,Dakar,PSNG_Air_Conv,Oil,2035,0.06142699348621667
FinalEnergyConsumption,Dakar,PSNG_Air_Conv,Oil,2040,0.08028176473484996
FinalEnergyConsumption,Dakar,PSNG_Air_Conv,Oil,2045,0.10492800657380842
FinalEnergyConsumption,Dakar,PSNG_Air_Conv,Oil,2050,0.1371345425331417
FinalEnergyConsumption,Dakar,PSNG_Rail_Conv,Oil,2035,0.039565448438740235
FinalEnergyConsumption,Dakar,PSNG_Rail_Conv,Oil,2040,0.12498219670643544
FinalEnergyConsumption,Dakar,PSNG_Rail_Conv,Oil,2045,0.20319880859196007
FinalEnergyConsumption,Dakar,PSNG_Rail_Conv,Oil,2050,0.6609319444444448
FinalEnergyConsumption,Dakar,PSNG_Road_ICE,Oil,2022,3.338115855050145
FinalEnergyConsumption,Dakar,PSNG_Road_ICE,Oil,2025,3.2995041657212516
FinalEnergyConsumption,Dakar,PSNG_Road_ICE,Oil,2030,3.2344825915492117
FinalEnergyConsumption,Dakar,PSNG_Road_ICE,Oil,2035,3.486245741942897
FinalEnergyConsumption,Dakar,PSNG_Road_ICE,Oil,2040,3.672269999999999
FinalEnergyConsumption,Dakar,PSNG_Road_ICE,Oil,2045,4.122300464495415
FinalEnergyConsumption,Dakar,PSNG_Road_ICE,Oil,2050,4.38049337153667
FinalEnergyConsumption,Dakar,PSNG_Road_PHEV,Oil,2050,0.01950822015451191
FinalEnergyConsumption,Dakar,HLI_Gas_Boiler,Gas_Natural,2025,0.0005266387253287678
FinalEnergyConsumption,Dakar,HLI_Gas_Boiler,Gas_Natural,2030,0.559383344897154
FinalEnergyConsumption,Dakar,HLI_Gas_Boiler,Gas_Natural,2035,1.2080761959219435
FinalEnergyConsumption,Dakar,HLI_Gas_Boiler,Gas_Natural,2040,2.070369107886497
FinalEnergyConsumption,Dakar,HLI_Gas_Boiler,Gas_Natural,2045,3.0455040243396962
FinalEnergyConsumption,Dakar,HLI_Gas_Boiler,Gas_Natural,2050,4.478141477139752
FinalEnergyConsumption,Dakar,P_Gas_CCGT,Gas_Natural,2025,2.2734642527777673
FinalEnergyConsumption,Dakar,P_Gas_CCGT,Gas_Natural,2030,5.376344086666665
FinalEnergyConsumption,Dakar,P_Gas_CCGT,Gas_Natural,2035,6.272401434444449
FinalEnergyConsumption,Dakar,P_Gas_CCGT,Gas_Natural,2040,7.168458782222229
FinalEnergyConsumption,Dakar,P_Gas_CCGT,Gas_Natural,2045,8.888888888888891
FinalEnergyConsumption,Dakar,P_Gas_CCGT,Gas_Natural,2050,10.58201057999998
FinalEnergyConsumption,Dakar,HMI_Gas,Gas_Natural,2050,0.006899501496693126
FinalEnergyConsumption,Dakar,P_Gas_OCGT,Gas_Natural,2025,1.9293719748528972
FinalEnergyConsumption,Dakar,P_Gas_OCGT,Gas_Natural,2030,3.7003787883333357
FinalEnergyConsumption,Dakar,P_Gas_OCGT,Gas_Natural,2035,6.172839505555563
FinalEnergyConsumption,Dakar,P_Gas_OCGT,Gas_Natural,2040,6.1728395055555465
FinalEnergyConsumption,Dakar,P_Gas_OCGT,Gas_Natural,2045,6.790123456111111
FinalEnergyConsumption,Dakar,P_Gas_OCGT,Gas_Natural,2050,7.40740740666666
FinalEnergyConsumption,Dakar,HHI_BF_BOF,Hardcoal,2025,0.5093855289950008
FinalEnergyConsumption,Dakar,HHI_BF_BOF,Hardcoal,2030,0.5058308792523671
FinalEnergyConsumption,Dakar,HHI_BF_BOF,Hardcoal,2035,0.5356194654285704
FinalEnergyConsumption,Dakar,HHI_BF_BOF,Hardcoal,2040,0.5671687141517764
FinalEnergyConsumption,Dakar,HHI_BF_BOF,Hardcoal,2045,0.600452713541626
FinalEnergyConsumption,Dakar,HHI_BF_BOF,Hardcoal,2050,0.6356510668002512
FinalEnergyConsumption,Dakar,HLI_Hardcoal,Hardcoal,2022,0.6481481479861109
FinalEnergyConsumption,Dakar,HLI_Hardcoal,Hardcoal,2025,0.7112654320138893
FinalEnergyConsumption,Dakar,HLI_Hardcoal,Hardcoal,2030,0.47706555017935215
FinalEnergyConsumption,Dakar,HLI_Hardcoal,Hardcoal,2035,0.2436613904921737
FinalEnergyConsumption,Dakar,HLI_Hardcoal,Hardcoal,2040,0.01105295240927972
FinalEnergyConsumption,Dakar,HLI_Hardcoal,Hardcoal,2045,0.011034013146272566
FinalEnergyConsumption,Dakar,HLI_Hardcoal,Hardcoal,2050,0.011015073891617651
FinalEnergyConsumption,Dakar,P_Coal_Hardcoal,Hardcoal,2022,0.7569993943247838
FinalEnergyConsumption,Dakar,P_Coal_Hardcoal,Hardcoal,2025,0.0911785242619929
FinalEnergyConsumption,Dakar,P_Coal_Hardcoal,Hardcoal,2030,0.33751088555664016
FinalEnergyConsumption,Dakar,P_Coal_Hardcoal,Hardcoal,2035,0.3363067465255627
FinalEnergyConsumption,Dakar,P_Coal_Hardcoal,Hardcoal,2040,0.32836358823720824
FinalEnergyConsumption,Dakar,P_Coal_Hardcoal,Hardcoal,2045,0.3272067073513796
FinalEnergyConsumption,Dakar,P_Coal_Hardcoal,Hardcoal,2050,0.326049826628943
