Region,Region2,Type,Fuel,PathwayScenario,Year,Value
Thies,Dakar,TotalTradeCapacity,Gas_Natural,BAU_BAU,2025,3.107734652135074
Thies,Dakar,TotalTradeCapacity,Gas_Natural,BAU_BAU,2030,21.170958710796775
Thies,Dakar,TotalTradeCapacity,Gas_Natural,BAU_BAU,2035,46.17520145898764
Thies,Dakar,TotalTradeCapacity,Gas_Natural,BAU_BAU,2040,46.17520145898764
Thies,Dakar,TotalTradeCapacity,Gas_Natural,BAU_BAU,2045,46.17520145898764
Thies,Dakar,TotalTradeCapacity,Gas_Natural,BAU_BAU,2050,46.17520145898764
Thies,Dakar,TotalTradeCapacity,Power,BAU_BAU,2022,5.0
Thies,Dakar,TotalTradeCapacity,Power,BAU_BAU,2025,5.0
Thies,Dakar,TotalTradeCapacity,Power,BAU_BAU,2030,5.0
Thies,Dakar,TotalTradeCapacity,Power,BAU_BAU,2035,5.0
Thies,Dakar,TotalTradeCapacity,Power,BAU_BAU,2040,5.0
Thies,Dakar,TotalTradeCapacity,Power,BAU_BAU,2045,5.0
Thies,Dakar,TotalTradeCapacity,Power,BAU_BAU,2050,5.0
Thies,Diourbel,TotalTradeCapacity,Power,BAU_BAU,2022,1.0
Thies,Diourbel,TotalTradeCapacity,Power,BAU_BAU,2025,1.0
Thies,Diourbel,TotalTradeCapacity,Power,BAU_BAU,2030,1.0
Thies,Diourbel,TotalTradeCapacity,Power,BAU_BAU,2035,1.0
Thies,Diourbel,TotalTradeCapacity,Power,BAU_BAU,2040,1.0
Thies,Diourbel,TotalTradeCapacity,Power,BAU_BAU,2045,1.0
Thies,Diourbel,TotalTradeCapacity,Power,BAU_BAU,2050,1.0
LS,Diourbel,TotalTradeCapacity,Gas_Natural,BAU_BAU,2030,1.2181114355654636
LS,Diourbel,TotalTradeCapacity,Gas_Natural,BAU_BAU,2035,1.9332627931171014
LS,Diourbel,TotalTradeCapacity,Gas_Natural,BAU_BAU,2040,1.9332627931171014
LS,Diourbel,TotalTradeCapacity,Gas_Natural,BAU_BAU,2045,4.6111769342040105
LS,Diourbel,TotalTradeCapacity,Gas_Natural,BAU_BAU,2050,6.774209156069914
Dakar,Thies,TotalTradeCapacity,Power,BAU_BAU,2022,5.0
Dakar,Thies,TotalTradeCapacity,Power,BAU_BAU,2025,5.0
Dakar,Thies,TotalTradeCapacity,Power,BAU_BAU,2030,5.0
Dakar,Thies,TotalTradeCapacity,Power,BAU_BAU,2035,5.0
Dakar,Thies,TotalTradeCapacity,Power,BAU_BAU,2040,5.0
Dakar,Thies,TotalTradeCapacity,Power,BAU_BAU,2045,5.0
Dakar,Thies,TotalTradeCapacity,Power,BAU_BAU,2050,5.0
Diourbel,Thies,TotalTradeCapacity,Power,BAU_BAU,2022,1.0
Diourbel,Thies,TotalTradeCapacity,Power,BAU_BAU,2025,1.0
Diourbel,Thies,TotalTradeCapacity,Power,BAU_BAU,2030,1.0
Diourbel,Thies,TotalTradeCapacity,Power,BAU_BAU,2035,1.0
Diourbel,Thies,TotalTradeCapacity,Power,BAU_BAU,2040,1.0
Diourbel,Thies,TotalTradeCapacity,Power,BAU_BAU,2045,1.0
Diourbel,Thies,TotalTradeCapacity,Power,BAU_BAU,2050,1.0
LS,Thies,TotalTradeCapacity,Gas_Natural,BAU_BAU,2025,5.53287114194233
LS,Thies,TotalTradeCapacity,Gas_Natural,BAU_BAU,2030,21.614121242798007
LS,Thies,TotalTradeCapacity,Gas_Natural,BAU_BAU,2035,46.75410584069069
LS,Thies,TotalTradeCapacity,Gas_Natural,BAU_BAU,2040,46.75410584069069
LS,Thies,TotalTradeCapacity,Gas_Natural,BAU_BAU,2045,46.75410584069069
LS,Thies,TotalTradeCapacity,Gas_Natural,BAU_BAU,2050,46.75410584069069
LS,Thies,TotalTradeCapacity,Power,BAU_BAU,2022,1.0
LS,Thies,TotalTradeCapacity,Power,BAU_BAU,2025,1.0
LS,Thies,TotalTradeCapacity,Power,BAU_BAU,2030,1.0
LS,Thies,TotalTradeCapacity,Power,BAU_BAU,2035,1.0
LS,Thies,TotalTradeCapacity,Power,BAU_BAU,2040,1.0
LS,Thies,TotalTradeCapacity,Power,BAU_BAU,2045,1.0
LS,Thies,TotalTradeCapacity,Power,BAU_BAU,2050,1.0
FKK,Thies,TotalTradeCapacity,Power,BAU_BAU,2022,3.0
FKK,Thies,TotalTradeCapacity,Power,BAU_BAU,2025,3.0
FKK,Thies,TotalTradeCapacity,Power,BAU_BAU,2030,3.0
FKK,Thies,TotalTradeCapacity,Power,BAU_BAU,2035,3.0
FKK,Thies,TotalTradeCapacity,Power,BAU_BAU,2040,3.0
FKK,Thies,TotalTradeCapacity,Power,BAU_BAU,2045,3.0
FKK,Thies,TotalTradeCapacity,Power,BAU_BAU,2050,3.0
Thies,LS,TotalTradeCapacity,Power,BAU_BAU,2022,1.0
Thies,LS,TotalTradeCapacity,Power,BAU_BAU,2025,1.0
Thies,LS,TotalTradeCapacity,Power,BAU_BAU,2030,1.0
Thies,LS,TotalTradeCapacity,Power,BAU_BAU,2035,1.0
Thies,LS,TotalTradeCapacity,Power,BAU_BAU,2040,1.0
Thies,LS,TotalTradeCapacity,Power,BAU_BAU,2045,1.0
Thies,LS,TotalTradeCapacity,Power,BAU_BAU,2050,1.0
Thies,FKK,TotalTradeCapacity,Power,BAU_BAU,2022,3.0
Thies,FKK,TotalTradeCapacity,Power,BAU_BAU,2025,3.0
Thies,FKK,TotalTradeCapacity,Power,BAU_BAU,2030,3.0
Thies,FKK,TotalTradeCapacity,Power,BAU_BAU,2035,3.0
Thies,FKK,TotalTradeCapacity,Power,BAU_BAU,2040,3.0
Thies,FKK,TotalTradeCapacity,Power,BAU_BAU,2045,3.0
Thies,FKK,TotalTradeCapacity,Power,BAU_BAU,2050,3.0
LS,FKK,TotalTradeCapacity,Gas_Natural,BAU_BAU,2030,0.6625697303548914
LS,FKK,TotalTradeCapacity,Gas_Natural,BAU_BAU,2035,1.3024379707138076
