names,values
EB2_EnergyBalanceEachTS|2022|8|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|81|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|154|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|227|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|300|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|373|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|446|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|519|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|592|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|665|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|738|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|811|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|884|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|957|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1030|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1103|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1176|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1249|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1322|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1395|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1468|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1541|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1614|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1687|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1760|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1833|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1906|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|1979|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2052|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2125|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2198|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2271|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2344|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2417|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2490|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2563|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2636|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2709|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2782|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2855|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|2928|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3001|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3074|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3147|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3220|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3293|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3366|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3439|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3512|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3585|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3658|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3731|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3804|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3877|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|3950|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|4023|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|4096|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|4169|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|4242|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|4315|Heat_Low_Residential|Dakar,-335.53967023213994
EB2_EnergyBalanceEachTS|2022|4388|Heat_Low_Residential|Dakar,-335.58743100614254
EB2_EnergyBalanceEachTS|2022|4461|Heat_Low_Residential|Dakar,-335.7949433345678
EB2_EnergyBalanceEachTS|2022|4534|Heat_Low_Residential|Dakar,-335.9147570003847
EB2_EnergyBalanceEachTS|2022|4607|Heat_Low_Residential|Dakar,-336.0156310489248
EB2_EnergyBalanceEachTS|2022|4680|Heat_Low_Residential|Dakar,-336.0596862456341
EB2_EnergyBalanceEachTS|2022|4753|Heat_Low_Residential|Dakar,-336.1575409348981
EB2_EnergyBalanceEachTS|2022|4826|Heat_Low_Residential|Dakar,-336.2079093373664
EB2_EnergyBalanceEachTS|2022|4899|Heat_Low_Residential|Dakar,-336.22945658310897
EB2_EnergyBalanceEachTS|2022|4972|Heat_Low_Residential|Dakar,-336.23206421157465
EB2_EnergyBalanceEachTS|2022|5045|Heat_Low_Residential|Dakar,-336.2225944029362
EB2_EnergyBalanceEachTS|2022|5118|Heat_Low_Residential|Dakar,-336.25635632938634
EB2_EnergyBalanceEachTS|2022|5191|Heat_Low_Residential|Dakar,-336.2828443448533
EB2_EnergyBalanceEachTS|2022|5264|Heat_Low_Residential|Dakar,-336.3485840309086
EB2_EnergyBalanceEachTS|2022|5337|Heat_Low_Residential|Dakar,-336.3310168496663
EB2_EnergyBalanceEachTS|2022|5410|Heat_Low_Residential|Dakar,-336.3413101199255
EB2_EnergyBalanceEachTS|2022|5483|Heat_Low_Residential|Dakar,-336.3371928118218
EB2_EnergyBalanceEachTS|2022|5556|Heat_Low_Residential|Dakar,-336.352015120995
EB2_EnergyBalanceEachTS|2022|5629|Heat_Low_Residential|Dakar,-336.40759878039466
EB2_EnergyBalanceEachTS|2022|5702|Heat_Low_Residential|Dakar,-336.5242558433321
EB2_EnergyBalanceEachTS|2022|5775|Heat_Low_Residential|Dakar,-336.58354508002503
EB2_EnergyBalanceEachTS|2022|5848|Heat_Low_Residential|Dakar,-336.5806629643525
EB2_EnergyBalanceEachTS|2022|5921|Heat_Low_Residential|Dakar,-336.5187660991939
