Region,Sector,Technology,Fuel,Type,Unit,PathwayScenario,Year,Value
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2025,6.999999999999999
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2030,13.000000000000025
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2035,13.999999999999995
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2040,16.000000000000018
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2045,20.000000000000004
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2050,24.00000000000008
Dakar,Power,P_Oil,Power,Production,PJ,ID_ID,2022,12.808673617909964
Dakar,Power,P_Oil,Power,Production,PJ,ID_ID,2030,7.500000000000054
Dakar,Power,P_Oil,Power,Production,PJ,ID_ID,2025,8.000000000000059
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,ID_ID,2022,1.2263390189287846
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,ID_ID,2025,0.5601698192827221
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2025,0.20000000000000007
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2030,0.25290211037624544
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2035,6.07885443656956
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2040,7.930541550055307
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2045,22.54311185513454
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2050,30.374718687977058
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2022,0.007775993779204977
Dakar,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2035,7.241542739676002
Dakar,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2040,14.483085479352004
Dakar,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2045,28.96617095870401
Dakar,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2050,28.96617095870401
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,ID_ID,2025,2.999999999999986
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,ID_ID,2030,5.99999999999996
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,ID_ID,2035,10.000000000000007
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,ID_ID,2045,11.000000000000012
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,ID_ID,2050,12.000000000000023
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,ID_ID,2040,10.000000000000005
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2022,0.18359985312011748
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2025,0.2096741210198065
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2030,0.26513513848596637
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2035,0.32059903300859094
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2040,0.3760600504747507
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2045,0.43152394499737545
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2050,1.5307077837277518
Thies,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2025,2.9999999999999996
Thies,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2030,4.500000000000001
Thies,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2035,4.0000000000000036
Thies,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2040,5.000000000000007
Thies,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2045,6.000000000000018
Thies,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2050,7.000000000000047
Thies,Power,P_Oil,Power,Production,PJ,ID_ID,2030,1.2000000000000002
Thies,Power,P_Oil,Power,Production,PJ,ID_ID,2022,2.17231026215179
Thies,Power,P_Oil,Power,Production,PJ,ID_ID,2025,0.31632792577722313
Thies,Power,P_Coal_Hardcoal,Power,Production,PJ,ID_ID,2022,0.056123955100835926
Thies,Power,P_Coal_Hardcoal,Power,Production,PJ,ID_ID,2025,0.12789381368346803
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2022,0.7166414813490466
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2025,1.128060013319561
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2030,2.1299055729824654
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2035,3.131803103676108
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2040,4.133648663339017
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2045,5.963996756996191
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2050,22.09084949999619
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2022,1.4240148607881113
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2025,2.65948476528256
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2030,2.659484765282559
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2035,2.6594847652825595
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2040,2.6594847652825573
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2045,1.831034202319026
