Region,Sector,Technology,Type,PathwayScenario,Year,Value
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2022,0.0018518518518518521
Dakar,Power,P_Oil,PeakCapacity,ID_ID,2022,0.0071508655915787055
Thies,Power,P_Oil,PeakCapacity,ID_ID,2022,0.00206140350877193
ZS,Power,P_Oil,PeakCapacity,ID_ID,2022,0.00010526315789473686
MTKK,Power,P_Oil,PeakCapacity,ID_ID,2022,0.00012166666666666667
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,ID_ID,2022,0.0012342022116903636
Thies,Power,P_Coal_Hardcoal,PeakCapacity,ID_ID,2022,0.00019747235387045813
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2022,0.0023847654038687393
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2022,1.666666666666667e-5
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2022,0.00025
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2022,0.0010375000000000002
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2022,0.00020833333333333337
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2022,0.0004666666666666667
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2022,0.0013494897959183676
Dakar,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2025,0.0024438338825731164
Thies,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2025,0.0010473573782456198
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2025,0.0018518518518518524
Dakar,Power,P_Oil,PeakCapacity,ID_ID,2025,0.004442982456140349
Thies,Power,P_Oil,PeakCapacity,ID_ID,2025,0.0008771929824561402
ZS,Power,P_Oil,PeakCapacity,ID_ID,2025,0.00010526315789473686
MTKK,Power,P_Oil,PeakCapacity,ID_ID,2025,0.00012166666666666667
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,ID_ID,2025,0.0012342022116903636
Thies,Power,P_Coal_Hardcoal,PeakCapacity,ID_ID,2025,0.00019747235387045813
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2025,0.003994098658521735
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2025,0.00025526502240699506
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2025,0.00027732611448605924
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2025,0.0014572744386031416
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2025,0.00038388314554005723
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2025,0.0006626957116507614
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2025,0.0022083652208508046
Dakar,Power,P_Gas_OCGT,PeakCapacity,ID_ID,2025,0.0010473573782456185
Dakar,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2030,0.004538548639064363
Thies,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2030,0.0015710360673684338
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2030,0.0018518518518518524
Dakar,Power,P_Oil,PeakCapacity,ID_ID,2030,0.004442982456140349
Thies,Power,P_Oil,PeakCapacity,ID_ID,2030,0.0008771929824561402
ZS,Power,P_Oil,PeakCapacity,ID_ID,2030,0.00010526315789473686
MTKK,Power,P_Oil,PeakCapacity,ID_ID,2030,0.00014639793159632806
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2030,0.003994098658521735
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2030,0.0003227853143598431
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2030,0.00035068179807984276
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2030,0.0027514998417610356
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2030,0.0004854242882247585
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2030,0.0008379857200688266
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2030,0.0022083652208508046
Dakar,Power,P_Gas_OCGT,PeakCapacity,ID_ID,2030,0.0020947147564912296
Dakar,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2035,0.00488766776514624
Thies,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2035,0.0015710360673684338
ZS,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2035,0.0010473573782456224
MTKK,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2035,0.0006982382521637484
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2035,0.0018518518518518524
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2035,0.003994098658521735
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2035,0.0077585945697989465
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2035,0.00042404128702111787
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2035,0.004045792383239366
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2035,0.0025687419149693913
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2035,0.0010132848217072274
MTKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2035,0.0014520167031523996
Dakar,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2035,0.004251700680272109
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2035,0.0022083652208508046
Dakar,Power,P_Gas_OCGT,PeakCapacity,ID_ID,2035,0.004933288940880292
Dakar,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2040,0.005585906017309991
Thies,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2040,0.0017455956304093722
ZS,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2040,0.00122191694128656
MTKK,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2040,0.0008727978152046866
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2040,0.0018518518518518524
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2040,0.003994098658521735
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2040,0.010121949332372364
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2040,0.0004973969706149015
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2040,0.005340017786397266
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2040,0.004352546161777748
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2040,0.0011885748301252923
MTKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2040,0.0035598085808372904
Dakar,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2040,0.008503401360544218
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2040,0.0022083652208508046
LS,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2040,0.0013443254724198165
Dakar,Power,P_Gas_OCGT,PeakCapacity,ID_ID,2040,0.005701280915881299
Dakar,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2045,0.006982382521637488
Thies,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2045,0.0020947147564912465
ZS,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2045,0.0013964765043274975
MTKK,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2045,0.0010473573782456237
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2045,0.001046883179429194
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2045,0.0027499052999511485
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2045,0.02877233976412157
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2045,0.0005707564595561767
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2045,0.007704536924686215
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2045,0.007648954091478383
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2045,0.0013638739317636931
MTKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2045,0.007069550940327838
Dakar,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2045,0.017006802721088437
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2045,0.0015204419680742267
LS,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2045,0.004320515948610293
Dakar,Power,P_Gas_OCGT,PeakCapacity,ID_ID,2045,0.005701280915881299
Dakar,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2050,0.008378859025964988
Thies,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2050,0.002443833882573126
ZS,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2050,0.0013964765043274975
MTKK,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2050,0.0010473573782456237
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2050,0.001046883179429194
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2050,0.0027499052999511485
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2050,0.0387805716684595
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2050,0.002024595310141705
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2050,0.028537870258019554
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2050,0.009993315897626328
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2050,0.0015391730334020945
MTKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2050,0.008553642208233821
Dakar,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2050,0.017006802721088437
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2050,0.020784654640650206
LS,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2050,0.005952380952380953
Dakar,Power,P_Gas_OCGT,PeakCapacity,ID_ID,2050,0.005701280915881299
Dakar,Power,P_Gas_CCGT,NewCapacity,ID_ID,2025,0.2551362573406334
Dakar,Power,P_Gas_CCGT,NewCapacity,ID_ID,2030,0.21868822057768617
Dakar,Power,P_Gas_CCGT,NewCapacity,ID_ID,2035,0.036448036762948
Dakar,Power,P_Gas_CCGT,NewCapacity,ID_ID,2040,0.07289607352589544
Dakar,Power,P_Gas_CCGT,NewCapacity,ID_ID,2045,0.14579214705179078
Dakar,Power,P_Gas_CCGT,NewCapacity,ID_ID,2050,0.145792147051791
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2025,0.028631802688839407
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2030,0.008102435034341757
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2035,0.8922971106526923
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2040,0.2836025715088101
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2045,2.240046851809904
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2050,1.2009878285205513
Dakar,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2035,0.5
Dakar,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2040,0.5
Dakar,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2045,1.0
Dakar,Power,P_Gas_OCGT,NewCapacity,ID_ID,2025,0.10934411028884256
Dakar,Power,P_Gas_OCGT,NewCapacity,ID_ID,2030,0.1093441102888418
Dakar,Power,P_Gas_OCGT,NewCapacity,ID_ID,2035,0.2963471448502182
Dakar,Power,P_Gas_OCGT,NewCapacity,ID_ID,2040,0.0801783621901051
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2025,0.0032791337383271044
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2030,0.00880268203125402
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2035,0.008803138672953015
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2040,0.008802682031254033
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2045,0.03880313867295303
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2050,0.17446066207026334
Thies,Power,P_Gas_CCGT,NewCapacity,ID_ID,2025,0.10934411028884271
Thies,Power,P_Gas_CCGT,NewCapacity,ID_ID,2030,0.05467205514442179
Thies,Power,P_Gas_CCGT,NewCapacity,ID_ID,2040,0.018224018381473972
Thies,Power,P_Gas_CCGT,NewCapacity,ID_ID,2045,0.036448036762947694
Thies,Power,P_Gas_CCGT,NewCapacity,ID_ID,2050,0.03644803676294822
Thies,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2025,0.050372932632376966
Thies,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2030,0.15530704837894727
Thies,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2035,0.1553151049773996
Thies,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2040,0.15530704837894788
Thies,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2045,0.4082422965946741
Thies,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2050,2.5
Thies,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2025,0.10100374997205452
Thies,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2045,0.07780022547347448
Thies,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2050,2.2654714102949347
LS,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2025,0.02106597746480686
LS,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2030,0.012184937122164154
LS,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2035,0.24999811520935586
LS,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2040,0.21405650961700276
LS,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2045,0.42056895156407614
LS,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2050,0.28132341673775374
LS,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2040,0.15809267555657036
LS,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2045,0.35
LS,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2050,0.19190732444342962
FKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2025,0.023523485398091355
FKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2030,0.021034801010167817
FKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2035,0.0210358921966081
FKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2040,0.02103480101016781
FKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2045,0.07703589219660809
FKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2050,0.021035892196608175
ZS,Power,P_Gas_CCGT,NewCapacity,ID_ID,2035,0.10934411028884299
ZS,Power,P_Gas_CCGT,NewCapacity,ID_ID,2040,0.018224018381473903
ZS,Power,P_Gas_CCGT,NewCapacity,ID_ID,2045,0.01822401838147386
MTKK,Power,P_Gas_CCGT,NewCapacity,ID_ID,2035,0.07289607352589532
MTKK,Power,P_Gas_CCGT,NewCapacity,ID_ID,2040,0.018224018381473944
MTKK,Power,P_Gas_CCGT,NewCapacity,ID_ID,2045,0.018224018381473847
MTKK,Power,RES_Hydro_Small,NewCapacity,ID_ID,2045,0.11306338337835292
MTKK,Power,P_Oil,NewCapacity,ID_ID,2030,0.002819364201981398
MTKK,Power,RES_Hydro_Large,NewCapacity,ID_ID,2045,0.13769841634151936
MTKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2035,0.17424200437828793
MTKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2040,0.2529350253221868
MTKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2045,0.4211690831388657
MTKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2050,0.17809095214871784
MTKK,Power,RES_Hydro_Small,ResidualCapacity,ID_ID,2022,0.2
Dakar,Power,P_Oil,ResidualCapacity,ID_ID,2022,0.9064999999999999
Thies,Power,P_Oil,ResidualCapacity,ID_ID,2022,0.235
ZS,Power,P_Oil,ResidualCapacity,ID_ID,2022,0.012
MTKK,Power,P_Oil,ResidualCapacity,ID_ID,2022,0.01387
Dakar,Power,P_Coal_Hardcoal,ResidualCapacity,ID_ID,2022,0.125
Thies,Power,P_Coal_Hardcoal,ResidualCapacity,ID_ID,2022,0.02
MTKK,Power,RES_Hydro_Large,ResidualCapacity,ID_ID,2022,0.2
Dakar,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2022,0.002
Diourbel,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2022,0.03
Thies,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2022,0.1245
LS,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2022,0.025
FKK,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2022,0.056
Thies,Power,RES_Wind_Onshore_Opt,ResidualCapacity,ID_ID,2022,0.1587
MTKK,Power,RES_Hydro_Small,ResidualCapacity,ID_ID,2025,0.2
Dakar,Power,P_Oil,ResidualCapacity,ID_ID,2025,0.5064999999999998
Thies,Power,P_Oil,ResidualCapacity,ID_ID,2025,0.09999999999999998
ZS,Power,P_Oil,ResidualCapacity,ID_ID,2025,0.012
MTKK,Power,P_Oil,ResidualCapacity,ID_ID,2025,0.01387
Dakar,Power,P_Coal_Hardcoal,ResidualCapacity,ID_ID,2025,0.125
Thies,Power,P_Coal_Hardcoal,ResidualCapacity,ID_ID,2025,0.02
