Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
Dakar,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2025,0.6403278687371995
Dakar,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2030,1.1692188001404022
Dakar,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2035,1.2590108247900789
Dakar,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2040,1.4393493371811543
Dakar,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2045,1.785600000000001
Dakar,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2050,2.1077901551738893
Dakar,Power,CO2,P_Oil,Emissions,ID_ID,2022,2.494320651559577
Dakar,Power,CO2,P_Oil,Emissions,ID_ID,2025,1.548695739200012
Dakar,Power,CO2,P_Oil,Emissions,ID_ID,2030,1.4457422128200106
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,ID_ID,2022,0.2558960752575501
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,ID_ID,2025,0.11134987559460073
Dakar,Power,CO2,P_Gas_OCGT,Emissions,ID_ID,2025,0.3985714285793978
Dakar,Power,CO2,P_Gas_OCGT,Emissions,ID_ID,2030,0.7609090910003946
Dakar,Power,CO2,P_Gas_OCGT,Emissions,ID_ID,2035,1.2309786761500803
Dakar,Power,CO2,P_Gas_OCGT,Emissions,ID_ID,2040,1.238375736370158
Dakar,Power,CO2,P_Gas_OCGT,Emissions,ID_ID,2045,1.363999999863602
Dakar,Power,CO2,P_Gas_OCGT,Emissions,ID_ID,2050,1.4840649543120983
Thies,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2025,0.27442622945879996
Thies,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2030,0.4009826412980591
Thies,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2035,0.3487846530088558
Thies,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2040,0.44195735127757885
Thies,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2045,0.5326524345128543
Thies,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2050,0.598718765759697
Thies,Power,CO2,P_Oil,Emissions,ID_ID,2022,0.4230288404650718
Thies,Power,CO2,P_Oil,Emissions,ID_ID,2025,0.06123696385514494
Thies,Power,CO2,P_Oil,Emissions,ID_ID,2030,0.2313187540512
Thies,Power,CO2,P_Coal_Hardcoal,Emissions,ID_ID,2022,0.011711198629869975
Thies,Power,CO2,P_Coal_Hardcoal,Emissions,ID_ID,2025,0.025422576784319192
ZS,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2035,0.2700000000324002
ZS,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2040,0.3150000000377997
ZS,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2045,0.35712000000000044
ZS,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2050,0.002532605311768179
ZS,Power,CO2,P_Oil,Emissions,ID_ID,2022,0.031806732444897935
ZS,Power,CO2,P_Oil,Emissions,ID_ID,2025,0.05807609021999999
ZS,Power,CO2,P_Oil,Emissions,ID_ID,2030,0.05782968851279999
MTKK,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2035,0.17311289620469733
MTKK,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2040,0.22271979170948947
MTKK,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2045,0.26784000000000097
MTKK,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2050,0.04547263507706394
MTKK,Power,CO2,P_Oil,Emissions,ID_ID,2022,0.027530314813999163
MTKK,Power,CO2,P_Oil,Emissions,ID_ID,2025,0.06775543859000001
MTKK,Power,CO2,P_Oil,Emissions,ID_ID,2030,0.09638281418800027
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2025,0.17219268422146977
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2030,0.1364579265082776
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2035,0.1773896530807955
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2040,0.18783832167332234
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2045,0.1724801230403016
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2050,0.02742544286451385
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2030,0.091939091644358
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2035,0.21063831113849224
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2040,0.37164340146505914
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2045,0.5297640453669993
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2050,0.5790101817657279
Dakar,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2022,0.21909999994522503
Dakar,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2025,0.24043616663797474
Dakar,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2030,0.16126723858262806
Dakar,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2035,0.0823672964419741
Dakar,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2022,0.017411764702400155
Dakar,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2025,0.017386890756800184
Dakar,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2030,0.0009228364681557544
Dakar,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2035,0.0010589483830645363
Dakar,Industry,CO2,HMI_Oil,Emissions,ID_ID,2022,0.0744707923511999
Dakar,Industry,CO2,HMI_Oil,Emissions,ID_ID,2025,0.07418440387079983
Dakar,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2022,0.4987362636090004
