Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Power,Dakar,Gas_Synth,2035,0.049833229226621104
Final Energy Demand [TWh],Power,Dakar,Gas_Synth,2040,0.011324803352699519
Final Energy Demand [TWh],Power,Dakar,Oil,2022,9.363065508857277
Final Energy Demand [TWh],Power,Dakar,Oil,2025,5.813422444444487
Final Energy Demand [TWh],Power,Dakar,Oil,2030,5.426960258333376
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2025,5.171740826944432
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2030,9.608362659999994
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2035,12.395407710773412
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2040,13.32997348442509
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2045,15.679012345
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2050,17.88060090345469
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2022,0.7569993943247838
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2025,0.3293985196858383
Final Energy Demand [TWh],Power,Dakar,Gas_Bio,2030,0.003888888888888893
Final Energy Demand [TWh],Power,Dakar,Gas_Bio,2050,0.10881708321195714
Final Energy Demand [TWh],Power,Thies,Gas_Synth,2035,0.05583107842664741
Final Energy Demand [TWh],Power,Thies,Gas_Synth,2040,0.040037080726908626
Final Energy Demand [TWh],Power,Thies,Gas_Synth,2045,0.015071512779509919
Final Energy Demand [TWh],Power,Thies,Gas_Synth,2050,0.01862283740251505
Final Energy Demand [TWh],Power,Thies,Oil,2022,1.587946097841862
Final Energy Demand [TWh],Power,Thies,Oil,2025,0.22986848293973325
Final Energy Demand [TWh],Power,Thies,Oil,2030,0.8683136413333334
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2025,1.366120218333328
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2030,1.996130233463059
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2035,1.7362836171289122
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2040,2.2001062887175347
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2045,2.6515951538871603
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2050,2.9804797180391103
Final Energy Demand [TWh],Power,Thies,Hardcoal,2022,0.034644416725446624
Final Energy Demand [TWh],Power,Thies,Hardcoal,2025,0.07520582411643356
Final Energy Demand [TWh],Power,Thies,Gas_Bio,2030,0.019998799036946933
Final Energy Demand [TWh],Power,Thies,Gas_Bio,2050,0.08731719705838441
Final Energy Demand [TWh],Power,ZS,Oil,2022,0.1193946413096769
Final Energy Demand [TWh],Power,ZS,Oil,2025,0.21800334166666654
Final Energy Demand [TWh],Power,ZS,Oil,2030,0.21707841033333308
Final Energy Demand [TWh],Power,ZS,Gas_Natural,2035,1.3440860216666666
Final Energy Demand [TWh],Power,ZS,Gas_Natural,2040,1.5681003586111149
Final Energy Demand [TWh],Power,ZS,Gas_Natural,2045,1.7777777777777763
Final Energy Demand [TWh],Power,ZS,Gas_Natural,2050,0.012607553324214349
Final Energy Demand [TWh],Power,ZS,Gas_Bio,2050,1.5306023229257868
Final Energy Demand [TWh],Power,MTKK,Gas_Synth,2035,0.03428466655168684
Final Energy Demand [TWh],Power,MTKK,Gas_Synth,2040,0.011351096761798941
Final Energy Demand [TWh],Power,MTKK,Oil,2022,0.10334202257507187
Final Energy Demand [TWh],Power,MTKK,Oil,2025,0.2543372319444445
Final Energy Demand [TWh],Power,MTKK,Oil,2030,0.36179735055555684
Final Energy Demand [TWh],Power,MTKK,Gas_Natural,2035,0.8617726812260929
Final Energy Demand [TWh],Power,MTKK,Gas_Natural,2040,1.1087205879604205
Final Energy Demand [TWh],Power,MTKK,Gas_Natural,2045,1.3333333333333346
Final Energy Demand [TWh],Power,MTKK,Gas_Natural,2050,0.22636715988183975
Final Energy Demand [TWh],Power,MTKK,Gas_Bio,2050,0.8759256088681588
Final Energy Demand [TWh],Industry,Dakar,H2,2035,0.2385403398117733
Final Energy Demand [TWh],Industry,Dakar,H2,2040,0.4408969372374807
Final Energy Demand [TWh],Industry,Dakar,H2,2045,0.8512887749661788
Final Energy Demand [TWh],Industry,Dakar,H2,2050,1.255076779321975
Final Energy Demand [TWh],Industry,Dakar,Gas_Synth,2035,0.013934900996613594
Final Energy Demand [TWh],Industry,Dakar,Gas_Synth,2040,0.006407373750946361
Final Energy Demand [TWh],Industry,Dakar,Oil,2022,0.3449044934444444
Final Energy Demand [TWh],Industry,Dakar,Oil,2025,0.3437360909444449
Final Energy Demand [TWh],Industry,Dakar,Oil,2030,0.0034641008564405182
Final Energy Demand [TWh],Industry,Dakar,Oil,2035,0.003975031467959971
Final Energy Demand [TWh],Industry,Dakar,Gas_Natural,2030,0.8398090768108182
Final Energy Demand [TWh],Industry,Dakar,Gas_Natural,2035,1.650027947389955
Final Energy Demand [TWh],Industry,Dakar,Gas_Natural,2040,6.817983695968505
Final Energy Demand [TWh],Industry,Dakar,Gas_Natural,2045,7.393597258793512
Final Energy Demand [TWh],Industry,Dakar,Gas_Natural,2050,8.918724491642678
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2022,2.12352462298611
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2025,3.1356246325838932
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2030,3.395646044333927
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2035,4.326634217467849
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2040,0.555668919871382
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2045,0.5102358390731911
Final Energy Demand [TWh],Industry,Dakar,Hardcoal,2050,0.07147491560850842
Final Energy Demand [TWh],Industry,Dakar,Biomass,2022,0.11013700350000016
Final Energy Demand [TWh],Industry,Dakar,Biomass,2025,0.12895520363599983
Final Energy Demand [TWh],Industry,Dakar,Biomass,2030,0.13191585602307251
Final Energy Demand [TWh],Industry,Dakar,Biomass,2035,0.13493547963506522
Final Energy Demand [TWh],Industry,Dakar,Biomass,2040,0.1380208810752815
Final Energy Demand [TWh],Industry,Dakar,Biomass,2045,0.39222222222222236
Final Energy Demand [TWh],Industry,Dakar,Biomass,2050,0.7011111111111178
Final Energy Demand [TWh],Industry,Dakar,Power,2025,0.10019105875888909
Final Energy Demand [TWh],Industry,Dakar,Power,2030,0.3645968719023815
Final Energy Demand [TWh],Industry,Dakar,Power,2035,0.48538694550571243
Final Energy Demand [TWh],Industry,Dakar,Power,2040,0.6611945901893442
Final Energy Demand [TWh],Industry,Dakar,Power,2045,3.1320296685165134
Final Energy Demand [TWh],Industry,Dakar,Power,2050,6.339546537558619
Final Energy Demand [TWh],Industry,Dakar,Gas_Bio,2030,0.1127777777777779
Final Energy Demand [TWh],Industry,Dakar,Gas_Bio,2050,0.2245162501213768
Final Energy Demand [TWh],Industry,Diourbel,H2,2035,0.1015034079451671
