Type,Region,Dim1,Dim2,Year,Value
SelfSufficiencyRate,Dakar,X,X,2022,1.292691202076828
SelfSufficiencyRate,Diourbel,X,X,2022,0.13001200751706948
SelfSufficiencyRate,Thies,X,X,2022,1.6221358100336898
SelfSufficiencyRate,LS,X,X,2022,0.11388550385998132
SelfSufficiencyRate,FKK,X,X,2022,0.14210040420104164
SelfSufficiencyRate,ZS,X,X,2022,0.20463992999838884
SelfSufficiencyRate,MTKK,X,X,2022,1.0281465887761592
SelfSufficiencyRate,Dakar,X,X,2025,1.2668875242578632
SelfSufficiencyRate,Diourbel,X,X,2025,0.11128565785142659
SelfSufficiencyRate,Thies,X,X,2025,1.361485474084152
SelfSufficiencyRate,LS,X,X,2025,0.2217772507117234
SelfSufficiencyRate,FKK,X,X,2025,0.25325967061440186
SelfSufficiencyRate,ZS,X,X,2025,0.22466507729092047
SelfSufficiencyRate,MTKK,X,X,2025,1.7798840618040876
SelfSufficiencyRate,Dakar,X,X,2030,1.2649021370109803
SelfSufficiencyRate,Diourbel,X,X,2030,0.08435446316248567
SelfSufficiencyRate,Thies,X,X,2030,1.2473639308847848
SelfSufficiencyRate,LS,X,X,2030,0.13874353284346908
SelfSufficiencyRate,FKK,X,X,2030,0.17592243778713745
SelfSufficiencyRate,ZS,X,X,2030,0.14391189291794515
SelfSufficiencyRate,MTKK,X,X,2030,1.6846660863596739
SelfSufficiencyRate,Dakar,X,X,2035,1.3498582222331144
SelfSufficiencyRate,Diourbel,X,X,2035,0.06438621889366686
SelfSufficiencyRate,Thies,X,X,2035,0.8064779059338554
SelfSufficiencyRate,LS,X,X,2035,0.5131963053688303
SelfSufficiencyRate,FKK,X,X,2035,0.14972519530790124
SelfSufficiencyRate,ZS,X,X,2035,1.1047317171569129
SelfSufficiencyRate,MTKK,X,X,2035,1.7312270655975963
SelfSufficiencyRate,Dakar,X,X,2040,1.4043567259953469
SelfSufficiencyRate,Diourbel,X,X,2040,0.0639701753018611
SelfSufficiencyRate,Thies,X,X,2040,0.7263977296061526
SelfSufficiencyRate,LS,X,X,2040,0.9059931936075076
SelfSufficiencyRate,FKK,X,X,2040,0.1355192775511855
SelfSufficiencyRate,ZS,X,X,2040,0.9463767444876495
SelfSufficiencyRate,MTKK,X,X,2040,1.593960792013326
SelfSufficiencyRate,Dakar,X,X,2045,1.57402043055341
SelfSufficiencyRate,Diourbel,X,X,2045,0.07391703279847134
SelfSufficiencyRate,Thies,X,X,2045,0.4908449170844994
SelfSufficiencyRate,LS,X,X,2045,1.3288336490558494
SelfSufficiencyRate,FKK,X,X,2045,0.11922182653487971
SelfSufficiencyRate,ZS,X,X,2045,0.7183902851722479
SelfSufficiencyRate,MTKK,X,X,2045,1.1845874861618424
SelfSufficiencyRate,Dakar,X,X,2050,1.3166102763209657
SelfSufficiencyRate,Diourbel,X,X,2050,0.11005541081796329
SelfSufficiencyRate,Thies,X,X,2050,1.226286325698373
SelfSufficiencyRate,LS,X,X,2050,1.0436858852432822
SelfSufficiencyRate,FKK,X,X,2050,0.08766208082360583
SelfSufficiencyRate,ZS,X,X,2050,0.48514569181163086
SelfSufficiencyRate,MTKK,X,X,2050,0.8866916212516975
ElectrificationRate,Total,Industry,X,2025,0.06591948187014678
ElectrificationRate,Total,Transportation,X,2025,0.018563486321225196
ElectrificationRate,Total,Industry,X,2030,0.15233688710282522
ElectrificationRate,Total,Transportation,X,2030,0.08586051245442117
ElectrificationRate,Total,Industry,X,2035,0.11483319932752507
ElectrificationRate,Total,Transportation,X,2035,0.10878370433230561
ElectrificationRate,Total,Industry,X,2040,0.10753980601297905
ElectrificationRate,Total,Transportation,X,2040,0.1594522578913188
ElectrificationRate,Total,Industry,X,2045,0.20572032746197072
ElectrificationRate,Total,Transportation,X,2045,0.34265205384445374
ElectrificationRate,Total,Industry,X,2050,0.30885902669182713
ElectrificationRate,Total,Transportation,X,2050,0.3918180038681281
FinalEnergyConsumption,Dakar,D_Gas_H2,H2,2035,0.009018680732118584
FinalEnergyConsumption,Dakar,D_Gas_H2,H2,2040,0.048122495616979045
FinalEnergyConsumption,Dakar,D_Gas_H2,H2,2045,0.1634911481659107
FinalEnergyConsumption,Dakar,D_Gas_H2,H2,2050,0.3687117353021068
FinalEnergyConsumption,Dakar,FRT_Road_H2,H2,2040,0.09137829164656934
FinalEnergyConsumption,Dakar,FRT_Road_H2,H2,2045,0.09208553386898181
FinalEnergyConsumption,Dakar,FRT_Road_H2,H2,2050,0.06286475290263989
FinalEnergyConsumption,Dakar,HLI_H2_Boiler,H2,2035,0.2385403398117733
FinalEnergyConsumption,Dakar,HLI_H2_Boiler,H2,2040,0.4408969372374807
FinalEnergyConsumption,Dakar,HLI_H2_Boiler,H2,2045,0.8512887749661788
FinalEnergyConsumption,Dakar,HLI_H2_Boiler,H2,2050,1.255076779321975
FinalEnergyConsumption,Dakar,X_Methanation,H2,2035,0.08883305442216269
FinalEnergyConsumption,Dakar,X_Methanation,H2,2040,0.02360700562003225
FinalEnergyConsumption,Dakar,HLI_Gas_Boiler,Gas_Synth,2035,0.006155262850461497
FinalEnergyConsumption,Dakar,HLI_Gas_Boiler,Gas_Synth,2040,0.004271582500630907
FinalEnergyConsumption,Dakar,P_Gas_CCGT,Gas_Synth,2035,0.0049242102803691975
FinalEnergyConsumption,Dakar,P_Gas_CCGT,Gas_Synth,2040,0.0032390630806822
FinalEnergyConsumption,Dakar,HMI_Gas,Gas_Synth,2035,0.007779638146152096
FinalEnergyConsumption,Dakar,HMI_Gas,Gas_Synth,2040,0.0021357912503154543
FinalEnergyConsumption,Dakar,P_Gas_OCGT,Gas_Synth,2035,0.044909018946251905
FinalEnergyConsumption,Dakar,P_Gas_OCGT,Gas_Synth,2040,0.008085740272017318
FinalEnergyConsumption,Dakar,P_Oil,Oil,2022,9.363065508857277
FinalEnergyConsumption,Dakar,P_Oil,Oil,2025,5.813422444444487
FinalEnergyConsumption,Dakar,P_Oil,Oil,2030,5.426960258333376
FinalEnergyConsumption,Dakar,HLI_Oil_Boiler,Oil,2022,0.06535947711111159
FinalEnergyConsumption,Dakar,HLI_Oil_Boiler,Oil,2025,0.0652661064444451
FinalEnergyConsumption,Dakar,HLI_Oil_Boiler,Oil,2030,0.0034641008564405182
FinalEnergyConsumption,Dakar,HLI_Oil_Boiler,Oil,2035,0.003975031467959971
FinalEnergyConsumption,Dakar,HMI_Oil,Oil,2022,0.2795450163333328
FinalEnergyConsumption,Dakar,HMI_Oil,Oil,2025,0.2784699844999998
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2022,0.016344310819791562
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2025,0.036593023020291646
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2030,0.042455682140542295
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2035,0.05105075359111064
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2040,0.06126786977181266
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2045,0.07385129526026045
FinalEnergyConsumption,Dakar,FRT_Rail_Conv,Oil,2050,0.08886579557503199
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2022,1.1710864074962133
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2025,1.247289520796704
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2030,1.097088992397675
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2035,1.2911387130111318
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2040,1.4417789036436448
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2045,1.5623597962788314
FinalEnergyConsumption,Dakar,FRT_Road_ICE,Oil,2050,1.877797578194095
FinalEnergyConsumption,Dakar,FRT_Ship_Conv,Oil,2022,0.010586462769314438
