Region,Region2,Type,Fuel,PathwayScenario,Year,Value
Thies,Dakar,TotalTradeCapacity,Gas_Natural,ID_ID,2025,21.400306870114818
Thies,Dakar,TotalTradeCapacity,Gas_Natural,ID_ID,2030,43.490641331682724
Thies,Dakar,TotalTradeCapacity,Gas_Natural,ID_ID,2035,70.07190145622714
Thies,Dakar,TotalTradeCapacity,Gas_Natural,ID_ID,2040,99.2160471823687
Thies,Dakar,TotalTradeCapacity,Gas_Natural,ID_ID,2045,119.11461469449112
Thies,Dakar,TotalTradeCapacity,Gas_Natural,ID_ID,2050,140.10330064509725
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2022,5.0
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2025,5.0
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2030,5.0
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2035,5.0
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2040,5.0
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2045,5.0
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2050,5.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2022,1.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2025,1.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2030,1.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2035,1.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2040,1.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2045,1.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2050,1.0
LS,Diourbel,TotalTradeCapacity,Gas_Natural,ID_ID,2030,3.5392889746052854
LS,Diourbel,TotalTradeCapacity,Gas_Natural,ID_ID,2035,5.866123610136423
LS,Diourbel,TotalTradeCapacity,Gas_Natural,ID_ID,2040,10.134414131375399
LS,Diourbel,TotalTradeCapacity,Gas_Natural,ID_ID,2045,11.401643943526741
LS,Diourbel,TotalTradeCapacity,Gas_Natural,ID_ID,2050,13.834900918995578
Dakar,Thies,TotalTradeCapacity,Power,ID_ID,2022,5.0
Dakar,Thies,TotalTradeCapacity,Power,ID_ID,2025,5.0
Dakar,Thies,TotalTradeCapacity,Power,ID_ID,2030,5.0
Dakar,Thies,TotalTradeCapacity,Power,ID_ID,2035,5.0
Dakar,Thies,TotalTradeCapacity,Power,ID_ID,2040,5.0
Dakar,Thies,TotalTradeCapacity,Power,ID_ID,2045,5.0
Dakar,Thies,TotalTradeCapacity,Power,ID_ID,2050,5.0
Diourbel,Thies,TotalTradeCapacity,Power,ID_ID,2022,1.0
Diourbel,Thies,TotalTradeCapacity,Power,ID_ID,2025,1.0
Diourbel,Thies,TotalTradeCapacity,Power,ID_ID,2030,1.0
Diourbel,Thies,TotalTradeCapacity,Power,ID_ID,2035,1.0
Diourbel,Thies,TotalTradeCapacity,Power,ID_ID,2040,1.0
Diourbel,Thies,TotalTradeCapacity,Power,ID_ID,2045,1.0
Diourbel,Thies,TotalTradeCapacity,Power,ID_ID,2050,1.0
LS,Thies,TotalTradeCapacity,Gas_Natural,ID_ID,2025,21.424261436879156
LS,Thies,TotalTradeCapacity,Gas_Natural,ID_ID,2030,51.943940361562575
LS,Thies,TotalTradeCapacity,Gas_Natural,ID_ID,2035,85.75718479138288
LS,Thies,TotalTradeCapacity,Gas_Natural,ID_ID,2040,132.46037176944807
LS,Thies,TotalTradeCapacity,Gas_Natural,ID_ID,2045,162.0899258570673
LS,Thies,TotalTradeCapacity,Gas_Natural,ID_ID,2050,194.4187933913455
LS,Thies,TotalTradeCapacity,Power,ID_ID,2022,1.0
LS,Thies,TotalTradeCapacity,Power,ID_ID,2025,1.0
LS,Thies,TotalTradeCapacity,Power,ID_ID,2030,1.0
LS,Thies,TotalTradeCapacity,Power,ID_ID,2035,1.0
LS,Thies,TotalTradeCapacity,Power,ID_ID,2040,1.0
LS,Thies,TotalTradeCapacity,Power,ID_ID,2045,1.0
LS,Thies,TotalTradeCapacity,Power,ID_ID,2050,1.0
FKK,Thies,TotalTradeCapacity,Power,ID_ID,2022,3.0
FKK,Thies,TotalTradeCapacity,Power,ID_ID,2025,3.0
FKK,Thies,TotalTradeCapacity,Power,ID_ID,2030,3.0
FKK,Thies,TotalTradeCapacity,Power,ID_ID,2035,3.0
FKK,Thies,TotalTradeCapacity,Power,ID_ID,2040,3.0
FKK,Thies,TotalTradeCapacity,Power,ID_ID,2045,3.0
FKK,Thies,TotalTradeCapacity,Power,ID_ID,2050,3.0
Thies,LS,TotalTradeCapacity,Power,ID_ID,2022,1.0
Thies,LS,TotalTradeCapacity,Power,ID_ID,2025,1.0
Thies,LS,TotalTradeCapacity,Power,ID_ID,2030,1.0
Thies,LS,TotalTradeCapacity,Power,ID_ID,2035,1.0
Thies,LS,TotalTradeCapacity,Power,ID_ID,2040,1.0
Thies,LS,TotalTradeCapacity,Power,ID_ID,2045,1.0
Thies,LS,TotalTradeCapacity,Power,ID_ID,2050,1.0
Thies,FKK,TotalTradeCapacity,Power,ID_ID,2022,3.0
Thies,FKK,TotalTradeCapacity,Power,ID_ID,2025,3.0
Thies,FKK,TotalTradeCapacity,Power,ID_ID,2030,3.0
Thies,FKK,TotalTradeCapacity,Power,ID_ID,2035,3.0
Thies,FKK,TotalTradeCapacity,Power,ID_ID,2040,3.0
Thies,FKK,TotalTradeCapacity,Power,ID_ID,2045,3.0
Thies,FKK,TotalTradeCapacity,Power,ID_ID,2050,3.0
LS,FKK,TotalTradeCapacity,Gas_Natural,ID_ID,2030,2.3765078810699767
LS,FKK,TotalTradeCapacity,Gas_Natural,ID_ID,2035,3.101586377490258
LS,FKK,TotalTradeCapacity,Gas_Natural,ID_ID,2040,5.707488459388136
LS,FKK,TotalTradeCapacity,Gas_Natural,ID_ID,2045,6.726835937219268
LS,FKK,TotalTradeCapacity,Gas_Natural,ID_ID,2050,6.726835937219268
ZS,FKK,TotalTradeCapacity,Power,ID_ID,2022,0.5
ZS,FKK,TotalTradeCapacity,Power,ID_ID,2025,0.5
ZS,FKK,TotalTradeCapacity,Power,ID_ID,2030,0.5
ZS,FKK,TotalTradeCapacity,Power,ID_ID,2035,0.5
ZS,FKK,TotalTradeCapacity,Power,ID_ID,2040,0.5
ZS,FKK,TotalTradeCapacity,Power,ID_ID,2045,0.5
ZS,FKK,TotalTradeCapacity,Power,ID_ID,2050,0.5
MTKK,FKK,TotalTradeCapacity,Power,ID_ID,2022,0.5
MTKK,FKK,TotalTradeCapacity,Power,ID_ID,2025,0.5
MTKK,FKK,TotalTradeCapacity,Power,ID_ID,2030,0.5
MTKK,FKK,TotalTradeCapacity,Power,ID_ID,2035,0.5
MTKK,FKK,TotalTradeCapacity,Power,ID_ID,2040,0.5
MTKK,FKK,TotalTradeCapacity,Power,ID_ID,2045,0.5
MTKK,FKK,TotalTradeCapacity,Power,ID_ID,2050,0.5
FKK,ZS,TotalTradeCapacity,Power,ID_ID,2022,0.5
FKK,ZS,TotalTradeCapacity,Power,ID_ID,2025,0.5
FKK,ZS,TotalTradeCapacity,Power,ID_ID,2030,0.5
FKK,ZS,TotalTradeCapacity,Power,ID_ID,2035,0.5
FKK,ZS,TotalTradeCapacity,Power,ID_ID,2040,0.5
FKK,ZS,TotalTradeCapacity,Power,ID_ID,2045,0.5
FKK,ZS,TotalTradeCapacity,Power,ID_ID,2050,0.5
MTKK,ZS,TotalTradeCapacity,Gas_Natural,ID_ID,2030,0.45466561556422713
MTKK,ZS,TotalTradeCapacity,Gas_Natural,ID_ID,2035,7.359911920758224
MTKK,ZS,TotalTradeCapacity,Gas_Natural,ID_ID,2040,9.745691742958138
MTKK,ZS,TotalTradeCapacity,Gas_Natural,ID_ID,2045,11.37445060006889
MTKK,ZS,TotalTradeCapacity,Gas_Natural,ID_ID,2050,11.37445060006889
MTKK,ZS,TotalTradeCapacity,Power,ID_ID,2022,0.3
MTKK,ZS,TotalTradeCapacity,Power,ID_ID,2025,0.3
MTKK,ZS,TotalTradeCapacity,Power,ID_ID,2030,0.3
MTKK,ZS,TotalTradeCapacity,Power,ID_ID,2035,0.3
MTKK,ZS,TotalTradeCapacity,Power,ID_ID,2040,0.3
MTKK,ZS,TotalTradeCapacity,Power,ID_ID,2045,0.3
MTKK,ZS,TotalTradeCapacity,Power,ID_ID,2050,0.3
LS,MTKK,TotalTradeCapacity,Gas_Natural,ID_ID,2030,2.250079935415765
LS,MTKK,TotalTradeCapacity,Gas_Natural,ID_ID,2035,13.051434936191411
LS,MTKK,TotalTradeCapacity,Gas_Natural,ID_ID,2040,19.669408372630507
LS,MTKK,TotalTradeCapacity,Gas_Natural,ID_ID,2045,23.026465816876385
LS,MTKK,TotalTradeCapacity,Gas_Natural,ID_ID,2050,23.026465816876385
FKK,MTKK,TotalTradeCapacity,Power,ID_ID,2022,0.5
FKK,MTKK,TotalTradeCapacity,Power,ID_ID,2025,0.5
FKK,MTKK,TotalTradeCapacity,Power,ID_ID,2030,0.5
FKK,MTKK,TotalTradeCapacity,Power,ID_ID,2035,0.5
FKK,MTKK,TotalTradeCapacity,Power,ID_ID,2040,0.5
FKK,MTKK,TotalTradeCapacity,Power,ID_ID,2045,0.5
FKK,MTKK,TotalTradeCapacity,Power,ID_ID,2050,0.5
ZS,MTKK,TotalTradeCapacity,Power,ID_ID,2022,0.3
ZS,MTKK,TotalTradeCapacity,Power,ID_ID,2025,0.3
ZS,MTKK,TotalTradeCapacity,Power,ID_ID,2030,0.3
ZS,MTKK,TotalTradeCapacity,Power,ID_ID,2035,0.3
ZS,MTKK,TotalTradeCapacity,Power,ID_ID,2040,0.3
ZS,MTKK,TotalTradeCapacity,Power,ID_ID,2045,0.3
ZS,MTKK,TotalTradeCapacity,Power,ID_ID,2050,0.3
Thies,Dakar,ResidualCapacity,Power,ID_ID,2022,5.0
Thies,Diourbel,ResidualCapacity,Power,ID_ID,2022,1.0
Dakar,Thies,ResidualCapacity,Power,ID_ID,2022,5.0
Diourbel,Thies,ResidualCapacity,Power,ID_ID,2022,1.0
