Region,Sector,Technology,Type,PathwayScenario,Year,Value
MTKK,Power,RES_Hydro_Small,PeakCapacity,NZ_NZ,2022,0.0018518518518518524
Dakar,Power,P_Oil,PeakCapacity,NZ_NZ,2022,0.006743548737558864
Thies,Power,P_Oil,PeakCapacity,NZ_NZ,2022,0.00206140350877193
ZS,Power,P_Oil,PeakCapacity,NZ_NZ,2022,0.00010526315789473686
MTKK,Power,P_Oil,PeakCapacity,NZ_NZ,2022,0.00012166666666666667
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,NZ_NZ,2022,0.0012342022116903636
Thies,Power,P_Coal_Hardcoal,PeakCapacity,NZ_NZ,2022,0.00019747235387045813
MTKK,Power,RES_Hydro_Large,PeakCapacity,NZ_NZ,2022,0.0017401708581500379
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,NZ_NZ,2022,1.666666666666667e-5
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,NZ_NZ,2022,0.00025
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,NZ_NZ,2022,0.0010375000000000002
LS,Power,RES_PV_Utility_Opt,PeakCapacity,NZ_NZ,2022,0.00020833333333333337
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,NZ_NZ,2022,0.0004666666666666667
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,NZ_NZ,2022,0.0013494897959183678
Dakar,Power,P_Gas_CCGT,PeakCapacity,NZ_NZ,2025,0.00226927431953218
Thies,Power,P_Gas_CCGT,PeakCapacity,NZ_NZ,2025,0.001047357378245619
MTKK,Power,RES_Hydro_Small,PeakCapacity,NZ_NZ,2025,0.0018518518518518524
Dakar,Power,P_Oil,PeakCapacity,NZ_NZ,2025,0.004442982456140349
Thies,Power,P_Oil,PeakCapacity,NZ_NZ,2025,0.0008771929824561402
ZS,Power,P_Oil,PeakCapacity,NZ_NZ,2025,0.00010526315789473686
MTKK,Power,P_Oil,PeakCapacity,NZ_NZ,2025,0.00012166666666666667
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,NZ_NZ,2025,0.0012342022116903636
