Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
Dakar,Power,CO2,P_Gas_CCGT,Emissions,NZ_NZ,2025,0.5945901638273998
Dakar,Power,CO2,P_Gas_CCGT,Emissions,NZ_NZ,2030,0.9000000001079993
Dakar,Power,CO2,P_Gas_CCGT,Emissions,NZ_NZ,2035,1.0746044338543714
Dakar,Power,CO2,P_Gas_CCGT,Emissions,NZ_NZ,2040,0.9900000001187995
Dakar,Power,CO2,P_Gas_CCGT,Emissions,NZ_NZ,2045,0.8491928987752502
Dakar,Power,CO2,P_Oil,Emissions,NZ_NZ,2022,2.4938060529796555
Dakar,Power,CO2,P_Oil,Emissions,NZ_NZ,2025,1.1615218044000024
Dakar,Power,CO2,P_Oil,Emissions,NZ_NZ,2030,0.0019906555204845166
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,NZ_NZ,2022,0.2558960752575501
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,NZ_NZ,2025,0.11134987559460073
Dakar,Power,CO2,P_Gas_OCGT,Emissions,NZ_NZ,2025,0.39857142857939765
Dakar,Power,CO2,P_Gas_OCGT,Emissions,NZ_NZ,2030,0.7609090910003996
Dakar,Power,CO2,P_Gas_OCGT,Emissions,NZ_NZ,2035,0.9873443165088556
Dakar,Power,CO2,P_Gas_OCGT,Emissions,NZ_NZ,2040,0.6187242931363288
Dakar,Power,CO2,P_Gas_OCGT,Emissions,NZ_NZ,2045,0.488256946568872
Thies,Power,CO2,P_Gas_CCGT,Emissions,NZ_NZ,2025,0.2744262294587985
Thies,Power,CO2,P_Gas_CCGT,Emissions,NZ_NZ,2030,0.27000000003239866
Thies,Power,CO2,P_Gas_CCGT,Emissions,NZ_NZ,2035,0.5391687807224848
Thies,Power,CO2,P_Gas_CCGT,Emissions,NZ_NZ,2040,0.44900514235269784
Thies,Power,CO2,P_Gas_CCGT,Emissions,NZ_NZ,2045,0.3317721890819591
Thies,Power,CO2,P_Oil,Emissions,NZ_NZ,2022,0.4230288404650718
Thies,Power,CO2,P_Oil,Emissions,NZ_NZ,2025,0.05103080321262064
Thies,Power,CO2,P_Oil,Emissions,NZ_NZ,2030,0.016300480357576273
Thies,Power,CO2,P_Coal_Hardcoal,Emissions,NZ_NZ,2022,0.011711198629869975
Thies,Power,CO2,P_Coal_Hardcoal,Emissions,NZ_NZ,2025,0.025422576784319948
ZS,Power,CO2,P_Oil,Emissions,NZ_NZ,2022,0.031806732444897935
ZS,Power,CO2,P_Oil,Emissions,NZ_NZ,2025,0.05807609021999999
ZS,Power,CO2,P_Oil,Emissions,NZ_NZ,2030,0.0010504901185095787
MTKK,Power,CO2,P_Oil,Emissions,NZ_NZ,2022,0.027530314813999167
MTKK,Power,CO2,P_Oil,Emissions,NZ_NZ,2025,0.06775543859
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2025,0.17219268422146977
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2030,0.1803353150770522
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2035,0.11760761927664332
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2040,0.12144965093959267
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2025,0.020564396189495657
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2030,0.1423707161668813
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2035,0.22569632247864113
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2040,0.36136325287092413
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2045,0.08086419262027257
Dakar,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2022,0.21909999994522497
Dakar,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2025,0.2404361666379759
Dakar,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2030,0.16126723858262856
Dakar,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2035,0.08236729644197475
Dakar,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2022,0.017411764702399996
Dakar,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2025,0.017386890756799774
Dakar,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2030,0.0015951306959545155
Dakar,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2022,0.0744707923512003
Dakar,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2025,0.07418440387079987
Dakar,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2022,0.49873626360900025
Dakar,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2025,0.6473376999392131
Dakar,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2030,1.049372586129799
Dakar,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2035,0.13787608236827117
Dakar,Industry,CO2,HMI_Gas,Emissions,NZ_NZ,2030,0.0006397914986974902
Dakar,Industry,CO2,HMI_Gas,Emissions,NZ_NZ,2035,0.42112557163602404
Dakar,Industry,CO2,HMI_Gas,Emissions,NZ_NZ,2040,0.35412592286060957
Dakar,Industry,CO2,HMI_Gas,Emissions,NZ_NZ,2045,0.11498886416803283
Diourbel,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2025,0.0322977072974879
Diourbel,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2030,0.03383636076060331
Diourbel,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2035,0.021531858811826864
