Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Power,Dakar,Oil,2022,9.361133832506207
Final Energy Demand [TWh],Power,Dakar,Oil,2025,4.360066833333342
Final Energy Demand [TWh],Power,Dakar,Oil,2030,0.007472430632449387
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2025,4.944054123888871
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2030,8.268165527222227
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2035,10.264579601569254
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2040,8.008384574149396
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2045,6.657954228116902
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2022,0.7569993943247838
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2025,0.32939851968583833
Final Energy Demand [TWh],Power,Dakar,Gas_Bio,2035,0.05003608954186099
Final Energy Demand [TWh],Power,Dakar,Gas_Bio,2040,0.006350591406165233
Final Energy Demand [TWh],Power,Dakar,Gas_Bio,2045,0.25562601854976824
Final Energy Demand [TWh],Power,Thies,Oil,2022,1.5879460978418618
Final Energy Demand [TWh],Power,Thies,Oil,2025,0.19155706911644377
Final Energy Demand [TWh],Power,Thies,Oil,2030,0.06118798933024127
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2025,1.3661202183333276
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2030,1.3440860216666646
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2035,2.684034153337729
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2040,2.2351908719270037
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2045,1.6515939321085171
Final Energy Demand [TWh],Power,Thies,Hardcoal,2022,0.034644416725446624
Final Energy Demand [TWh],Power,Thies,Hardcoal,2025,0.07520582411643578
Final Energy Demand [TWh],Power,Thies,Gas_Bio,2035,0.004137889995603488
Final Energy Demand [TWh],Power,Thies,Gas_Bio,2040,0.004952497517439073
Final Energy Demand [TWh],Power,Thies,Gas_Bio,2045,0.1261838456692632
