Type,Region,Dim1,Dim2,Year,Value
SelfSufficiencyRate,Dakar,X,X,2022,1.2924479470103625
SelfSufficiencyRate,Diourbel,X,X,2022,0.13001200751706948
SelfSufficiencyRate,Thies,X,X,2022,1.623115213439468
SelfSufficiencyRate,LS,X,X,2022,0.1138855038599813
SelfSufficiencyRate,FKK,X,X,2022,0.14210040420104164
SelfSufficiencyRate,ZS,X,X,2022,0.20463992999838884
SelfSufficiencyRate,MTKK,X,X,2022,1.0281465887761596
SelfSufficiencyRate,Dakar,X,X,2025,1.0622887608574878
SelfSufficiencyRate,Diourbel,X,X,2025,0.1113227602511965
SelfSufficiencyRate,Thies,X,X,2025,1.453721488046584
SelfSufficiencyRate,LS,X,X,2025,0.21649256282435902
SelfSufficiencyRate,FKK,X,X,2025,0.23651864901792824
SelfSufficiencyRate,ZS,X,X,2025,0.23892017632457935
SelfSufficiencyRate,MTKK,X,X,2025,2.043999542058907
SelfSufficiencyRate,Dakar,X,X,2030,1.124530108392324
SelfSufficiencyRate,Diourbel,X,X,2030,0.10426960214383398
SelfSufficiencyRate,Thies,X,X,2030,1.4010263956145363
SelfSufficiencyRate,LS,X,X,2030,0.6176316862391353
SelfSufficiencyRate,FKK,X,X,2030,0.21534821411609548
SelfSufficiencyRate,ZS,X,X,2030,0.003075119899823211
SelfSufficiencyRate,MTKK,X,X,2030,1.7565507888878966
SelfSufficiencyRate,Dakar,X,X,2035,1.005657615283728
SelfSufficiencyRate,Diourbel,X,X,2035,0.0910120795849049
SelfSufficiencyRate,Thies,X,X,2035,1.5901818126565135
SelfSufficiencyRate,LS,X,X,2035,1.6217745715664795
SelfSufficiencyRate,FKK,X,X,2035,0.14747871752815478
SelfSufficiencyRate,MTKK,X,X,2035,1.225511864944727
SelfSufficiencyRate,Dakar,X,X,2040,0.8641142160044731
SelfSufficiencyRate,Diourbel,X,X,2040,0.06569208906601903
SelfSufficiencyRate,Thies,X,X,2040,1.584591983604647
SelfSufficiencyRate,LS,X,X,2040,2.923643536356836
SelfSufficiencyRate,FKK,X,X,2040,0.11305344144413383
SelfSufficiencyRate,MTKK,X,X,2040,0.8754903997500547
SelfSufficiencyRate,Dakar,X,X,2045,0.7219405611159467
SelfSufficiencyRate,Diourbel,X,X,2045,0.15842852763286536
SelfSufficiencyRate,Thies,X,X,2045,1.8414291932664086
SelfSufficiencyRate,LS,X,X,2045,2.5584981438245324
SelfSufficiencyRate,FKK,X,X,2045,0.09556988819904912
SelfSufficiencyRate,MTKK,X,X,2045,0.8003703398133716
SelfSufficiencyRate,Dakar,X,X,2050,0.5214206654633466
SelfSufficiencyRate,Diourbel,X,X,2050,1.0703107483859986
SelfSufficiencyRate,Thies,X,X,2050,1.5893792907478699
SelfSufficiencyRate,LS,X,X,2050,1.9850016378506634
SelfSufficiencyRate,FKK,X,X,2050,0.961369481404213
SelfSufficiencyRate,ZS,X,X,2050,0.08152772248555737
SelfSufficiencyRate,MTKK,X,X,2050,1.3646858507507282
ElectrificationRate,Total,Industry,X,2025,0.011997716530335926
ElectrificationRate,Total,Transportation,X,2025,0.01868671318181293
ElectrificationRate,Total,Industry,X,2030,0.032892803479128194
ElectrificationRate,Total,Transportation,X,2030,0.08001986883342915
ElectrificationRate,Total,Industry,X,2035,0.15983828603661213
ElectrificationRate,Total,Transportation,X,2035,0.14563527462472778
ElectrificationRate,Total,Industry,X,2040,0.3011075679200251
ElectrificationRate,Total,Transportation,X,2040,0.5077687505266615
ElectrificationRate,Total,Industry,X,2045,0.5679007842471094
ElectrificationRate,Total,Transportation,X,2045,0.6177371154617441
ElectrificationRate,Total,Industry,X,2050,0.6425862373334397
ElectrificationRate,Total,Transportation,X,2050,0.6660304118999651
FinalEnergyConsumption,Dakar,D_Gas_H2,H2,2035,0.03613000433571478
FinalEnergyConsumption,Dakar,D_Gas_H2,H2,2040,0.07479283454385216
FinalEnergyConsumption,Dakar,D_Gas_H2,H2,2045,0.47019772113958225
FinalEnergyConsumption,Dakar,D_Gas_H2,H2,2050,0.9039487429794936
FinalEnergyConsumption,Dakar,FRT_Road_H2,H2,2035,0.1161118961116499
FinalEnergyConsumption,Dakar,FRT_Road_H2,H2,2040,0.10207291113808524
