Generator,Node,Technology,MutuallyExclusive,StorageType,OutflowsType,EnergyType,MustRun,OutflowsIncompatibility,NoOperatingReserve,BinaryInvestment,BinaryRetirement,BinaryCommitment,InitialPeriod,FinalPeriod,MaximumPower,MinimumPower,MaximumPowerHeat,MinimumPowerHeat,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,ShiftTime,EFOR,RampUp,RampDown,UpTime,DownTime,StableTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,OperReserveCost,StartUpCost,ShutDownCost,CO2EmissionRate,Availability,FixedInvestmentCost,FixedRetirementCost,FixedChargeRate,StorageInvestment,Inertia,MaximumReactivePower,MinimumReactivePower,InvestmentLo,InvestmentUp,RetirementLo,RetirementUp,ProductionFunctionHydro,ProductionFunctionH2,ProductionFunctionHeat,ProductionFunctionH2ToHeat
Centrale_C_Cap_CTag,Senegal States|Cap_Des_Biches,P_Oil,,,,,,,yes,,,,2003,2035,187.0794177,,,,,,,,,0.383885865,,0.05,,,,,,15,9.377787326,1500,5,,7.48896,,0.693956262,0.95,,,,,,,,,,,,,,,
Diesel_Bel_Air,Senegal States|Bel_Air,P_Oil,,,,,,,yes,,,,2009,2028,279.7839506,,,,,,,,,0.383885865,,0.05,,,,,,15,9.377787326,1500,5,,7.48897,,0.693956262,0.95,,,,,,,,,,,,,,,
Gas_Turbines,Senegal States|Cap_Des_Biches,P_Oil,,,,,,,yes,,,,2008,2035,31.23558135,,,,,,,,,0.383885865,,0.05,,,,,,15,9.377787326,1500,5,,7.48898,,0.693956262,0.95,,,,,,,,,,,,,,,
Boutoute,Senegal States|Ziguinchor,P_Oil,,,,,,,yes,,,,2005,2030,6.5,,,,,,,,,0.383885865,,0.05,,,,,,15,9.377787326,1500,5,,7.48896,,0.693956262,0.95,,,,,,,,,,,,,,,
Secondary_Plants,Senegal States|Bakel,P_Oil,,,,,,,yes,,,,2010,2030,13.87,,,,,,,,,0.383885865,,0.05,,,,,,15,9.377787326,1500,5,,7.48898,,0.693956262,0.95,,,,,,,,,,,,,,,
Kounoune_Power,Senegal States|Kounoune,P_Oil,,,,,,,yes,,,,2008,2033,56.8,,,,,,,,,0.383885865,,0.05,,,,,,15,9.377787326,1500,5,,7.48898,,0.693956262,0.95,,,,,,,,,,,,,,,
Tobene_Power,Senegal States|Tobene,P_Oil,,,,,,,yes,,,,2019,2024,115,,,,,,,,,0.383885865,,0.05,,,,,,15,9.377787326,1500,5,,7.48899,,0.693956262,0.95,,,,,,,,,,,,,,,
ICS,Senegal States|ICS,P_Coal_Hardcoal,,,,,,,yes,,,,2021,2030,20,,,,,,,,,0.383885865,,0.05,,,,,,4.8,7.436326532,1500,5,,1.79492,,0.7512,0.844,,,,,,,,,,,,,,,
Contour_Global,Senegal States|Cap_Des_Biches,P_Oil,,,,,,,yes,,,,2016,2036,72,,,,,,,,,0.383885865,,0.05,,,,,,15,9.377787326,1500,5,,7.48896,,0.693956262,0.95,,,,,,,,,,,,,,,
KPS_KarPowerShip,Senegal States|Bel_Air,P_Oil,,,,,,,yes,,,,2019,2024,280,,,,,,,,,0.383885865,,0.05,,,,,,15,9.377787326,1500,5,,7.48896,,0.693956262,0.95,,,,,,,,,,,,,,,
Aggreko_Boutoute,Senegal States|Tanaf,P_Oil,,,,,,,yes,,,,2012,2030,7.5,,,,,,,,,0.383885865,,0.05,,,,,,15,9.377787326,1500,5,,7.48896,,0.693956262,0.95,,,,,,,,,,,,,,,
CES_Sendou,Senegal States|Sendou,P_Coal_Hardcoal,,,,,,,yes,,,,2018,2030,125,,,,,,,,,0.383885865,,0.05,,,,,,4.8,7.436326532,1500,3,,7.48896,,0.7512,0.844,,,,,,,,,,,,,,,
Solar_CICAD,Senegal States|Fabrimetal,RES_PV_Utility_Opt,,,,,,,yes,,,,2014,2035,2,,,,,,,,,0.207073226,,,,,,,,,,,0.5,,,,0,0.98,,,,,,,,,,,,,,,
Solar_DIASS,Senegal States|Diass,RES_PV_Utility_Opt,,,,,,,yes,,,,2019,2039,12.8696629,,,,,,,,,0.204588444,,,,,,,,,,,0.5,,,,0,0.98,,,,,,,,,,,,,,,
Manantali,Senegal States|Kayes,RES_Hydro_Large,,Hourly,Hourly,,,,No,,,,1988,2041,200,,,,,,0.1,1000,1,0.9,,,,,,,,,,,1.6,,,,0,0.417282298,,,,,,,,,,,,,,,
PETN_Taiba_Ndiaye_Wind,Senegal States|Tobene,RES_Wind_Onshore_Opt,,,,,,,yes,,,,2020,2040,158.7,,,,,,,,,0.331754934,,,,,,,,,,,2,,,,0,0.98,,,,,,,,,,,,,,,
PV_Bokhol,Senegal States|Dagana,RES_PV_Utility_Opt,,,,,,,yes,,,,2016,2036,25,,,,,,,,,0.206546466,,,,,,,,,,,0.5,,,,0,0.98,,,,,,,,,,,,,,,
