InitialNode,FinalNode,Circuit,LineType,Switching,InitialPeriod,FinalPeriod,Voltage,Length,Reactance,TTC,TTCBck,SecurityFactor,FixedInvestmentCost,FixedChargeRate,BinaryInvestment,SwOnTime,SwOffTime,Resistance,Susceptance,Tap,AngMin,LossFactor,AngMax,InvestmentLo,InvestmentUp
Senegal States|Aeroport,Senegal States|Universite,ac1,AC,,2000,2050,90,11.4,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Aeroport,Senegal States|Patte_Doie,ac1,AC,,2000,2050,90,7.9,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Aeroport,Senegal States|Universite,ac2,AC,,2000,2050,90,11.4,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Universite,Senegal States|Bel_Air,ac1,AC,,2000,2050,90,2.9,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Someta,Senegal States|Fabrimetal,ac1,AC,,2000,2050,90,1.58388926,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Universite,Senegal States|Centre_Ville,ac1,AC,,2000,2050,90,3.4768158,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Centre_Ville,Senegal States|Bel_Air,ac1,AC,,2000,2050,90,2.373,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Aeroport,Senegal States|Patte_Doie,ac2,AC,,2000,2050,90,7.9,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Sicap,Senegal States|Universite,ac1,AC,,2000,2050,90,2.556,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Bel_Air,Senegal States|Hann,ac1,AC,,2000,2050,90,4.5,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Bel_Air,Senegal States|Hann,ac2,AC,,2000,2050,90,4.5,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Bel_Air,Senegal States|Hann,ac3,AC,,2000,2050,90,4.6,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Universite,Senegal States|Bel_Air,ac2,AC,,2000,2050,90,2.9,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Kounoune,Senegal States|Patte_Doie,ac1,AC,,2000,2050,225,23,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Kounoune,Senegal States|Patte_Doie,ac2,AC,,2000,2025,225,23,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Tobene,Senegal States|ICS,ac1,AC,,2000,2050,90,10,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Diamniadio,Senegal States|Sendou,ac1,AC,,2020,2050,225,1.5,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Hann,Senegal States|Patte_Doie,ac1,AC,,2000,2050,90,0.8,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Diass,Senegal States|Mbour,ac1,AC,,2000,2050,225,26.5,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Patte_Doie,Senegal States|Cap_Des_Biches,ac1,AC,,2000,2050,90,14.338,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Hann,Senegal States|Mbao,ac1,AC,,2020,2050,90,10.9,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Fatick,Senegal States|Kahone,ac1,AC,,2000,2050,225,46.5,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Someta,Senegal States|Thiona,ac1,AC,,2000,2050,90,23.7,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Sococim,Senegal States|Olam,ac1,AC,,2000,2050,90,9.1,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Sakal,Senegal States|Dagana,ac1,AC,,2000,2050,225,113.9,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Tobene,Senegal States|Sakal,ac1,AC,,2000,2050,225,124,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Ndioum,Senegal States|Matam,ac1,AC,,2019,2050,225,176.843,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Matam,Senegal States|Bakel,ac1,AC,,2019,2050,225,124.4,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Sendou,Senegal States|Diass,ac1,AC,,2020,2050,225,12.509,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Hann,Senegal States|Guediawaye,ac1,AC,,2000,2050,90,6.855822,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Mbour,Senegal States|Fatick,ac1,AC,,2000,2050,225,58.7,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Kedougou,Senegal States|Sabangalou,ac1,AC,,2000,2050,225,31,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Touba_2,Senegal States|Linguere,ac1,AC,,2000,2050,225,84.079,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Tanaf,Senegal States|Ziguinchor,ac1,AC,,2000,2050,225,91.8,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Kolda,Senegal States|Ziguinchor,ac1,AC,,2000,2050,225,157.3,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Tambacounda,Senegal States|Kolda,ac1,AC,,2000,2050,225,197.2,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Tobene,Senegal States|Saint_Louis,ac1,AC,,2000,2050,225,143.8,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Kahone,Senegal States|Wack_Ngouna,ac1,AC,,2000,2050,225,44.2304,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|SDE,Senegal States|Pekesse,ac1,AC,,2000,2050,90,20.4154,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Cap_Des_Biches,Senegal States|Sococim,ac1,AC,,2000,2050,90,6.5,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Kounoune,Senegal States|Diamniadio,ac1,AC,,2000,2050,225,6.3643,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Tobene,Senegal States|Touba_1,ac1,AC,,2000,2050,225,105.9,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Touba_1,Senegal States|Kahone,ac1,AC,,2000,2050,225,70,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Tobene,Senegal States|Thies_Numerique,ac1,AC,,2000,2050,225,26.8584,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Kounoune,Senegal States|Tobene,ac1,AC,,2000,2050,225,53.2,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Thies_Numerique,Senegal States|Diass,ac1,AC,,2000,2050,225,28.4573,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Cap_Des_Biches,Senegal States|Kounoune,ac1,AC,,2000,2050,225,4.5,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Cap_Des_Biches,Senegal States|Kounoune,ac2,AC,,2000,2050,225,6.4,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Thiona,Senegal States|Tobene,ac1,AC,,2000,2050,90,31.4,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Someta,Senegal States|Thiona,ac2,AC,,2000,2050,90,23.7,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Tobene,Senegal States|SDE,ac1,AC,,2000,2050,90,30.6728,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Linguere,Senegal States|Ndioum,ac1,AC,,2000,2050,225,134.8807,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Touba_1,Senegal States|Touba_2,ac1,AC,,2000,2050,225,2.0905,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Dagana,Senegal States|Ndioum,ac1,AC,,2000,2050,225,84.151,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Tambacounda,Senegal States|Kedougou,ac1,AC,,2000,2050,225,230.5,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Kahone,Senegal States|Tanaf,ac1,AC,,2000,2050,225,65.5,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Tambacounda,Senegal States|Kayes,ac1,AC,,2000,2050,225,274.5,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Kahone,Senegal States|Tambacounda,ac1,AC,,2000,2050,225,262.1,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Kahone,Senegal States|Tanaf,ac2,AC,,2000,2050,225,215.2,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Tambacounda,Senegal States|Kayes,ac2,AC,,2000,2050,225,274.5,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Hann,Senegal States|Cap_Des_Biches,ac1,AC,,2000,2050,90,15.6,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Guediawaye,Senegal States|Kounoune,ac1,AC,,2000,2050,90,13.776,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Hann,Senegal States|Patte_Doie,ac2,AC,,2000,2050,90,1.2,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Mbao,Senegal States|Cap_Des_Biches,ac1,AC,,2000,2050,90,7.2,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Olam,Senegal States|Someta,ac1,AC,,2000,2050,90,2.5,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Kounoune,Senegal States|Sococim,ac1,AC,,2000,2050,90,4.7,0.05,200,,1,,,,,,,,,,0.03,,,
Senegal States|Tambacounda,Senegal States|Velingara,ac1,AC,,2000,2050,225,77.0132,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Velingara,Senegal States|Kolda,ac1,AC,,2000,2050,225,100.1054,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Tobene,Senegal States|Saint_Louis,ac2,AC,,2000,2050,225,143.8,0.05,400,,1,,,,,,,,,,0.03,,,
Senegal States|Patte_Doie,Senegal States|Cap_Des_Biches,ac2,AC,,2000,2050,90,18,0.05,200,,1,,,,,,,,,,0.03,,,
