Node,Latitude,Longitude
Senegal States|Dagana,16.5118416805,-15.4662609850
Senegal States|Sakal,15.8590442966,-16.2285210914
Senegal States|Touba_1,14.7934067013,-15.9354962647
Senegal States|Kahone,14.1670756195,-16.0316312384
Senegal States|Diass,14.6586784899,-17.1016541035
Senegal States|Bakel,14.8907403483,-12.4741016166
Senegal States|Thiona,14.7799689455,-16.9427368658
Senegal States|Tobene,15.0046452542,-16.8652694996
Senegal States|ICS,15.1010835237,-16.8403643218
Senegal States|SDE,15.1461977023,-16.6199737177
Senegal States|Fatick,14.3665096866,-16.4165500018
Senegal States|Mbour,14.4702621193,-16.9506087224
Senegal States|Ziguinchor,12.5598281452,-16.2249782740
Senegal States|Tanaf,12.6591533000,-15.4644387000
Senegal States|Tambacounda,13.7747278942,-13.7293868204
Senegal States|Kolda,12.8640557412,-14.9361624099
Senegal States|Sabangalou,12.3979422115,-12.2171713179
Senegal States|Kedougou,12.5456536153,-12.2496142155
Senegal States|Matam,15.6130300002,-13.3146099984
Senegal States|Velingara,13.1606406581,-14.0643325795
Senegal States|Koungheul,13.9671011543,-14.8318932575
Senegal States|Pekesse,15.1133263056,-16.4330760774
Senegal States|Ndioum,16.5163424077,-14.6780138566
Senegal States|Touba_2,14.9257094820,-15.7968163790
Senegal States|Kayes,14.3582570779,-11.3498413821
Senegal States|Linguere,15.4011155867,-15.1864800326
Senegal States|Wack_Ngouna,13.7682969238,-16.0604743524
Senegal States|Saint_Louis,15.9997697330,-16.4314311530
Senegal States|Aeroport,14.7468194883,-17.4861565510
Senegal States|Sicap,14.7135658006,-17.4534123048
Senegal States|Universite,14.6917311378,-17.4611823382
Senegal States|Centre_Ville,14.6688622521,-17.4390443403
Senegal States|Bel_Air,14.6899092464,-17.4348083812
Senegal States|Hann,14.7313941520,-17.4377117535
Senegal States|Patte_Doie,14.7370353705,-17.4324934581
Senegal States|Guediawaye,14.7714711623,-17.3891517503
Senegal States|Mbao,14.7584108685,-17.3434122156
Senegal States|Cap_Des_Biches,14.7198952301,-17.3005151870
Senegal States|Kounoune,14.7429360128,-17.2646093607
Senegal States|Sococim,14.7101846688,-17.2482908607
Senegal States|Sendou,14.6887528359,-17.2136092749
Senegal States|Diamniadio,14.7115874990,-17.2150574379
Senegal States|Olam,14.7206902240,-17.1757271206
Senegal States|Someta,14.7319769009,-17.1559051706
Senegal States|Fabrimetal,14.7447404416,-17.1625650944
Senegal States|Thies_Numerique,14.7619679795,-16.8596567863
