Period,Scenario,Technology,Senegal
2022,sc01,EnergyDemand,-5729.093950526324
2022,sc01,EnergyFlowIn,2476.3156758673226
2022,sc01,EnergyFlowOut,-2476.3156758673226
2022,sc01,EnergyNotServed,0.0
2022,sc01,LineLossesIn,-134.18804230289098
2022,sc01,LineLossesOut,-134.18804230289098
2022,sc01,P_Coal_Hardcoal,356.23971503702404
2022,sc01,P_Oil,4370.738187382831
2022,sc01,RES_Hydro_Large,270.3747399451714
2022,sc01,RES_Hydro_Large -,0.0
2022,sc01,RES_Hydro_Small,247.221188547744
2022,sc01,RES_PV_Utility_Opt,371.181175445746
2022,sc01,RES_Wind_Onshore_Opt,381.71502877359
