Period,Scenario,LoadLevel,Centrale_Kael_Solaire,Centrale_Kahone_Solaire,Felou_Gouina,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Kahone,PV_Malicounda,PV_Sakal,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,Solar_CICAD,Solar_DIASS
2022,sc01,01-01 00:00:00+01:00,0.0,0.0,6.028089611548334e-06,0.00016632146414452404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-01 01:00:00+01:00,0.0,0.0,6.028089611548334e-06,0.00017619108945563557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-01 02:00:00+01:00,0.0,0.0,6.028089611548334e-06,0.00017892727634866707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-01 03:00:00+01:00,0.0,0.0,6.028089611548334e-06,0.0001792283106797069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-01 04:00:00+01:00,0.0,0.0,6.028089611548334e-06,0.00017985188177068083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-01 05:00:00+01:00,0.0,0.0,6.028089611548334e-06,0.00018191074158213234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-01 06:00:00+01:00,0.0,0.0,6.028089611548334e-06,0.00018616822707447832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-01 07:00:00+01:00,0.0,0.0,6.028089611548334e-06,0.00019257058209385316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-01 08:00:00+01:00,0.0,0.0,6.028089611548334e-06,0.00019691407730177652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-01 09:00:00+01:00,1.8957716708719627e-06,2.2201711784810836e-06,6.028089611548334e-06,0.00019590346200092584,1.5642882547796294e-06,1.3321027070070203e-06,3.76262441971425e-06,6.271040702244742e-07,9.406561075815306e-07,9.249785027954128e-07,7.207815725652085e-08,7.211696793500315e-07
2022,sc01,01-01 10:00:00+01:00,4.170697677550913e-06,4.789017246741547e-06,6.028089611548334e-06,0.00018999566349915895,3.4553494277343767e-06,2.873410348453077e-06,8.562968544777617e-06,1.427161424537752e-06,2.1407421417044154e-06,2.105063099825885e-06,1.7529758710510585e-07,1.6412356349940382e-06
2022,sc01,01-01 11:00:00+01:00,5.78282278254723e-06,6.868376587597339e-06,6.028089611548334e-06,0.00018350192295290874,4.952673526561928e-06,4.121025951742105e-06,1.1939713210066921e-05,1.989952202494118e-06,2.984928310679709e-06,2.9351794969645986e-06,2.5181057358802937e-07,2.2884450280520784e-06
2022,sc01,01-01 12:00:00+01:00,7.222918832236915e-06,8.240632855336512e-06,6.028089611548334e-06,0.00016499368773177772,5.925959435709609e-06,4.944379711569312e-06,1.4949575284296153e-05,2.4915958811241744e-06,3.7373938306655386e-06,3.6751039228827094e-06,3.1292349411408443e-07,2.8653352576195307e-06
2022,sc01,01-01 13:00:00+01:00,7.845445372121637e-06,8.898819408788106e-06,6.028089611548334e-06,0.00013829301826956286,6.4314803357923e-06,5.339291645272864e-06,1.619032710280375e-05,2.6983878512835895e-06,4.047581786516885e-06,3.98012207857194e-06,3.3690081205312817e-07,3.1031460226294122e-06
2022,sc01,01-01 14:00:00+01:00,7.821856106275459e-06,8.829045845737667e-06,6.028089611548334e-06,0.00011293625206625409,6.4049976286546726e-06,5.297427506626302e-06,1.6237819994889986e-05,2.706303333434012e-06,4.059455009742518e-06,3.991797414458107e-06,3.4050715648348697e-07,3.1122488271840275e-06
