Period,Scenario,LoadLevel,Manantali
2022,sc01,01-01 00:00:00+01:00,0.0010113674878586324
2022,sc01,01-01 01:00:00+01:00,0.001022734976717265
2022,sc01,01-01 02:00:00+01:00,0.0010341024655758973
2022,sc01,01-01 03:00:00+01:00,0.0010454699544345297
2022,sc01,01-01 04:00:00+01:00,0.0010568374432931623
2022,sc01,01-01 05:00:00+01:00,0.0010682049321517947
2022,sc01,01-01 06:00:00+01:00,0.0010795724210104273
2022,sc01,01-01 07:00:00+01:00,0.0010909399098690596
2022,sc01,01-01 08:00:00+01:00,0.001102307398727692
2022,sc01,01-01 09:00:00+01:00,0.0011136748875863246
2022,sc01,01-01 10:00:00+01:00,0.001125042376444957
2022,sc01,01-01 11:00:00+01:00,0.0011364098653035895
2022,sc01,01-01 12:00:00+01:00,0.001147777354162222
2022,sc01,01-01 13:00:00+01:00,0.0011591448430208543
2022,sc01,01-01 14:00:00+01:00,0.0011705123318794869
2022,sc01,01-01 15:00:00+01:00,0.0011818798207381192
2022,sc01,01-01 16:00:00+01:00,0.0011932473095967518
2022,sc01,01-01 17:00:00+01:00,0.0012046147984553842
2022,sc01,01-01 18:00:00+01:00,0.0012159822873140165
2022,sc01,01-01 19:00:00+01:00,0.0012273497761726491
2022,sc01,01-01 20:00:00+01:00,0.0012387172650312815
2022,sc01,01-01 21:00:00+01:00,0.0012500847538899139
2022,sc01,01-01 22:00:00+01:00,0.0012614522427485465
2022,sc01,01-01 23:00:00+01:00,0.0012728197316071788
2022,sc01,01-02 00:00:00+01:00,0.001283735690696263
2022,sc01,01-02 01:00:00+01:00,0.0012946516497853472
2022,sc01,01-02 02:00:00+01:00,0.0013055676088744312
2022,sc01,01-02 03:00:00+01:00,0.0013164835679635154
2022,sc01,01-02 04:00:00+01:00,0.0013273995270525996
2022,sc01,01-02 05:00:00+01:00,0.0013383154861416836
2022,sc01,01-02 06:00:00+01:00,0.0013492314452307678
2022,sc01,01-02 07:00:00+01:00,0.001360147404319852
2022,sc01,01-02 08:00:00+01:00,0.001371063363408936
2022,sc01,01-02 09:00:00+01:00,0.0013819793224980202
2022,sc01,01-02 10:00:00+01:00,0.0013928952815871044
2022,sc01,01-02 11:00:00+01:00,0.0014038112406761884
2022,sc01,01-02 12:00:00+01:00,0.0014147271997652726
2022,sc01,01-02 13:00:00+01:00,0.0014256431588543568
2022,sc01,01-02 14:00:00+01:00,0.0014365591179434408
2022,sc01,01-02 15:00:00+01:00,0.001447475077032525
2022,sc01,01-02 16:00:00+01:00,0.0014583910361216092
2022,sc01,01-02 17:00:00+01:00,0.0014693069952106932
2022,sc01,01-02 18:00:00+01:00,0.0014802229542997774
2022,sc01,01-02 19:00:00+01:00,0.0014911389133888616
2022,sc01,01-02 20:00:00+01:00,0.0015020548724779456
2022,sc01,01-02 21:00:00+01:00,0.0015129708315670298
2022,sc01,01-02 22:00:00+01:00,0.001523886790656114
2022,sc01,01-02 23:00:00+01:00,0.001534802749745198
2022,sc01,01-03 00:00:00+01:00,0.001545316939554684
2022,sc01,01-03 01:00:00+01:00,0.00155583112936417
2022,sc01,01-03 02:00:00+01:00,0.0015663453191736558
2022,sc01,01-03 03:00:00+01:00,0.0015768595089831418
2022,sc01,01-03 04:00:00+01:00,0.0015873736987926275
2022,sc01,01-03 05:00:00+01:00,0.0015978878886021134
2022,sc01,01-03 06:00:00+01:00,0.0016084020784115994
2022,sc01,01-03 07:00:00+01:00,0.0016189162682210853
2022,sc01,01-03 08:00:00+01:00,0.001629430458030571
2022,sc01,01-03 09:00:00+01:00,0.001639944647840057
2022,sc01,01-03 10:00:00+01:00,0.0016504588376495429
2022,sc01,01-03 11:00:00+01:00,0.0016609730274590288
2022,sc01,01-03 12:00:00+01:00,0.0016714872172685147
2022,sc01,01-03 13:00:00+01:00,0.0016820014070780005
2022,sc01,01-03 14:00:00+01:00,0.0016925155968874864
2022,sc01,01-03 15:00:00+01:00,0.0017030297866969723
2022,sc01,01-03 16:00:00+01:00,0.0017135439765064583
2022,sc01,01-03 17:00:00+01:00,0.001724058166315944
2022,sc01,01-03 18:00:00+01:00,0.00173457235612543
2022,sc01,01-03 19:00:00+01:00,0.0017450865459349158
2022,sc01,01-03 20:00:00+01:00,0.0017556007357444018
2022,sc01,01-03 21:00:00+01:00,0.0017661149255538877
2022,sc01,01-03 22:00:00+01:00,0.0017766291153633734
2022,sc01,01-03 23:00:00+01:00,0.0017871433051728594
2022,sc01,01-04 00:00:00+01:00,0.0017972649404527376
2022,sc01,01-04 01:00:00+01:00,0.0018073865757326161
2022,sc01,01-04 02:00:00+01:00,0.0018175082110124944
2022,sc01,01-04 03:00:00+01:00,0.0018276298462923729
2022,sc01,01-04 04:00:00+01:00,0.0018377514815722511
2022,sc01,01-04 05:00:00+01:00,0.0018478731168521294
2022,sc01,01-04 06:00:00+01:00,0.001857994752132008
2022,sc01,01-04 07:00:00+01:00,0.0018681163874118862
2022,sc01,01-04 08:00:00+01:00,0.0018782380226917644
