Period,Scenario,LoadLevel,Centrale_C_Cap_CTag,Contour_Global,Diesel_Bel_Air,Gas_Turbines,KPS_KarPowerShip,Kounoune_Power,Malicounda_Power,Manantali,Secondary_Plants,Tobene_Power
2022,sc01,01-01 00:00:00+01:00,177.725446815,19.007409096460663,265.79475307000007,29.6738022825,188.91261745093234,1.7826459936497034,,200.0,,70.20970726521608
2022,sc01,01-01 01:00:00+01:00,129.97927568194513,68.4,265.79475307000007,29.6738022825,191.48219698425828,4.487453166497242,,200.0,0.30935224291912466,82.66932493695633
2022,sc01,01-01 02:00:00+01:00,130.80248550900322,68.4,192.56173973011332,29.6738022825,266.0,5.8383040393472365,,200.0,0.5135926839430726,87.50158945557901
2022,sc01,01-01 03:00:00+01:00,131.62569533606148,68.4,265.79475307000007,29.6738022825,194.05177633596776,7.189154912197557,,200.0,0.7178331249670152,90.84227067420176
2022,sc01,01-01 04:00:00+01:00,177.725446815,19.007409096460663,188.7073705209324,29.6738022825,266.0,1.7826459936497105,,200.0,,78.49737896521607
2022,sc01,01-01 05:00:00+01:00,121.25331290000373,68.4,175.85947358076822,29.6738022825,266.0,,,200.0,,32.9498553891416
2022,sc01,01-01 06:00:00+01:00,92.41109574181853,68.4,157.34393044753753,29.6738022825,266.0,,,200.0,,
2022,sc01,01-01 07:00:00+01:00,42.472876850820434,68.4,265.79475307000007,29.6738022825,146.47807739589385,,,200.0,,
2022,sc01,01-01 08:00:00+01:00,22.13542344333655,68.4,140.54505587783922,29.6738022825,266.0,,,200.0,,
2022,sc01,01-01 09:00:00+01:00,177.725446815,,265.79475307000007,3.3841114960477503,144.7846644591659,,,200.0,,
2022,sc01,01-01 10:00:00+01:00,101.44731325500773,68.4,150.36584910696394,29.6738022825,266.0,,,200.0,,47.262857924402574
2022,sc01,01-01 11:00:00+01:00,177.725446815,21.657866499309357,265.79475307000007,,147.93485369290414,,,200.0,,65.43376249389313
2022,sc01,01-01 12:00:00+01:00,177.725446815,,265.79475307000007,18.761178497636617,144.1034024850154,,1.1186259963412022,200.0,,65.36940481104173
2022,sc01,01-01 13:00:00+01:00,102.66833188660331,68.4,265.79475307000007,29.6738022825,147.8727655837998,,11.033740059825325,200.0,,62.71007879054554
2022,sc01,01-01 14:00:00+01:00,107.36755175816835,68.4,152.73325868891632,29.6738022825,266.0,,16.39418594255413,200.0,,56.96551043936522
2022,sc01,01-01 15:00:00+01:00,109.55443231835375,68.4,156.58762789809722,29.6738022825,266.0,,15.453311377063576,200.0,,47.17840826858265
2022,sc01,01-01 16:00:00+01:00,107.33724601155708,68.4,265.79475307000007,29.6738022825,152.93850561891628,,0.9744476174072154,200.0,,17.766921061902085
2022,sc01,01-01 17:00:00+01:00,51.85813739006681,68.4,145.84493763213794,29.6738022825,266.0,,,200.0,,
2022,sc01,01-01 18:00:00+01:00,,40.50815394391629,265.79475307000007,29.6738022825,142.85815955637227,,,200.0,,
2022,sc01,01-01 19:00:00+01:00,,14.873978932058739,146.37560845609408,29.6738022825,266.0,,,200.0,,
2022,sc01,01-01 20:00:00+01:00,,46.386149648742425,265.79475307000007,29.6738022825,153.15246749032258,,,200.0,,
2022,sc01,01-01 21:00:00+01:00,27.438416812918533,68.4,160.04904989507247,29.6738022825,266.0,,,200.0,,
2022,sc01,01-01 22:00:00+01:00,87.2064908002015,68.4,170.69281108021437,29.6738022825,266.0,,,200.0,,
2022,sc01,01-01 23:00:00+01:00,177.725446815,15.345464942536191,182.28342196004206,29.6738022825,266.0,,,200.0,,9.765419960221095
2022,sc01,01-02 00:00:00+01:00,128.33285591146065,68.4,188.7073705209324,29.6738022825,266.0,1.7449246959447342,,200.0,,34.21784343844936
2022,sc01,01-02 01:00:00+01:00,129.97927568194513,68.4,265.79475307000007,29.6738022825,191.48219698425828,4.449731868792273,,200.0,0.30935224291912466,46.595144170189684
2022,sc01,01-02 02:00:00+01:00,177.725446815,21.477038694003234,265.79475307000007,29.6738022825,192.76698666011328,5.800582741642267,,200.0,0.5135926839430726,51.69411569881232
2022,sc01,01-02 03:00:00+01:00,131.62569533606148,68.4,193.8465294059678,29.6738022825,266.0,7.151433614492567,,200.0,0.7178331249670152,57.879671137435054
2022,sc01,01-02 04:00:00+01:00,177.725446815,19.007409096460663,188.7073705209324,29.6738022825,266.0,1.7449246959447342,,200.0,,51.18501572844937
2022,sc01,01-02 05:00:00+01:00,177.725446815,11.931553656154843,265.79475307000007,29.6738022825,176.06472051076818,,,200.0,,12.180773512841233
2022,sc01,01-02 06:00:00+01:00,76.89623051670895,68.4,157.9849620870773,29.6738022825,266.0,,,200.0,,
2022,sc01,01-02 07:00:00+01:00,27.838166246032582,68.4,146.87873329715228,29.6738022825,266.0,,,200.0,,
2022,sc01,01-02 08:00:00+01:00,5.901013549728412,68.4,265.79475307000007,29.6738022825,141.4390229993593,,,200.0,,
2022,sc01,01-02 09:00:00+01:00,55.788562817394556,68.4,265.79475307000007,29.6738022825,145.91408904071918,,,200.0,,
2022,sc01,01-02 10:00:00+01:00,177.725446815,,150.44835518243121,19.989993246006414,266.0,,,200.0,,11.762673014849941
2022,sc01,01-02 11:00:00+01:00,177.725446815,20.916496315057284,147.7634819221823,,266.0,,,200.0,,36.939847499285
2022,sc01,01-02 12:00:00+01:00,97.47047913900902,68.4,265.79475307000007,29.6738022825,144.1464606630819,,,200.0,,29.549081684202797
2022,sc01,01-02 13:00:00+01:00,177.725446815,23.100035097614978,147.66371027554715,,266.0,,4.1372454295747385,200.0,,28.905053253024295
2022,sc01,01-02 14:00:00+01:00,177.725446815,27.71032639376742,265.79475307000007,,152.93850561891628,,9.995533750334602,200.0,,22.023380019863342
2022,sc01,01-02 15:00:00+01:00,109.55203073086405,68.4,156.58762789809722,29.6738022825,266.0,,9.797431549715558,200.0,,12.593933719481656
2022,sc01,01-02 16:00:00+01:00,91.53769111020246,68.4,153.38896797361807,29.6738022825,266.0,,,200.0,,
