Period,Scenario,LoadLevel,MW
2022,sc01,01-01 00:00:00+01:00,292.56533291424586
2022,sc01,01-01 01:00:00+01:00,273.4356506513406
2022,sc01,01-01 02:00:00+01:00,265.21751527604744
2022,sc01,01-01 03:00:00+01:00,258.49096320075427
2022,sc01,01-01 04:00:00+01:00,284.2776612142459
2022,sc01,01-01 05:00:00+01:00,348.4381867291629
2022,sc01,01-01 06:00:00+01:00,425.3713318522253
2022,sc01,01-01 07:00:00+01:00,483.15307651066996
2022,sc01,01-01 08:00:00+01:00,507.6259573714342
2022,sc01,01-01 09:00:00+01:00,446.66109203666997
2022,sc01,01-01 10:00:00+01:00,378.949749792677
2022,sc01,01-01 11:00:00+01:00,364.7142689652631
2022,sc01,01-01 12:00:00+01:00,370.5618837301284
2022,sc01,01-01 13:00:00+01:00,356.2508178832631
2022,sc01,01-01 14:00:00+01:00,347.64449553631977
2022,sc01,01-01 15:00:00+01:00,352.6240530776837
2022,sc01,01-01 16:00:00+01:00,401.37275299154896
2022,sc01,01-01 17:00:00+01:00,478.6551422341284
2022,sc01,01-01 18:00:00+01:00,554.3707544675805
2022,sc01,01-01 19:00:00+01:00,572.7769869280085
2022,sc01,01-01 20:00:00+01:00,537.3974803204925
2022,sc01,01-01 21:00:00+01:00,485.57795818222525
2022,sc01,01-01 22:00:00+01:00,419.96865342532215
2022,sc01,01-01 23:00:00+01:00,363.61193642423876
2022,sc01,01-02 00:00:00+01:00,328.56522231724585
2022,sc01,01-02 01:00:00+01:00,309.5178569943406
2022,sc01,01-02 02:00:00+01:00,301.0330146090474
2022,sc01,01-02 03:00:00+01:00,291.46158831375425
2022,sc01,01-02 04:00:00+01:00,311.59805002724585
2022,sc01,01-02 05:00:00+01:00,369.1732185821629
2022,sc01,01-02 06:00:00+01:00,440.20259119522524
2022,sc01,01-02 07:00:00+01:00,496.54543539366995
2022,sc01,01-02 08:00:00+01:00,522.2102658544342
2022,sc01,01-02 09:00:00+01:00,472.19879877867
2022,sc01,01-02 10:00:00+01:00,415.157153423677
2022,sc01,01-02 11:00:00+01:00,393.2367328202631
2022,sc01,01-02 12:00:00+01:00,407.5320993561284
2022,sc01,01-02 13:00:00+01:00,395.9851433622631
2022,sc01,01-02 14:00:00+01:00,388.10828064131977
2022,sc01,01-02 15:00:00+01:00,392.0295653256837
2022,sc01,01-02 16:00:00+01:00,434.38690421954897
2022,sc01,01-02 17:00:00+01:00,516.3400500681284
2022,sc01,01-02 18:00:00+01:00,588.5349248245805
2022,sc01,01-02 19:00:00+01:00,594.8394764620084
2022,sc01,01-02 20:00:00+01:00,556.6771482834924
2022,sc01,01-02 21:00:00+01:00,511.34749545522527
2022,sc01,01-02 22:00:00+01:00,435.5901555783222
2022,sc01,01-02 23:00:00+01:00,376.80014916723877
2022,sc01,01-03 00:00:00+01:00,335.8096073372459
2022,sc01,01-03 01:00:00+01:00,320.11418872434064
2022,sc01,01-03 02:00:00+01:00,315.6167799990474
2022,sc01,01-03 03:00:00+01:00,301.21499435375426
2022,sc01,01-03 04:00:00+01:00,320.35706715724587
2022,sc01,01-03 05:00:00+01:00,377.21113912216293
2022,sc01,01-03 06:00:00+01:00,450.10087508522525
2022,sc01,01-03 07:00:00+01:00,517.77053327367
2022,sc01,01-03 08:00:00+01:00,547.9331625544341
2022,sc01,01-03 09:00:00+01:00,474.73855026267
2022,sc01,01-03 10:00:00+01:00,417.72109154767696
2022,sc01,01-03 11:00:00+01:00,414.2303660912631
2022,sc01,01-03 12:00:00+01:00,417.8112349991284
2022,sc01,01-03 13:00:00+01:00,397.2729521072631
2022,sc01,01-03 14:00:00+01:00,384.4899608133198
2022,sc01,01-03 15:00:00+01:00,389.5388633746837
2022,sc01,01-03 16:00:00+01:00,443.836112153549
2022,sc01,01-03 17:00:00+01:00,521.5620833231284
2022,sc01,01-03 18:00:00+01:00,589.2331044125805
2022,sc01,01-03 19:00:00+01:00,607.7693048050085
2022,sc01,01-03 20:00:00+01:00,571.8239617034925
2022,sc01,01-03 21:00:00+01:00,518.7993192252253
2022,sc01,01-03 22:00:00+01:00,440.0752760183222
2022,sc01,01-03 23:00:00+01:00,384.78209416723877
2022,sc01,01-04 00:00:00+01:00,349.55098335724585
2022,sc01,01-04 01:00:00+01:00,325.9300876043406
2022,sc01,01-04 02:00:00+01:00,312.3481789090474
2022,sc01,01-04 03:00:00+01:00,298.50614860375424
2022,sc01,01-04 04:00:00+01:00,314.65188397724586
2022,sc01,01-04 05:00:00+01:00,369.2373004621629
2022,sc01,01-04 06:00:00+01:00,443.8787413852252
2022,sc01,01-04 07:00:00+01:00,503.66572725366996
2022,sc01,01-04 08:00:00+01:00,529.5149477044342
2022,sc01,01-04 09:00:00+01:00,480.29932201767
2022,sc01,01-04 10:00:00+01:00,425.381311284677
2022,sc01,01-04 11:00:00+01:00,407.6842940412631
2022,sc01,01-04 12:00:00+01:00,416.2490500751284
2022,sc01,01-04 13:00:00+01:00,398.7030823712631
2022,sc01,01-04 14:00:00+01:00,391.15029152331977
2022,sc01,01-04 15:00:00+01:00,392.26687927668365
2022,sc01,01-04 16:00:00+01:00,438.12349615254897
2022,sc01,01-04 17:00:00+01:00,515.7803800741284
