InitialNode,FinalNode,Circuit,GWh-Mkm
Senegal States|Aeroport,Senegal States|Patte_Doie,ac1,-0.7784704103858574
Senegal States|Aeroport,Senegal States|Patte_Doie,ac2,-0.7784704103858574
Senegal States|Aeroport,Senegal States|Universite,ac1,-0.07306034015325864
Senegal States|Aeroport,Senegal States|Universite,ac2,-0.07306034015325863
Senegal States|Bel_Air,Senegal States|Hann,ac1,0.39578517969639243
Senegal States|Bel_Air,Senegal States|Hann,ac2,0.39578517969639243
Senegal States|Bel_Air,Senegal States|Hann,ac3,0.4045804059118678
Senegal States|Cap_Des_Biches,Senegal States|Kounoune,ac1,0.7627009873447572
Senegal States|Cap_Des_Biches,Senegal States|Kounoune,ac2,1.0847302931125438
Senegal States|Cap_Des_Biches,Senegal States|Sococim,ac1,2.0224516353424504
Senegal States|Centre_Ville,Senegal States|Bel_Air,ac1,-0.6072064701903195
Senegal States|Dagana,Senegal States|Ndioum,ac1,13.394557941926504
Senegal States|Diamniadio,Senegal States|Sendou,ac1,-0.07482401628049615
Senegal States|Diass,Senegal States|Mbour,ac1,4.108335681091873
Senegal States|Fatick,Senegal States|Kahone,ac1,5.561535402958
Senegal States|Guediawaye,Senegal States|Kounoune,ac1,-1.3514007568576198
Senegal States|Hann,Senegal States|Cap_Des_Biches,ac1,-1.9617228043485315
Senegal States|Hann,Senegal States|Guediawaye,ac1,0.972401293634379
Senegal States|Hann,Senegal States|Mbao,ac1,0.2952801019921671
Senegal States|Hann,Senegal States|Patte_Doie,ac1,0.025461041317554067
Senegal States|Hann,Senegal States|Patte_Doie,ac2,0.0381915619763311
Senegal States|Kahone,Senegal States|Tambacounda,ac1,-24.991738666330214
Senegal States|Kahone,Senegal States|Tanaf,ac1,1.8700795208416818
Senegal States|Kahone,Senegal States|Tanaf,ac2,6.144139128017246
Senegal States|Kahone,Senegal States|Wack_Ngouna,ac1,5.472648037821552
Senegal States|Kedougou,Senegal States|Sabangalou,ac1,0.8039547686144964
Senegal States|Kolda,Senegal States|Ziguinchor,ac1,8.565356156784013
Senegal States|Kounoune,Senegal States|Diamniadio,ac1,1.0236323623146661
Senegal States|Kounoune,Senegal States|Patte_Doie,ac1,-0.27396093119761267
Senegal States|Kounoune,Senegal States|Patte_Doie,ac2,-0.2739609311976126
Senegal States|Kounoune,Senegal States|Sococim,ac1,0.6657892965507862
Senegal States|Kounoune,Senegal States|Tobene,ac1,11.117590347737451
Senegal States|Linguere,Senegal States|Ndioum,ac1,-5.159379546684275
Senegal States|Matam,Senegal States|Bakel,ac1,-6.579482331276955
Senegal States|Mbao,Senegal States|Cap_Des_Biches,ac1,-1.1004579319044516
Senegal States|Mbour,Senegal States|Fatick,ac1,18.15889387382648
Senegal States|Ndioum,Senegal States|Matam,ac1,10.8263483445052
Senegal States|Olam,Senegal States|Someta,ac1,0.28091098990813024
Senegal States|Patte_Doie,Senegal States|Cap_Des_Biches,ac1,-2.259349972549071
Senegal States|Patte_Doie,Senegal States|Cap_Des_Biches,ac2,-2.8363997423548106
Senegal States|SDE,Senegal States|Pekesse,ac1,1.5153275707029914
Senegal States|Sakal,Senegal States|Dagana,ac1,18.23240831900094
Senegal States|Sendou,Senegal States|Diass,ac1,2.1083625385886817
Senegal States|Sicap,Senegal States|Universite,ac1,-0.45985346341546063
Senegal States|Sococim,Senegal States|Olam,ac1,2.145121006837798
Senegal States|Someta,Senegal States|Fabrimetal,ac1,0.09151376272305066
Senegal States|Someta,Senegal States|Thiona,ac1,-0.4459419064392189
Senegal States|Someta,Senegal States|Thiona,ac2,-0.4459419064392187
Senegal States|Tambacounda,Senegal States|Kayes,ac1,-66.5295819188605
Senegal States|Tambacounda,Senegal States|Kayes,ac2,-66.5295819188605
Senegal States|Tambacounda,Senegal States|Kedougou,ac1,20.506559983812103
Senegal States|Tambacounda,Senegal States|Kolda,ac1,19.150606650642544
Senegal States|Tambacounda,Senegal States|Velingara,ac1,5.770470165063323
Senegal States|Tanaf,Senegal States|Ziguinchor,ac1,2.5393913646463013
Senegal States|Thies_Numerique,Senegal States|Diass,ac1,0.4587946737380967
Senegal States|Thiona,Senegal States|Tobene,ac1,-8.225415256842494
Senegal States|Tobene,Senegal States|ICS,ac1,0.21284966935526467
Senegal States|Tobene,Senegal States|SDE,ac1,3.5989997910073526
Senegal States|Tobene,Senegal States|Saint_Louis,ac1,4.063501351458379
Senegal States|Tobene,Senegal States|Saint_Louis,ac2,4.063501351458379
Senegal States|Tobene,Senegal States|Sakal,ac1,39.295893457595035
Senegal States|Tobene,Senegal States|Thies_Numerique,ac1,1.461237593568489
Senegal States|Tobene,Senegal States|Touba_1,ac1,54.69274026070356
Senegal States|Touba_1,Senegal States|Kahone,ac1,9.663938107414367
Senegal States|Touba_1,Senegal States|Touba_2,ac1,0.29093710456689004
Senegal States|Touba_2,Senegal States|Linguere,ac1,1.578413054564316
Senegal States|Universite,Senegal States|Bel_Air,ac1,-0.6145399289006168
Senegal States|Universite,Senegal States|Bel_Air,ac2,-0.6145399289006168
Senegal States|Universite,Senegal States|Centre_Ville,ac1,0.1528792097987534
Senegal States|Velingara,Senegal States|Kolda,ac1,2.220766590632392
