Period,Scenario,LoadLevel,P_Coal_Hardcoal,P_Oil,RES_Hydro_Large
2022,sc01,01-01 00:00:00+01:00,3.06327007710408e-05,0.00018394984560258737,0.0
2022,sc01,01-01 01:00:00+01:00,3.06327007710408e-05,0.00017028600197845295,0.0
2022,sc01,01-01 02:00:00+01:00,3.06327007710408e-05,0.00016439059694553024,0.0
2022,sc01,01-01 03:00:00+01:00,3.06327007710408e-05,0.00015953028548393718,0.0
2022,sc01,01-01 04:00:00+01:00,3.06327007710408e-05,0.00017819856392897217,0.0
2022,sc01,01-01 05:00:00+01:00,3.06327007710408e-05,0.00022487240322346055,0.0
2022,sc01,01-01 06:00:00+01:00,3.06327007710408e-05,0.00028060237601127287,0.0
2022,sc01,01-01 07:00:00+01:00,3.06327007710408e-05,0.00032294017488329737,0.0
2022,sc01,01-01 08:00:00+01:00,3.06327007710408e-05,0.00034102830307125906,0.0
2022,sc01,01-01 09:00:00+01:00,3.06327007710408e-05,0.0002959664653847583,0.0
2022,sc01,01-01 10:00:00+01:00,3.06327007710408e-05,0.000246375763309582,0.0
2022,sc01,01-01 11:00:00+01:00,3.06327007710408e-05,0.0002356910158958955,0.0
2022,sc01,01-01 12:00:00+01:00,3.06327007710408e-05,0.000239628434134004,0.0
2022,sc01,01-01 13:00:00+01:00,3.06327007710408e-05,0.0002290243244407331,0.0
2022,sc01,01-01 14:00:00+01:00,3.06327007710408e-05,0.00022251443355766933,0.0
2022,sc01,01-01 15:00:00+01:00,3.06327007710408e-05,0.0002257668170846386,0.0
2022,sc01,01-01 16:00:00+01:00,3.06327007710408e-05,0.0002604381949494992,0.0
2022,sc01,01-01 17:00:00+01:00,3.06327007710408e-05,0.00031672415347303577,0.0
2022,sc01,01-01 18:00:00+01:00,3.06327007710408e-05,0.00037428227962109985,0.0
2022,sc01,01-01 19:00:00+01:00,3.06327007710408e-05,0.0003894878878092256,0.0
2022,sc01,01-01 20:00:00+01:00,3.06327007710408e-05,0.00036305940824000554,0.0
2022,sc01,01-01 21:00:00+01:00,3.06327007710408e-05,0.00032381333883282367,0.0
2022,sc01,01-01 22:00:00+01:00,3.06327007710408e-05,0.0002749506048960075,0.0
2022,sc01,01-01 23:00:00+01:00,3.06327007710408e-05,0.00023413178403754403,0.0
2022,sc01,01-02 00:00:00+01:00,3.06327007710408e-05,0.00020895280181697654,0.0
2022,sc01,01-02 01:00:00+01:00,3.06327007710408e-05,0.00019534608254882376,0.0
2022,sc01,01-02 02:00:00+01:00,3.06327007710408e-05,0.0001892655945161923,0.0
2022,sc01,01-02 03:00:00+01:00,3.06327007710408e-05,0.0001824310647750279,0.0
2022,sc01,01-02 04:00:00+01:00,3.06327007710408e-05,0.00019717832635789812,0.0
2022,sc01,01-02 05:00:00+01:00,3.06327007710408e-05,0.00023928267863441803,0.0
2022,sc01,01-02 06:00:00+01:00,3.06327007710408e-05,0.0002909241659679249,0.0
2022,sc01,01-02 07:00:00+01:00,3.06327007710408e-05,0.00033267555388613243,0.0
2022,sc01,01-02 08:00:00+01:00,3.06327007710408e-05,0.00035181633178713197,0.0
2022,sc01,01-02 09:00:00+01:00,3.06327007710408e-05,0.00031409105447473626,0.0
2022,sc01,01-02 10:00:00+01:00,3.06327007710408e-05,0.00027220714312605837,0.0
2022,sc01,01-02 11:00:00+01:00,3.06327007710408e-05,0.000255955517238214,0.0
2022,sc01,01-02 12:00:00+01:00,3.06327007710408e-05,0.0002658865141416402,0.0
2022,sc01,01-02 13:00:00+01:00,3.06327007710408e-05,0.00025721420239348074,0.0
2022,sc01,01-02 14:00:00+01:00,3.06327007710408e-05,0.00025120700138029896,0.0
2022,sc01,01-02 15:00:00+01:00,3.06327007710408e-05,0.00025369352958595174,0.0
