Node,Zone
Senegal States|Bel_Air,Senegal Zones|Dakar
Senegal States|Hann,Senegal Zones|Dakar
Senegal States|Mbao,Senegal Zones|Dakar
Senegal States|Cap_Des_Biches,Senegal Zones|Dakar
Senegal States|Thiona,Senegal Zones|Thies
Senegal States|Mbour,Senegal Zones|Thies
Senegal States|Tobene,Senegal Zones|Thies
Senegal States|Touba_1,Senegal Zones|Diourbel
Senegal States|Touba_2,Senegal Zones|Diourbel
Senegal States|Tambacounda,Senegal Zones|MTKK
Senegal States|Ziguinchor,Senegal Zones|ZS
Senegal States|Sococim,Senegal Zones|Dakar
Senegal States|Matam,Senegal Zones|MTKK
Senegal States|Dagana,Senegal Zones|LS
Senegal States|Sakal,Senegal Zones|LS
Senegal States|Tanaf,Senegal Zones|ZS
Senegal States|Bakel,Senegal Zones|MTKK
Senegal States|Kayes,Senegal Zones|MTKK
Senegal States|Kounoune,Senegal Zones|Dakar
Senegal States|Fatick,Senegal Zones|FKK
Senegal States|Kedougou,Senegal Zones|MTKK
Senegal States|Kahone,Senegal Zones|FKK
Senegal States|Diass,Senegal Zones|Thies
Senegal States|ICS,Senegal Zones|Thies
Senegal States|SDE,Senegal Zones|Thies
Senegal States|Kolda,Senegal Zones|FKK
Senegal States|Sabangalou,Senegal Zones|MTKK
Senegal States|Velingara,Senegal Zones|FKK
Senegal States|Koungheul,Senegal Zones|FKK
Senegal States|Pekesse,Senegal Zones|Thies
Senegal States|Ndioum,Senegal Zones|LS
Senegal States|Linguere,Senegal Zones|LS
Senegal States|Wack_Ngouna,Senegal Zones|FKK
Senegal States|Saint_Louis,Senegal Zones|LS
Senegal States|Aeroport,Senegal Zones|Dakar
Senegal States|Sicap,Senegal Zones|Dakar
Senegal States|Centre_Ville,Senegal Zones|Dakar
Senegal States|Patte_Doie,Senegal Zones|Dakar
Senegal States|Guediawaye,Senegal Zones|Dakar
Senegal States|Sendou,Senegal Zones|Dakar
Senegal States|Diamniadio,Senegal Zones|Dakar
Senegal States|Olam,Senegal Zones|Dakar
Senegal States|Someta,Senegal Zones|Dakar
Senegal States|Fabrimetal,Senegal Zones|Dakar
Senegal States|Universite,Senegal Zones|Dakar
Senegal States|Thies_Numerique,Senegal Zones|Thies
Senegal States|mtkk,Senegal Zones|MTKK
Senegal States|ls,Senegal Zones|LS
