,Dakar_CCGT_25,Dakar_OCGT_25,Dakar_PV_29,Diourbel_PV_25,FKK_PV_25,LS_PV_2029,Thies_PV_2025,Thies_P_Gas_CCGT_25,Thies_wind_2025
 Total [MEUR],86.12545459615193,16.991600085096046,-2.8577614590603435,0.2802499035297933,0.0,0.0,2.5522465208051184,48.319548589113126,12.040740479886248
Cost emission [MEUR],-18.524295879210616,-11.328868774312046,0.0,0.0,0.0,0.0,0.0,-6.416450911668893,0.0
Cost investment [MEUR],-8.381308521180594,-4.9004034189261505,-11.799091482614065,-0.688242062403086,0.0,0.0,-14.147197949396768,-0.3771588834822272,-0.38235670133504784
Cost operating reserves consumption [MEUR],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost operating reserves generation [MEUR],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost operation consumption [MEUR],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost operation generation [MEUR],-113.09337151680431,-68.65019414858281,-0.05011269906854157,-0.005399613650270768,0.0,0.0,-0.09416554216514521,-23.870276288320557,-0.3344285096128899
Revenue consumption [MEUR],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue generation [MEUR],226.12443051334745,101.87106642691705,8.991442722622264,0.9738915795831501,0.0,0.0,16.793610012367033,78.98343467258479,12.757525690834186
Revenue operating reserve down [MEUR],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue operating reserve up [MEUR],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue reserve margin [MEUR],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
