Period,Scenario,LoadLevel,Senegal
2030,sc01,01-01 01:00:00+01:00,-569.0554403723313
2030,sc01,01-01 03:00:00+01:00,-603.7291577538313
2030,sc01,01-01 05:00:00+01:00,-485.8385185588313
2030,sc01,01-01 07:00:00+01:00,-179.70522277233124
2030,sc01,01-01 09:00:00+01:00,-84.91222438283108
2030,sc01,01-01 11:00:00+01:00,-162.14447416583155
2030,sc01,01-01 13:00:00+01:00,-127.47075652233097
2030,sc01,01-01 15:00:00+01:00,-219.02027266033141
2030,sc01,01-01 17:00:00+01:00,-151.51846827933068
2030,sc01,01-01 19:00:00+01:00,-51.18857786483089
2030,sc01,01-01 21:00:00+01:00,-194.9725608968311
2030,sc01,01-01 23:00:00+01:00,-438.6386541353311
2030,sc01,01-02 01:00:00+01:00,-569.0554403723313
2030,sc01,01-02 03:00:00+01:00,-603.7291577538313
2030,sc01,01-02 05:00:00+01:00,-485.8385185588313
2030,sc01,01-02 07:00:00+01:00,-179.70522277233124
2030,sc01,01-02 09:00:00+01:00,-84.91222438283108
2030,sc01,01-02 11:00:00+01:00,-162.14447416583155
2030,sc01,01-02 13:00:00+01:00,-127.47075652233097
2030,sc01,01-02 15:00:00+01:00,-219.02027266033141
2030,sc01,01-02 17:00:00+01:00,-151.51846827933068
2030,sc01,01-02 19:00:00+01:00,-51.18857786483089
2030,sc01,01-02 21:00:00+01:00,-194.9725608968311
2030,sc01,01-02 23:00:00+01:00,-438.6386541353311
2030,sc01,01-03 01:00:00+01:00,-569.0554403723313
2030,sc01,01-03 03:00:00+01:00,-603.7291577538313
2030,sc01,01-03 05:00:00+01:00,-485.8385185588313
2030,sc01,01-03 07:00:00+01:00,-179.70522277233124
2030,sc01,01-03 09:00:00+01:00,-84.91222438283108
2030,sc01,01-03 11:00:00+01:00,-162.14447416583155
2030,sc01,01-03 13:00:00+01:00,-127.47075652233097
2030,sc01,01-03 15:00:00+01:00,-219.02027266033141
2030,sc01,01-03 17:00:00+01:00,-151.51846827933068
2030,sc01,01-03 19:00:00+01:00,-51.18857786483089
2030,sc01,01-03 21:00:00+01:00,-194.9725608968311
2030,sc01,01-03 23:00:00+01:00,-438.6386541353311
2030,sc01,01-04 01:00:00+01:00,-569.0554403723313
2030,sc01,01-04 03:00:00+01:00,-603.7291577538313
2030,sc01,01-04 05:00:00+01:00,-485.8385185588313
2030,sc01,01-04 07:00:00+01:00,-179.70522277233124
2030,sc01,01-04 09:00:00+01:00,-84.91222438283108
2030,sc01,01-04 11:00:00+01:00,-162.14447416583155
2030,sc01,01-04 13:00:00+01:00,-127.47075652233097
2030,sc01,01-04 15:00:00+01:00,-219.02027266033141
2030,sc01,01-04 17:00:00+01:00,-151.51846827933068
2030,sc01,01-04 19:00:00+01:00,-51.18857786483089
2030,sc01,01-04 21:00:00+01:00,-194.9725608968311
2030,sc01,01-04 23:00:00+01:00,-438.6386541353311
2030,sc01,01-05 01:00:00+01:00,-569.0554403723313
2030,sc01,01-05 03:00:00+01:00,-603.7291577538313
2030,sc01,01-05 05:00:00+01:00,-485.8385185588313
2030,sc01,01-05 07:00:00+01:00,-179.70522277233124
2030,sc01,01-05 09:00:00+01:00,-84.91222438283108
2030,sc01,01-05 11:00:00+01:00,-162.14447416583155
2030,sc01,01-05 13:00:00+01:00,-127.47075652233097
2030,sc01,01-05 15:00:00+01:00,-219.02027266033141
2030,sc01,01-05 17:00:00+01:00,-151.51846827933068
2030,sc01,01-05 19:00:00+01:00,-51.18857786483089
2030,sc01,01-05 21:00:00+01:00,-194.9725608968311
2030,sc01,01-05 23:00:00+01:00,-438.6386541353311
2030,sc01,01-06 01:00:00+01:00,-569.0554403723313
2030,sc01,01-06 03:00:00+01:00,-603.7291577538313
2030,sc01,01-06 05:00:00+01:00,-485.8385185588313
2030,sc01,01-06 07:00:00+01:00,-179.70522277233124
2030,sc01,01-06 09:00:00+01:00,-84.91222438283108
2030,sc01,01-06 11:00:00+01:00,-162.14447416583155
2030,sc01,01-06 13:00:00+01:00,-127.47075652233097
2030,sc01,01-06 15:00:00+01:00,-219.02027266033141
2030,sc01,01-06 17:00:00+01:00,-151.51846827933068
2030,sc01,01-06 19:00:00+01:00,-51.18857786483089
2030,sc01,01-06 21:00:00+01:00,-194.9725608968311
2030,sc01,01-06 23:00:00+01:00,-438.6386541353311
2030,sc01,01-07 01:00:00+01:00,-569.0554403723313
2030,sc01,01-07 03:00:00+01:00,-603.7291577538313
2030,sc01,01-07 05:00:00+01:00,-485.8385185588313
2030,sc01,01-07 07:00:00+01:00,-179.70522277233124
