Period,Scenario,Generating unit,%
2030,sc01,Centrale_Kael_Solaire,0.0
2030,sc01,Centrale_Kahone_Solaire,0.0
2030,sc01,Dakar_PV_29,1.8132377383749967e-17
2030,sc01,Diourbel_PV_25,4.674523597028953e-18
2030,sc01,FKK_PV_25,0.0
2030,sc01,Felou_Gouina,0.0
2030,sc01,LS_PV_2029,0.0
2030,sc01,PETN_Taiba_Ndiaye_Wind,0.0
2030,sc01,PV_Bokhol,0.0
2030,sc01,PV_Kahone,0.0
2030,sc01,PV_Malicounda,0.0
2030,sc01,PV_Sakal,0.0
2030,sc01,PV_Senergy_or_Santhiou_Mekhe,0.0
2030,sc01,PV_Ten_Merina,0.0
2030,sc01,Solar_CICAD,0.0
2030,sc01,Solar_DIASS,0.0
2030,sc01,Thies_PV_2025,-2.4660158243938986e-17
2030,sc01,Thies_wind_2025,0.0
