Period,Scenario,LoadLevel,Manantali
2030,sc01,01-01 01:00:00+01:00,1.05671922386
2030,sc01,01-01 03:00:00+01:00,1.1134384477200001
2030,sc01,01-01 05:00:00+01:00,1.1701576715800002
2030,sc01,01-01 07:00:00+01:00,1.2268768954400002
2030,sc01,01-01 09:00:00+01:00,1.2835961193000003
2030,sc01,01-01 11:00:00+01:00,1.3403153431600003
2030,sc01,01-01 13:00:00+01:00,1.3970345670200004
2030,sc01,01-01 15:00:00+01:00,1.4537537908800005
2030,sc01,01-01 17:00:00+01:00,1.5104730147400005
2030,sc01,01-01 19:00:00+01:00,1.5671922386000006
2030,sc01,01-01 21:00:00+01:00,1.6239114624600006
2030,sc01,01-01 23:00:00+01:00,1.6806306863200007
2030,sc01,01-02 01:00:00+01:00,1.7350969571800008
2030,sc01,01-02 03:00:00+01:00,1.789563228040001
2030,sc01,01-02 05:00:00+01:00,1.844029498900001
2030,sc01,01-02 07:00:00+01:00,1.8984957697600011
2030,sc01,01-02 09:00:00+01:00,1.9529620406200012
2030,sc01,01-02 11:00:00+01:00,2.0074283114800013
2030,sc01,01-02 13:00:00+01:00,2.0618945823400012
2030,sc01,01-02 15:00:00+01:00,2.116360853200001
2030,sc01,01-02 17:00:00+01:00,2.170827124060001
2030,sc01,01-02 19:00:00+01:00,2.225293394920001
2030,sc01,01-02 21:00:00+01:00,2.2797596657800008
2030,sc01,01-02 23:00:00+01:00,2.3342259366400007
2030,sc01,01-03 01:00:00+01:00,2.3866875394600005
2030,sc01,01-03 03:00:00+01:00,2.4391491422800002
2030,sc01,01-03 05:00:00+01:00,2.4916107451
2030,sc01,01-03 07:00:00+01:00,2.54407234792
2030,sc01,01-03 09:00:00+01:00,2.5965339507399996
2030,sc01,01-03 11:00:00+01:00,2.6489955535599994
2030,sc01,01-03 13:00:00+01:00,2.701457156379999
2030,sc01,01-03 15:00:00+01:00,2.753918759199999
2030,sc01,01-03 17:00:00+01:00,2.8063803620199987
2030,sc01,01-03 19:00:00+01:00,2.8588419648399985
2030,sc01,01-03 21:00:00+01:00,2.9113035676599983
2030,sc01,01-03 23:00:00+01:00,2.963765170479998
2030,sc01,01-04 01:00:00+01:00,3.014268083179998
2030,sc01,01-04 03:00:00+01:00,3.064770995879998
2030,sc01,01-04 05:00:00+01:00,3.1152739085799976
2030,sc01,01-04 07:00:00+01:00,3.1657768212799975
2030,sc01,01-04 09:00:00+01:00,3.2162797339799973
2030,sc01,01-04 11:00:00+01:00,3.266782646679997
2030,sc01,01-04 13:00:00+01:00,3.317285559379997
2030,sc01,01-04 15:00:00+01:00,3.367788472079997
2030,sc01,01-04 17:00:00+01:00,3.4182913847799967
2030,sc01,01-04 19:00:00+01:00,3.4687942974799966
2030,sc01,01-04 21:00:00+01:00,3.5192972101799964
2030,sc01,01-04 23:00:00+01:00,3.5698001228799963
2030,sc01,01-05 01:00:00+01:00,3.619365074839996
2030,sc01,01-05 03:00:00+01:00,3.668930026799996
2030,sc01,01-05 05:00:00+01:00,3.718494978759996
2030,sc01,01-05 07:00:00+01:00,3.768059930719996
2030,sc01,01-05 09:00:00+01:00,3.8176248826799957
2030,sc01,01-05 11:00:00+01:00,3.8671898346399955
2030,sc01,01-05 13:00:00+01:00,3.9167547865999954
2030,sc01,01-05 15:00:00+01:00,3.9663197385599953
2030,sc01,01-05 17:00:00+01:00,4.015884690519996
2030,sc01,01-05 19:00:00+01:00,4.0654496424799955
2030,sc01,01-05 21:00:00+01:00,4.115014594439995
2030,sc01,01-05 23:00:00+01:00,4.164579546399995
2030,sc01,01-06 01:00:00+01:00,4.212195002419995
2030,sc01,01-06 03:00:00+01:00,4.259810458439995
2030,sc01,01-06 05:00:00+01:00,4.307425914459995
2030,sc01,01-06 07:00:00+01:00,4.355041370479995
2030,sc01,01-06 09:00:00+01:00,4.402656826499995
2030,sc01,01-06 11:00:00+01:00,4.450272282519995
2030,sc01,01-06 13:00:00+01:00,4.497887738539995
2030,sc01,01-06 15:00:00+01:00,4.545503194559995
2030,sc01,01-06 17:00:00+01:00,4.593118650579995
2030,sc01,01-06 19:00:00+01:00,4.640734106599995
2030,sc01,01-06 21:00:00+01:00,4.688349562619995
2030,sc01,01-06 23:00:00+01:00,4.735965018639995
2030,sc01,01-07 01:00:00+01:00,4.782449401079995
2030,sc01,01-07 03:00:00+01:00,4.828933783519995
2030,sc01,01-07 05:00:00+01:00,4.875418165959995
2030,sc01,01-07 07:00:00+01:00,4.921902548399995
2030,sc01,01-07 09:00:00+01:00,4.968386930839995
2030,sc01,01-07 11:00:00+01:00,5.014871313279995
2030,sc01,01-07 13:00:00+01:00,5.061355695719995
2030,sc01,01-07 15:00:00+01:00,5.107840078159995
