Period,Scenario,LoadLevel,Aggreko_Boutoute,Boutoute,Centrale_C_Cap_CTag,Contour_Global,Dakar_CCGT_25,Dakar_OCGT_25,Diesel_Bel_Air,FKK_PV_25,Gas_Turbines,KPS_KarPowerShip,Kounoune_Power,LS_PV_2029,Malicounda_Power,Manantali,Secondary_Plants
2030,sc01,01-01 01:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,203.01387730266256,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-01 03:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,40.09231484980369,207.76500000000001,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-01 05:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,131.2595621176763,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-01 07:00:00+01:00,,,107.84750436,38.217981243,,,161.28979444999996,,17.877214342,161.41434249,14.992414755657931,,,200.0,
2030,sc01,01-01 09:00:00+01:00,,,107.84750436,33.61961070880891,,,136.41026606299968,0.0,17.877214342,161.41434249,,0.0,,200.0,
2030,sc01,01-01 11:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,45.37442448033449,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-01 13:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,86.71427721655446,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-01 15:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,122.0489360248029,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-01 17:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,33.679449589148035,200.0,13.176499999999997
2030,sc01,01-01 19:00:00+01:00,,,,,,,130.6959534537183,0.0,,161.41434249,,0.0,,200.0,
2030,sc01,01-01 21:00:00+01:00,,,12.373571756642749,38.217981243,,,161.28979444999996,,17.877214342,159.9850880916596,,,,200.0,
2030,sc01,01-01 23:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,91.16718399318945,200.0,13.176499999999997
2030,sc01,01-02 01:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,132.8555395130339,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-02 03:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,180.1014296572775,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-02 05:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,84.12411323459065,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-02 07:00:00+01:00,,,101.2966791166251,38.217981243,,,154.85763622862362,,17.877214342,161.41434249,,,,200.0,
2030,sc01,01-02 09:00:00+01:00,,,61.330431926215574,38.217981243,,,137.04542827119235,0.0,17.877214342,161.41434249,,0.0,,200.0,
2030,sc01,01-02 11:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,95.19386687370948,200.0,13.176499999999997
