Period,Scenario,LoadLevel,P_Gas_CCGT,P_Gas_OCGT,P_Oil,RES_Hydro_Large,RES_Hydro_Small,RES_PV_Utility_Opt,RES_Wind_Onshore_Opt
2030,sc01,10-01 01:00:00+01:00,605.91,207.765,99.94572017,68.17283359,200.2318428,0,0.299504159
2030,sc01,10-01 03:00:00+01:00,605.91,207.765,88.08998703,30.73754142,200.2318428,0,0.048793217
2030,sc01,10-01 05:00:00+01:00,605.91,207.765,114,174.4636081,200.2318428,0,0
2030,sc01,10-01 07:00:00+01:00,605.91,207.765,525.3447933,200,200.2318428,0,0
2030,sc01,10-01 09:00:00+01:00,605.91,207.765,594.5673458,200,200.2318428,64.61660926,0.168869366
2030,sc01,10-01 11:00:00+01:00,605.91,207.765,312.6066561,200,200.2318428,232.6728194,0.458814881
2030,sc01,10-01 13:00:00+01:00,605.91,207.765,293.0763721,200,200.2318428,299.125132,2.051922109
2030,sc01,10-01 15:00:00+01:00,605.91,207.765,157.9530574,200,200.2318428,302.8188999,3.982768069
2030,sc01,10-01 17:00:00+01:00,605.91,207.765,372.1373025,200,200.2318428,183.317897,5.862634598
2030,sc01,10-01 19:00:00+01:00,605.91,207.765,659.5638215,200,200.2318428,33.98860781,14.78084886
2030,sc01,10-01 21:00:00+01:00,605.91,207.765,473.2655955,200,200.2318428,0,28.96906183
2030,sc01,10-01 23:00:00+01:00,605.91,207.765,120.4304886,200,200.2318428,0,35.2236008
2030,sc01,10-02 01:00:00+01:00,605.91,207.765,69.26955064,73.1725858,200.2318428,0,25.22207363
2030,sc01,10-02 03:00:00+01:00,605.91,207.765,99.61249456,0,200.2318428,0,18.79866529
2030,sc01,10-02 05:00:00+01:00,605.91,207.765,114,150.7908758,200.2318428,0,22.74001257
2030,sc01,10-02 07:00:00+01:00,605.91,207.765,503.0736975,200,200.2318428,0,21.4464095
2030,sc01,10-02 09:00:00+01:00,605.91,207.765,569.152127,200,200.2318428,74.55204231,14.84138694
2030,sc01,10-02 11:00:00+01:00,605.91,207.765,285.6846753,200,200.2318428,259.0860139,0.685036108
2030,sc01,10-02 13:00:00+01:00,605.91,207.765,231.7183442,200,200.2318428,362.3180906,0.025811818
2030,sc01,10-02 15:00:00+01:00,605.91,207.765,114,194.6623696,200.2318428,351.0915347,5.356026499
2030,sc01,10-02 17:00:00+01:00,605.91,207.765,305.0397832,200,200.2318428,242.7880473,12.5186366
2030,sc01,10-02 19:00:00+01:00,605.91,207.765,631.2176597,200,200.2318428,57.98867352,18.1168154
2030,sc01,10-02 21:00:00+01:00,605.91,207.765,494.0660349,200,200.2318428,0,8.927772904
2030,sc01,10-02 23:00:00+01:00,605.91,207.765,155.7880077,200,200.2318428,0,0.219848797
2030,sc01,10-03 01:00:00+01:00,605.91,207.765,96.72405208,69.91395341,200.2318428,0,1.733300664
