Region,Sector,Technology,Fuel,Type,Unit,PathwayScenario,Year,Value
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2025,6.9999999999999964
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2030,12.999999999999991
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2035,14.000000000000004
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2040,16.000000000000153
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2045,20.000000000000007
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2050,24.000000000000064
Dakar,Power,P_Oil,Power,Production,PJ,ID_ID,2022,12.808673617909955
Dakar,Power,P_Oil,Power,Production,PJ,ID_ID,2030,7.500000000000055
Dakar,Power,P_Oil,Power,Production,PJ,ID_ID,2025,8.000000000000073
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,ID_ID,2022,1.2263390189287846
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,ID_ID,2025,0.5601698192827199
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2022,0.007775993779204978
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2025,0.20000000000000007
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2030,0.25290211037624544
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2035,10.3709696621561
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2040,12.890120741999668
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2045,28.927673710199418
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2050,32.645755782
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,ID_ID,2025,2.9999999999999822
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,ID_ID,2030,5.999999999999999
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,ID_ID,2035,10.000000000000005
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,ID_ID,2040,10.000000000000005
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,ID_ID,2045,11.000000000000007
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,ID_ID,2050,11.999999999999995
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2022,0.18359985312011748
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2025,0.2096741210198066
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2030,0.2651351384859663
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2035,0.32059903300859094
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2040,0.37606005047475094
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2045,0.4315239449973758
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2050,7.248575864689287
Thies,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2025,2.999999999999999
Thies,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2030,4.500000000000012
Thies,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2035,4.00000000000001
Thies,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2040,5.000000000000002
Thies,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2045,6.000000000000022
Thies,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2050,7.000000000000023
Thies,Power,P_Oil,Power,Production,PJ,ID_ID,2030,1.2000000000000008
Thies,Power,P_Oil,Power,Production,PJ,ID_ID,2022,2.17231026215179
Thies,Power,P_Oil,Power,Production,PJ,ID_ID,2025,0.3163279257772232
Thies,Power,P_Coal_Hardcoal,Power,Production,PJ,ID_ID,2025,0.12789381368346803
Thies,Power,P_Coal_Hardcoal,Power,Production,PJ,ID_ID,2022,0.05612395510083591
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2022,0.7166414813490537
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2025,1.128060013319574
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2030,2.12990557298248
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2035,2.12990557298248
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2040,2.12990557298248
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2045,1.4664231217833192
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2050,17.593268637783318
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2022,1.4240148607881113
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2025,2.6594847652825595
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2030,2.6594847652825586
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2035,5.852645540479469
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2040,13.074526008876898
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2045,28.540189463323177
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,ID_ID,2050,51.20227885752001
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2022,0.1475998819200945
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2025,0.2999999999999999
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2030,0.37935316556436754
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2035,2.529794586665091
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2040,4.710837846121338
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2045,13.369061547908304
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2050,15.99980879461896
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2025,0.4895997523201979
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2030,0.6191040530073254
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2035,0.7486150717678401
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2040,0.8781193724549676
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2045,1.0076303912154818
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2050,1.1371414099759967
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,ID_ID,2022,0.3095997523201981
ZS,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2035,3.000000000000004
ZS,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2040,3.4999999999999973
ZS,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2045,4.000000000000005
ZS,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2050,3.500000000000001
ZS,Power,P_Oil,Power,Production,PJ,ID_ID,2030,0.3
ZS,Power,P_Oil,Power,Production,PJ,ID_ID,2025,0.29999999999999993
ZS,Power,P_Oil,Power,Production,PJ,ID_ID,2022,0.16333186933450453
MTKK,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2035,2.0000000000000036
MTKK,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2040,2.5000000000000004
MTKK,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2045,3.0000000000000107
MTKK,Power,P_Gas_CCGT,Power,Production,PJ,ID_ID,2050,2.500000000000002
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,ID_ID,2022,0.9144360000000001
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,ID_ID,2025,0.6999597157049956
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,ID_ID,2030,1.4144999161582017
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,ID_ID,2035,2.248051644000001
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,ID_ID,2040,1.845862368159057
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,ID_ID,2045,1.270861624399543
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,ID_ID,2050,1.2708616243995423
MTKK,Power,RES_PV_Utility_Inf,Power,Production,PJ,ID_ID,2035,0.012915291002853225
