Region,Sector,Technology,Type,PathwayScenario,Year,Value
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2022,0.0018518518518518521
Dakar,Power,P_Oil,PeakCapacity,ID_ID,2022,0.006752117202073949
Thies,Power,P_Oil,PeakCapacity,ID_ID,2022,0.00206140350877193
ZS,Power,P_Oil,PeakCapacity,ID_ID,2022,0.00010526315789473686
MTKK,Power,P_Oil,PeakCapacity,ID_ID,2022,0.00012166666666666667
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,ID_ID,2022,0.0012342022116903636
Thies,Power,P_Coal_Hardcoal,PeakCapacity,ID_ID,2022,0.00019747235387045813
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2022,0.0018848292874776343
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2022,1.6666666666666667e-5
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2022,0.00025
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2022,0.0010375000000000002
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2022,0.00020833333333333337
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2022,0.0004666666666666667
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2022,0.0013494897959183678
Dakar,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2025,0.002443833882573115
Thies,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2025,0.0010473573782456193
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2025,0.0018518518518518524
Dakar,Power,P_Oil,PeakCapacity,ID_ID,2025,0.004442982456140349
Thies,Power,P_Oil,PeakCapacity,ID_ID,2025,0.0008771929824561402
ZS,Power,P_Oil,PeakCapacity,ID_ID,2025,0.00010526315789473686
MTKK,Power,P_Oil,PeakCapacity,ID_ID,2025,0.00012166666666666667
Dakar,Power,P_Coal_Hardcoal,PeakCapacity,ID_ID,2025,0.0012342022116903636
Thies,Power,P_Coal_Hardcoal,PeakCapacity,ID_ID,2025,0.00019747235387045813
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2025,0.003342239542860511
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2025,0.0002552654436607688
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2025,0.0002773264846497935
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2025,0.001457275091658485
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2025,0.0003838831455400571
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2025,0.0006626958530880217
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2025,0.0022083652208508046
Dakar,Power,P_Gas_OCGT,PeakCapacity,ID_ID,2025,0.0010473573782456187
Dakar,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2030,0.004538548639064357
Thies,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2030,0.0015710360673684347
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2030,0.0018518518518518524
Dakar,Power,P_Oil,PeakCapacity,ID_ID,2030,0.004442982456140349
Thies,Power,P_Oil,PeakCapacity,ID_ID,2030,0.0008771929824561402
ZS,Power,P_Oil,PeakCapacity,ID_ID,2030,0.00010526315789473686
MTKK,Power,P_Oil,PeakCapacity,ID_ID,2030,0.00014639793159632806
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2030,0.0035636115821755248
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2030,0.00032278584703968494
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2030,0.00035068226615579066
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2030,0.002751501074803768
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2030,0.00048542428822475844
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2030,0.0008379858989177346
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2030,0.0022083652208508046
Dakar,Power,P_Gas_OCGT,PeakCapacity,ID_ID,2030,0.0020947147564912443
Dakar,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2035,0.004887667765146239
Thies,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2035,0.0015710360673684347
ZS,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2035,0.0010473573782456213
MTKK,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2035,0.0006982382521637491
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2035,0.0018518518518518524
MTKK,Power,RES_PV_Utility_Inf,PeakCapacity,ID_ID,2035,1.8395367973676753e-5
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2035,0.003994098658521735
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2035,0.013236750860013245
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2035,0.0004240418530143587
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2035,0.0027515010748037755
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2035,0.0032371516783306804
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2035,0.0010132850379697244
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2035,0.004859880767239221
Dakar,Power,P_Gas_OCGT,PeakCapacity,ID_ID,2035,0.004575009861706843
Dakar,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2040,0.005592908745547622
Thies,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2040,0.0017455956304093729
ZS,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2040,0.00122191694128656
MTKK,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2040,0.0008727978152046862
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2040,0.0018518518518518524
MTKK,Power,RES_PV_Utility_Inf,PeakCapacity,ID_ID,2040,0.0017968054941022236
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2040,0.003994098658521735
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2040,0.016452011950237107
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2040,0.0004973976345203561
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2040,0.002751501074803768
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2040,0.0060280375016606895
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2040,0.001188575083799437
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2040,0.01085673770123868
Dakar,Power,P_Gas_OCGT,PeakCapacity,ID_ID,2040,0.0050668198058684355
Dakar,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2045,0.006982382521637489
Thies,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2045,0.0020947147564912474
ZS,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2045,0.0013964765043274977
MTKK,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2045,0.0010473573782456233
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2045,0.0010468831794291943
MTKK,Power,RES_PV_Utility_Inf,PeakCapacity,ID_ID,2045,0.004989138404909669
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2045,0.0027499052999511494
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2045,0.03726867861690378
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2045,0.000570757221378924
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2045,0.0018943867028123366
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2045,0.017107191333098883
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2045,0.001363874222851426
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2045,0.023699012165839226
Dakar,Power,P_Gas_OCGT,PeakCapacity,ID_ID,2045,0.0056825643473300295
Dakar,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2050,0.008564424172226814
Thies,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2050,0.0025099870404894104
ZS,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2050,0.0013964765043274977
MTKK,Power,P_Gas_CCGT,PeakCapacity,ID_ID,2050,0.0010473573782456233
MTKK,Power,RES_Hydro_Small,PeakCapacity,ID_ID,2050,0.0010468831794291943
MTKK,Power,RES_PV_Utility_Inf,PeakCapacity,ID_ID,2050,0.006194769178988915
MTKK,Power,RES_Hydro_Large,PeakCapacity,ID_ID,2050,0.0027499052999511494
Dakar,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2050,0.04166666666666667
Diourbel,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2050,0.009587363731367333
Thies,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2050,0.02272772003614583
LS,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2050,0.02151458324229057
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,ID_ID,2050,0.0015391733619034157
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,ID_ID,2050,0.042517006802721094
Dakar,Power,P_Gas_OCGT,PeakCapacity,ID_ID,2050,0.0056825643473300295
Dakar,Power,P_Gas_CCGT,NewCapacity,ID_ID,2025,0.2551362573406332
Dakar,Power,P_Gas_CCGT,NewCapacity,ID_ID,2030,0.21868822057768567
Dakar,Power,P_Gas_CCGT,NewCapacity,ID_ID,2035,0.036448036762948555
Dakar,Power,P_Gas_CCGT,NewCapacity,ID_ID,2040,0.07362715835390421
Dakar,Power,P_Gas_CCGT,NewCapacity,ID_ID,2045,0.14506106222378223
Dakar,Power,P_Gas_CCGT,NewCapacity,ID_ID,2050,0.1651651483215255
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2025,0.02863185323929225
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2030,0.008102448405469934
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2035,1.549675801556827
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2040,0.3858313308268635
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2045,2.5
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2050,0.5277585659715469
Dakar,Power,P_Gas_OCGT,NewCapacity,ID_ID,2025,0.1093441102888426
Dakar,Power,P_Gas_OCGT,NewCapacity,ID_ID,2030,0.10934411028884332
Dakar,Power,P_Gas_OCGT,NewCapacity,ID_ID,2035,0.2589428089845084
Dakar,Power,P_Gas_OCGT,NewCapacity,ID_ID,2040,0.0513449581704703
Dakar,Power,P_Gas_OCGT,NewCapacity,ID_ID,2045,0.06428373012859045
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2025,0.003279178157975217
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2030,0.008802693780719656
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2035,0.008803150423028164
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2040,0.008802693780719684
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2045,0.03880315042302814
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2050,1.081992781198609
Thies,Power,P_Gas_CCGT,NewCapacity,ID_ID,2025,0.10934411028884265
Thies,Power,P_Gas_CCGT,NewCapacity,ID_ID,2030,0.05467205514442193
Thies,Power,P_Gas_CCGT,NewCapacity,ID_ID,2040,0.018224018381473944
Thies,Power,P_Gas_CCGT,NewCapacity,ID_ID,2045,0.036448036762947694
Thies,Power,P_Gas_CCGT,NewCapacity,ID_ID,2050,0.043354426449408234
Thies,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2025,0.05037301099901815
Thies,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2030,0.15530711797743396
Thies,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2045,0.021646275361028255
Thies,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2050,2.5
Thies,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2025,0.10100374997205452
Thies,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2035,0.3118182282552778
Thies,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2040,0.705230375438336
Thies,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2045,1.668951477037024
Thies,Power,RES_Wind_Onshore_Opt,NewCapacity,ID_ID,2050,2.212996169297308
LS,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2025,0.021065977464806845
LS,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2030,0.012184937122164154
LS,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2035,0.3302072868127106
LS,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2040,0.33490629879960104
LS,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2045,1.354498459772583
LS,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2050,0.5288870291030023
FKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2025,0.02352350237056259
FKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2030,0.021034805499565545
FKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2035,0.02103589668623878
FKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2040,0.021034805499565518
FKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2045,0.07703589668623867
FKK,Power,RES_PV_Utility_Opt,NewCapacity,ID_ID,2050,0.02103589668623876
ZS,Power,P_Gas_CCGT,NewCapacity,ID_ID,2035,0.10934411028884287
ZS,Power,P_Gas_CCGT,NewCapacity,ID_ID,2040,0.018224018381474014
ZS,Power,P_Gas_CCGT,NewCapacity,ID_ID,2045,0.01822401838147389
MTKK,Power,P_Gas_CCGT,NewCapacity,ID_ID,2035,0.07289607352589542
MTKK,Power,P_Gas_CCGT,NewCapacity,ID_ID,2040,0.018224018381473833
MTKK,Power,P_Gas_CCGT,NewCapacity,ID_ID,2045,0.018224018381473833
MTKK,Power,RES_Hydro_Small,NewCapacity,ID_ID,2045,0.11306338337835295
MTKK,Power,RES_PV_Utility_Inf,NewCapacity,ID_ID,2035,0.00220744415684121
MTKK,Power,RES_PV_Utility_Inf,NewCapacity,ID_ID,2040,0.2134092151354256
MTKK,Power,RES_PV_Utility_Inf,NewCapacity,ID_ID,2045,0.3830799492968934
MTKK,Power,RES_PV_Utility_Inf,NewCapacity,ID_ID,2050,0.14467569288950954
MTKK,Power,P_Oil,NewCapacity,ID_ID,2030,0.002819364201981398
MTKK,Power,RES_Hydro_Large,NewCapacity,ID_ID,2045,0.1376984163415194
MTKK,Power,RES_Hydro_Small,ResidualCapacity,ID_ID,2022,0.2
Dakar,Power,P_Oil,ResidualCapacity,ID_ID,2022,0.9064999999999999
Thies,Power,P_Oil,ResidualCapacity,ID_ID,2022,0.235
ZS,Power,P_Oil,ResidualCapacity,ID_ID,2022,0.012
MTKK,Power,P_Oil,ResidualCapacity,ID_ID,2022,0.01387
Dakar,Power,P_Coal_Hardcoal,ResidualCapacity,ID_ID,2022,0.125
Thies,Power,P_Coal_Hardcoal,ResidualCapacity,ID_ID,2022,0.02
MTKK,Power,RES_Hydro_Large,ResidualCapacity,ID_ID,2022,0.2
Dakar,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2022,0.002
Diourbel,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2022,0.03
Thies,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2022,0.1245
LS,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2022,0.025
FKK,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2022,0.056
Thies,Power,RES_Wind_Onshore_Opt,ResidualCapacity,ID_ID,2022,0.1587
MTKK,Power,RES_Hydro_Small,ResidualCapacity,ID_ID,2025,0.2
Dakar,Power,P_Oil,ResidualCapacity,ID_ID,2025,0.5064999999999998
Thies,Power,P_Oil,ResidualCapacity,ID_ID,2025,0.09999999999999998
ZS,Power,P_Oil,ResidualCapacity,ID_ID,2025,0.012
MTKK,Power,P_Oil,ResidualCapacity,ID_ID,2025,0.01387
Dakar,Power,P_Coal_Hardcoal,ResidualCapacity,ID_ID,2025,0.125
Thies,Power,P_Coal_Hardcoal,ResidualCapacity,ID_ID,2025,0.02
MTKK,Power,RES_Hydro_Large,ResidualCapacity,ID_ID,2025,0.2
Dakar,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2025,0.002
Diourbel,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2025,0.03
Thies,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2025,0.1245
LS,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2025,0.025
FKK,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2025,0.056
Thies,Power,RES_Wind_Onshore_Opt,ResidualCapacity,ID_ID,2025,0.1587
MTKK,Power,RES_Hydro_Small,ResidualCapacity,ID_ID,2030,0.2
Dakar,Power,P_Oil,ResidualCapacity,ID_ID,2030,0.5064999999999998
Thies,Power,P_Oil,ResidualCapacity,ID_ID,2030,0.09999999999999998
ZS,Power,P_Oil,ResidualCapacity,ID_ID,2030,0.012
MTKK,Power,P_Oil,ResidualCapacity,ID_ID,2030,0.01387
MTKK,Power,RES_Hydro_Large,ResidualCapacity,ID_ID,2030,0.2
Dakar,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2030,0.002
Diourbel,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2030,0.03
Thies,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2030,0.1245
LS,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2030,0.025
FKK,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2030,0.056
Thies,Power,RES_Wind_Onshore_Opt,ResidualCapacity,ID_ID,2030,0.1587
MTKK,Power,RES_Hydro_Small,ResidualCapacity,ID_ID,2035,0.2
Dakar,Power,P_Oil,ResidualCapacity,ID_ID,2035,0.5064999999999998
MTKK,Power,RES_Hydro_Large,ResidualCapacity,ID_ID,2035,0.2
Dakar,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2035,0.002
Diourbel,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2035,0.03
Thies,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2035,0.1245
LS,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2035,0.025
FKK,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2035,0.056
Thies,Power,RES_Wind_Onshore_Opt,ResidualCapacity,ID_ID,2035,0.1587
MTKK,Power,RES_Hydro_Small,ResidualCapacity,ID_ID,2040,0.2
MTKK,Power,RES_Hydro_Large,ResidualCapacity,ID_ID,2040,0.2
Dakar,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2040,0.002
Diourbel,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2040,0.03
Thies,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2040,0.1245
LS,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2040,0.025
FKK,Power,RES_PV_Utility_Opt,ResidualCapacity,ID_ID,2040,0.056
Thies,Power,RES_Wind_Onshore_Opt,ResidualCapacity,ID_ID,2040,0.1587
Dakar,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2025,0.2551362573406332
Dakar,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2030,0.4738244779183189
Dakar,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2035,0.5102725146812674
Dakar,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2040,0.5838996730351717
Dakar,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2045,0.7289607352589539
Dakar,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2050,0.8941258835804794
Dakar,Power,P_Oil,TotalCapacity,ID_ID,2022,0.9064999999999999
Dakar,Power,P_Oil,TotalCapacity,ID_ID,2025,0.5064999999999998
Dakar,Power,P_Oil,TotalCapacity,ID_ID,2030,0.5064999999999998
Dakar,Power,P_Oil,TotalCapacity,ID_ID,2035,0.5064999999999998
Dakar,Power,P_Coal_Hardcoal,TotalCapacity,ID_ID,2022,0.125
Dakar,Power,P_Coal_Hardcoal,TotalCapacity,ID_ID,2025,0.125
Dakar,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2022,0.002
Dakar,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2025,0.03063185323929225
Dakar,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2030,0.03873430164476219
Dakar,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2035,1.5884101032015892
Dakar,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2040,1.9742414340284524
Dakar,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2045,4.472241434028453
Dakar,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2050,5.0
Dakar,Power,P_Gas_OCGT,TotalCapacity,ID_ID,2025,0.1093441102888426
Dakar,Power,P_Gas_OCGT,TotalCapacity,ID_ID,2030,0.21868822057768592
Dakar,Power,P_Gas_OCGT,TotalCapacity,ID_ID,2035,0.47763102956219433
Dakar,Power,P_Gas_OCGT,TotalCapacity,ID_ID,2040,0.5289759877326646
Dakar,Power,P_Gas_OCGT,TotalCapacity,ID_ID,2045,0.5932597178612551
Dakar,Power,P_Gas_OCGT,TotalCapacity,ID_ID,2050,0.5932597178612551
Diourbel,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2022,0.03
Diourbel,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2025,0.033279178157975216
Diourbel,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2030,0.04208187193869487
Diourbel,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2035,0.050885022361723035
Diourbel,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2040,0.05968771614244272
Diourbel,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2045,0.06849086656547086
Diourbel,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2050,1.1504836477640799
Thies,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2025,0.10934411028884265
Thies,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2030,0.16401616543326458
Thies,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2035,0.16401616543326458
Thies,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2040,0.18224018381473853
Thies,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2045,0.21868822057768622
Thies,Power,P_Gas_CCGT,TotalCapacity,ID_ID,2050,0.26204264702709446
Thies,Power,P_Oil,TotalCapacity,ID_ID,2022,0.235
Thies,Power,P_Oil,TotalCapacity,ID_ID,2025,0.09999999999999998
Thies,Power,P_Oil,TotalCapacity,ID_ID,2030,0.09999999999999998
Thies,Power,P_Coal_Hardcoal,TotalCapacity,ID_ID,2022,0.02
Thies,Power,P_Coal_Hardcoal,TotalCapacity,ID_ID,2025,0.02
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2022,0.1245
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2025,0.17487301099901814
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2030,0.3301801289764521
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2035,0.3301801289764521
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2040,0.3301801289764521
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2045,0.22732640433748036
Thies,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2050,2.7273264043374805
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2022,0.1587
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2025,0.25970374997205453
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2030,0.25970374997205453
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2035,0.5715219782273323
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2040,1.2767523536656684
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2045,2.7870038307026923
Thies,Power,RES_Wind_Onshore_Opt,TotalCapacity,ID_ID,2050,5.0
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2022,0.025
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2025,0.04606597746480685
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2030,0.058250914586971
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2035,0.3884582013996816
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2040,0.7233645001992827
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2045,2.0528629599718657
LS,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2050,2.581749989074868
FKK,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2022,0.056
FKK,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2025,0.07952350237056259
FKK,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2030,0.10055830787012814
FKK,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2035,0.12159420455636691
FKK,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2040,0.14262901005593243
FKK,Power,RES_PV_Utility_Opt,TotalCapacity,ID_ID,2045,0.1636649067421711
