Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
Dakar,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2025,0.6403278687371992
Dakar,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2030,1.1700000001403994
Dakar,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2035,1.2587473113938623
Dakar,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2040,1.4400000001728142
Dakar,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2045,1.7856000000000012
Dakar,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2050,2.125714285310406
Dakar,Power,CO2,P_Oil,Emissions,ID_ID,2022,2.494320651559578
Dakar,Power,CO2,P_Oil,Emissions,ID_ID,2025,1.548695739200015
Dakar,Power,CO2,P_Oil,Emissions,ID_ID,2030,1.4457422128200104
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,ID_ID,2022,0.2558960752575501
Dakar,Power,CO2,P_Coal_Hardcoal,Emissions,ID_ID,2025,0.11134987559460029
Dakar,Power,CO2,P_Gas_OCGT,Emissions,ID_ID,2025,0.39857142857939765
Dakar,Power,CO2,P_Gas_OCGT,Emissions,ID_ID,2030,0.7609090910004005
Dakar,Power,CO2,P_Gas_OCGT,Emissions,ID_ID,2035,1.239999999876
Dakar,Power,CO2,P_Gas_OCGT,Emissions,ID_ID,2040,1.2399999998760014
Dakar,Power,CO2,P_Gas_OCGT,Emissions,ID_ID,2045,1.3639999998636012
Dakar,Power,CO2,P_Gas_OCGT,Emissions,ID_ID,2050,1.4673725009287832
Thies,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2025,0.27442622945879996
Thies,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2030,0.4048437600486012
Thies,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2035,0.35905450582216086
Thies,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2040,0.4500000000540002
Thies,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2045,0.535680000000002
Thies,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2050,0.6187578867294524
Thies,Power,CO2,P_Oil,Emissions,ID_ID,2022,0.4230288404650717
Thies,Power,CO2,P_Oil,Emissions,ID_ID,2025,0.061236963855144926
Thies,Power,CO2,P_Oil,Emissions,ID_ID,2030,0.23131875405120003
Thies,Power,CO2,P_Coal_Hardcoal,Emissions,ID_ID,2022,0.011711198629869975
Thies,Power,CO2,P_Coal_Hardcoal,Emissions,ID_ID,2025,0.0254225767843192
ZS,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2035,0.2700000000324004
ZS,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2040,0.31500000003779977
ZS,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2045,0.35712000000000055
ZS,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2050,0.022922346338278284
ZS,Power,CO2,P_Oil,Emissions,ID_ID,2022,0.031806732444897935
ZS,Power,CO2,P_Oil,Emissions,ID_ID,2025,0.05807609021999999
ZS,Power,CO2,P_Oil,Emissions,ID_ID,2030,0.05782968851279999
MTKK,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2035,0.17864226679321576
MTKK,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2040,0.22500000002700007
MTKK,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2045,0.2678400000000011
MTKK,Power,CO2,P_Gas_CCGT,Emissions,ID_ID,2050,0.06961212087241517
MTKK,Power,CO2,P_Oil,Emissions,ID_ID,2022,0.027530314813999167
MTKK,Power,CO2,P_Oil,Emissions,ID_ID,2025,0.06775543859
MTKK,Power,CO2,P_Oil,Emissions,ID_ID,2030,0.09638281418800027
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2025,0.17219268422146977
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2030,0.1364579265082776
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2035,0.1773896530807955
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2040,0.18783832167332126
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2045,0.18110778953318243
Dakar,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2050,0.029097549669077807
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2030,0.09156379335306662
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2035,0.20031901318325077
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2040,0.3714966170695604
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2045,0.5436722472606587
Dakar,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2050,0.5662861542204207
Dakar,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2022,0.21909999994522492
Dakar,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2025,0.24043616663797565
Dakar,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2030,0.16126723858264302
Dakar,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2035,0.08236729644197413
Dakar,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2022,0.017411764702400155
Dakar,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2025,0.017386890756799823
Dakar,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2030,0.0009228364681557542
Dakar,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2035,0.001058948383064537
Dakar,Industry,CO2,HMI_Oil,Emissions,ID_ID,2022,0.07447079235119991
Dakar,Industry,CO2,HMI_Oil,Emissions,ID_ID,2025,0.07418440387079979
Dakar,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2022,0.4987362636090005
Dakar,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2025,0.6473376999392135
Dakar,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2030,0.8575776301288331
Dakar,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2035,1.2729586138022104
Dakar,Industry,CO2,HMI_Gas,Emissions,ID_ID,2030,0.08563497562190005
Dakar,Industry,CO2,HMI_Gas,Emissions,ID_ID,2035,0.12238207664400146
Dakar,Industry,CO2,HMI_Gas,Emissions,ID_ID,2040,1.0435900870093933
Dakar,Industry,CO2,HMI_Gas,Emissions,ID_ID,2045,0.9554617719794357
Dakar,Industry,CO2,HMI_Gas,Emissions,ID_ID,2050,1.2307482073534983
Diourbel,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2025,0.0322977072974879
Diourbel,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2030,0.02664838233309593
Diourbel,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2035,0.0347468624059697
Diourbel,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2040,0.03679741575241651
Diourbel,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2045,0.03653752244215597
Diourbel,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2050,0.005965695610237797
Diourbel,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2030,0.024215192398899667
Diourbel,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2035,0.06277096947239015
Diourbel,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2040,0.14494325388964868
Diourbel,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2045,0.19863122602254224
Diourbel,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2050,0.18297933184537135
Diourbel,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2022,0.07511999998121999
Diourbel,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2025,0.07388040277776126
Diourbel,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2030,0.053865639164908455
Diourbel,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2035,0.026886827759839024
Diourbel,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2022,0.013058823526799997
Diourbel,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2025,0.013040168067599993
Diourbel,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2030,0.001155353944056283
Diourbel,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2035,0.0015935237043658767
Diourbel,Industry,CO2,HMI_Oil,Emissions,ID_ID,2022,0.05585309426340004
Diourbel,Industry,CO2,HMI_Oil,Emissions,ID_ID,2025,0.055638302903100026
Diourbel,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2022,0.09309743587367975
Diourbel,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2025,0.13249136698202696
Diourbel,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2030,0.09887144800520072
Diourbel,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2035,0.14947455850910038
Diourbel,Industry,CO2,HMI_Gas,Emissions,ID_ID,2030,0.08038696695124384
Diourbel,Industry,CO2,HMI_Gas,Emissions,ID_ID,2035,0.12238207664399982
Diourbel,Industry,CO2,HMI_Gas,Emissions,ID_ID,2040,0.27937461362038774
Diourbel,Industry,CO2,HMI_Gas,Emissions,ID_ID,2045,0.24356422824327983
Diourbel,Industry,CO2,HMI_Gas,Emissions,ID_ID,2050,0.23477649812476548
Thies,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2025,0.15335750118947392
Thies,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2030,0.1212331501414368
Thies,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2035,0.15783268614849483
Thies,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2040,0.16711285833795747
Thies,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2045,0.15484039594732152
Thies,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2050,0.02394009872105661
Thies,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2030,0.07280325508848769
Thies,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2035,0.15800759371244946
Thies,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2040,0.31474471057403675
Thies,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2045,0.4199154927033303
Thies,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2050,0.43044768116028537
Thies,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2022,0.1937469999515631
Thies,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2025,0.18925385074170836
Thies,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2030,0.13901068523722868
Thies,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2035,0.06938665183769785
Thies,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2022,0.019588235290200002
Thies,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2025,0.01956025210139999
Thies,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2030,0.0006264133351974319
Thies,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2035,0.0020690518983440863
Thies,Industry,CO2,HMI_Oil,Emissions,ID_ID,2022,0.07447079235120001
Thies,Industry,CO2,HMI_Oil,Emissions,ID_ID,2025,0.0741844038708012
Thies,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2022,0.43556300355185995
Thies,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2025,0.5679622413418715
Thies,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2030,0.6416945118126174
Thies,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2035,1.124242513741883
Thies,Industry,CO2,HMI_Gas,Emissions,ID_ID,2030,0.1386191088693223
Thies,Industry,CO2,HMI_Gas,Emissions,ID_ID,2035,0.12238207664399998
Thies,Industry,CO2,HMI_Gas,Emissions,ID_ID,2040,0.9252986217341642
Thies,Industry,CO2,HMI_Gas,Emissions,ID_ID,2045,0.7503844966290301
Thies,Industry,CO2,HMI_Gas,Emissions,ID_ID,2050,0.895526847920796
LS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2025,0.027974878404898682
LS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2030,0.022943715337106107
LS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2035,0.030120284541166737
LS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2040,0.03189308367058589
LS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2045,0.029701962973697517
LS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2050,0.005010990182583839
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2030,0.026078180456603345
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2035,0.0722168081265121
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2040,0.13401811279375603
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2045,0.1988515978500233
LS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2050,0.0050434917134376
LS,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2022,0.06259999998434991
LS,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2025,0.06233388139130034
LS,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2030,0.04488803263742371
LS,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2035,0.022405689799865857
LS,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2022,0.01654117646728
LS,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2025,0.016517546218960018
