Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Power,Dakar,Gas_Synth,2035,0.0062360053630879375
Final Energy Demand [TWh],Power,Dakar,Oil,2022,9.363065508857273
Final Energy Demand [TWh],Power,Dakar,Oil,2025,5.8134224444445
Final Energy Demand [TWh],Power,Dakar,Oil,2030,5.426960258333374
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2025,5.1717408269444265
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2030,9.612251548888896
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2035,12.439004934636927
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2040,13.341298287777878
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2045,15.679012345000004
Final Energy Demand [TWh],Power,Dakar,Gas_Natural,2050,17.886732309036137
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2022,0.7569993943247838
Final Energy Demand [TWh],Power,Dakar,Hardcoal,2025,0.32939851968583694
Final Energy Demand [TWh],Power,Dakar,Gas_Bio,2050,0.10268567763051561
Final Energy Demand [TWh],Power,Thies,Gas_Synth,2035,0.004706761355237524
Final Energy Demand [TWh],Power,Thies,Gas_Synth,2050,0.004795660166217517
Final Energy Demand [TWh],Power,Thies,Oil,2022,1.587946097841862
Final Energy Demand [TWh],Power,Thies,Oil,2025,0.22986848293973322
Final Energy Demand [TWh],Power,Thies,Oil,2030,0.8683136413333341
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2025,1.366120218333328
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2030,2.0153512547222285
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2035,1.7874079342003228
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2040,2.240143369444443
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2045,2.6666666666666696
Final Energy Demand [TWh],Power,Thies,Gas_Natural,2050,3.0802363935157846
Final Energy Demand [TWh],Power,Thies,Hardcoal,2022,0.034644416725446624
Final Energy Demand [TWh],Power,Thies,Hardcoal,2025,0.07520582411643355
Final Energy Demand [TWh],Power,Thies,Gas_Bio,2030,0.0007777777777777787
Final Energy Demand [TWh],Power,Thies,Gas_Bio,2050,0.001387698818001238
Final Energy Demand [TWh],Power,ZS,Oil,2022,0.11939464130967692
Final Energy Demand [TWh],Power,ZS,Oil,2025,0.21800334166666654
Final Energy Demand [TWh],Power,ZS,Oil,2030,0.21707841033333308
Final Energy Demand [TWh],Power,ZS,Gas_Natural,2035,1.3440860216666668
Final Energy Demand [TWh],Power,ZS,Gas_Natural,2040,1.568100358611115
Final Energy Demand [TWh],Power,ZS,Gas_Natural,2045,1.7777777777777766
Final Energy Demand [TWh],Power,ZS,Gas_Natural,2050,0.11410964923475848
Final Energy Demand [TWh],Power,ZS,Gas_Bio,2050,1.4291002270152433
