Type,Region,Dim1,Dim2,Year,Value
SelfSufficiencyRate,Dakar,X,X,2022,1.292691202076827
SelfSufficiencyRate,Diourbel,X,X,2022,0.13001200751706948
SelfSufficiencyRate,Thies,X,X,2022,1.6221358100336922
SelfSufficiencyRate,LS,X,X,2022,0.11388550385998132
SelfSufficiencyRate,FKK,X,X,2022,0.14210040420104164
SelfSufficiencyRate,ZS,X,X,2022,0.20463992999838884
SelfSufficiencyRate,MTKK,X,X,2022,1.0281465887761596
SelfSufficiencyRate,Dakar,X,X,2025,1.2669055139057808
SelfSufficiencyRate,Diourbel,X,X,2025,0.11128565785142673
SelfSufficiencyRate,Thies,X,X,2025,1.361485474084155
SelfSufficiencyRate,LS,X,X,2025,0.22177725071172327
SelfSufficiencyRate,FKK,X,X,2025,0.2532596706144015
SelfSufficiencyRate,ZS,X,X,2025,0.2246650772909205
SelfSufficiencyRate,MTKK,X,X,2025,1.7798840618040828
SelfSufficiencyRate,Dakar,X,X,2030,1.2875332396366883
SelfSufficiencyRate,Diourbel,X,X,2030,0.08399109459708538
SelfSufficiencyRate,Thies,X,X,2030,1.3511023035951937
SelfSufficiencyRate,LS,X,X,2030,0.13874353284346908
SelfSufficiencyRate,FKK,X,X,2030,0.17592243778713748
SelfSufficiencyRate,ZS,X,X,2030,0.14411161474066422
SelfSufficiencyRate,MTKK,X,X,2030,1.3921523097961046
SelfSufficiencyRate,Dakar,X,X,2035,1.2791809754287646
SelfSufficiencyRate,Diourbel,X,X,2035,0.06295913612201211
SelfSufficiencyRate,Thies,X,X,2035,1.0465585731590912
SelfSufficiencyRate,LS,X,X,2035,0.6388281415340258
SelfSufficiencyRate,FKK,X,X,2035,0.1497503222837792
SelfSufficiencyRate,ZS,X,X,2035,1.1047317171569129
SelfSufficiencyRate,MTKK,X,X,2035,1.4791601091976139
SelfSufficiencyRate,Dakar,X,X,2040,1.1627637624910845
SelfSufficiencyRate,Diourbel,X,X,2040,0.05699536721615192
SelfSufficiencyRate,Thies,X,X,2040,1.3593912532343262
SelfSufficiencyRate,LS,X,X,2040,0.9057990549481568
SelfSufficiencyRate,FKK,X,X,2040,0.13550587173244036
SelfSufficiencyRate,ZS,X,X,2040,0.9661077370200191
