Region,Region2,Type,Fuel,PathwayScenario,Year,Value
Thies,Dakar,TotalTradeCapacity,Gas_Natural,ID_ID,2025,3.314567243946501
Thies,Dakar,TotalTradeCapacity,Gas_Natural,ID_ID,2030,44.42393325251927
Thies,Dakar,TotalTradeCapacity,Gas_Natural,ID_ID,2035,66.64551255375484
Thies,Dakar,TotalTradeCapacity,Gas_Natural,ID_ID,2040,94.76892552091097
Thies,Dakar,TotalTradeCapacity,Gas_Natural,ID_ID,2045,119.17192516235286
Thies,Dakar,TotalTradeCapacity,Gas_Natural,ID_ID,2050,141.02092708045697
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2022,5.0
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2025,5.0
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2030,5.0
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2035,5.0
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2040,5.0
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2045,5.0
Thies,Dakar,TotalTradeCapacity,Power,ID_ID,2050,5.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2022,1.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2025,1.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2030,1.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2035,1.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2040,1.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2045,1.0
Thies,Diourbel,TotalTradeCapacity,Power,ID_ID,2050,1.0
LS,Diourbel,TotalTradeCapacity,Gas_Natural,ID_ID,2030,3.9685462895197006
LS,Diourbel,TotalTradeCapacity,Gas_Natural,ID_ID,2035,5.2353316189804175
LS,Diourbel,TotalTradeCapacity,Gas_Natural,ID_ID,2040,10.112803975258101
LS,Diourbel,TotalTradeCapacity,Gas_Natural,ID_ID,2045,11.468325038492479
LS,Diourbel,TotalTradeCapacity,Gas_Natural,ID_ID,2050,12.902096601084533
Dakar,Thies,TotalTradeCapacity,Power,ID_ID,2022,5.0
Dakar,Thies,TotalTradeCapacity,Power,ID_ID,2025,5.0
Dakar,Thies,TotalTradeCapacity,Power,ID_ID,2030,5.0
Dakar,Thies,TotalTradeCapacity,Power,ID_ID,2035,5.0
Dakar,Thies,TotalTradeCapacity,Power,ID_ID,2040,5.0
