Region,Unit,Scenario,Year,Variable,Value,Model
Dakar,EJ/yr,ID_2030,2025,Final Energy|Electricity|Industry,0.0003606878115319978,GENeSYS-MOD 4.0
Dakar,EJ/yr,ID_2030,2030,Final Energy|Electricity|Industry,0.0009407899553343004,GENeSYS-MOD 4.0
Dakar,EJ/yr,ID_2030,2035,Final Energy|Electricity|Industry,0.0009692636378775892,GENeSYS-MOD 4.0
Dakar,EJ/yr,ID_2030,2040,Final Energy|Electricity|Industry,0.0013395169277057209,GENeSYS-MOD 4.0
Dakar,EJ/yr,ID_2030,2045,Final Energy|Electricity|Industry,0.011216296647991562,GENeSYS-MOD 4.0
Dakar,EJ/yr,ID_2030,2050,Final Energy|Electricity|Industry,0.022809389699151212,GENeSYS-MOD 4.0
Diourbel,EJ/yr,ID_2030,2025,Final Energy|Electricity|Industry,0.0002690947014366854,GENeSYS-MOD 4.0
Diourbel,EJ/yr,ID_2030,2030,Final Energy|Electricity|Industry,0.0007748294185394178,GENeSYS-MOD 4.0
Diourbel,EJ/yr,ID_2030,2035,Final Energy|Electricity|Industry,0.0007972225993247632,GENeSYS-MOD 4.0
Diourbel,EJ/yr,ID_2030,2040,Final Energy|Electricity|Industry,0.0011501531366694773,GENeSYS-MOD 4.0
Diourbel,EJ/yr,ID_2030,2045,Final Energy|Electricity|Industry,0.0015244084922831887,GENeSYS-MOD 4.0
Diourbel,EJ/yr,ID_2030,2050,Final Energy|Electricity|Industry,0.0049054143781646145,GENeSYS-MOD 4.0
FKK,EJ/yr,ID_2030,2025,Final Energy|Electricity|Industry,0.0001738660238996041,GENeSYS-MOD 4.0
FKK,EJ/yr,ID_2030,2030,Final Energy|Electricity|Industry,0.0008805744153140054,GENeSYS-MOD 4.0
FKK,EJ/yr,ID_2030,2035,Final Energy|Electricity|Industry,0.0009058574945581419,GENeSYS-MOD 4.0
FKK,EJ/yr,ID_2030,2040,Final Energy|Electricity|Industry,0.0009931866105816218,GENeSYS-MOD 4.0
FKK,EJ/yr,ID_2030,2045,Final Energy|Electricity|Industry,0.0014646428086839988,GENeSYS-MOD 4.0
FKK,EJ/yr,ID_2030,2050,Final Energy|Electricity|Industry,0.003927729134224579,GENeSYS-MOD 4.0
LS,EJ/yr,ID_2030,2025,Final Energy|Electricity|Industry,0.0002326590005178484,GENeSYS-MOD 4.0
LS,EJ/yr,ID_2030,2030,Final Energy|Electricity|Industry,0.0009071946577806836,GENeSYS-MOD 4.0
LS,EJ/yr,ID_2030,2035,Final Energy|Electricity|Industry,0.0009331221549193428,GENeSYS-MOD 4.0
LS,EJ/yr,ID_2030,2040,Final Energy|Electricity|Industry,0.001048150383563026,GENeSYS-MOD 4.0
LS,EJ/yr,ID_2030,2045,Final Energy|Electricity|Industry,0.002183233968820571,GENeSYS-MOD 4.0
LS,EJ/yr,ID_2030,2050,Final Energy|Electricity|Industry,0.005914342912022871,GENeSYS-MOD 4.0
MTKK,EJ/yr,ID_2030,2025,Final Energy|Electricity|Industry,0.00023467012612846312,GENeSYS-MOD 4.0
MTKK,EJ/yr,ID_2030,2030,Final Energy|Electricity|Industry,0.0006453801339604042,GENeSYS-MOD 4.0
MTKK,EJ/yr,ID_2030,2035,Final Energy|Electricity|Industry,0.0006641360745867454,GENeSYS-MOD 4.0
MTKK,EJ/yr,ID_2030,2040,Final Energy|Electricity|Industry,0.0006832044997297606,GENeSYS-MOD 4.0
MTKK,EJ/yr,ID_2030,2045,Final Energy|Electricity|Industry,0.0011498232027938719,GENeSYS-MOD 4.0
MTKK,EJ/yr,ID_2030,2050,Final Energy|Electricity|Industry,0.0025410443921437356,GENeSYS-MOD 4.0
Thies,EJ/yr,ID_2030,2025,Final Energy|Electricity|Industry,0.0005392008382815312,GENeSYS-MOD 4.0
Thies,EJ/yr,ID_2030,2030,Final Energy|Electricity|Industry,0.001203461187290488,GENeSYS-MOD 4.0
Thies,EJ/yr,ID_2030,2035,Final Energy|Electricity|Industry,0.0012394122218501533,GENeSYS-MOD 4.0
Thies,EJ/yr,ID_2030,2040,Final Energy|Electricity|Industry,0.0015098500721230286,GENeSYS-MOD 4.0
Thies,EJ/yr,ID_2030,2045,Final Energy|Electricity|Industry,0.010200301928623806,GENeSYS-MOD 4.0
Thies,EJ/yr,ID_2030,2050,Final Energy|Electricity|Industry,0.021368197039607153,GENeSYS-MOD 4.0
ZS,EJ/yr,ID_2030,2025,Final Energy|Electricity|Industry,0.00023450803659944862,GENeSYS-MOD 4.0
ZS,EJ/yr,ID_2030,2030,Final Energy|Electricity|Industry,0.0004979665620836723,GENeSYS-MOD 4.0
ZS,EJ/yr,ID_2030,2035,Final Energy|Electricity|Industry,0.0005120368662862485,GENeSYS-MOD 4.0
ZS,EJ/yr,ID_2030,2040,Final Energy|Electricity|Industry,0.0006801513382382914,GENeSYS-MOD 4.0
ZS,EJ/yr,ID_2030,2045,Final Energy|Electricity|Industry,0.0010582356773521672,GENeSYS-MOD 4.0
ZS,EJ/yr,ID_2030,2050,Final Energy|Electricity|Industry,0.0015189954151405458,GENeSYS-MOD 4.0
Dakar,EJ/yr,ID_2030,2022,Final Energy|Electricity|Transportation,1.04662759657673e-05,GENeSYS-MOD 4.0
Dakar,EJ/yr,ID_2030,2025,Final Energy|Electricity|Transportation,0.0003273064958423157,GENeSYS-MOD 4.0
Dakar,EJ/yr,ID_2030,2030,Final Energy|Electricity|Transportation,0.0019828972236298967,GENeSYS-MOD 4.0
Dakar,EJ/yr,ID_2030,2035,Final Energy|Electricity|Transportation,0.002460595594356932,GENeSYS-MOD 4.0
Dakar,EJ/yr,ID_2030,2040,Final Energy|Electricity|Transportation,0.003713302085401966,GENeSYS-MOD 4.0
Dakar,EJ/yr,ID_2030,2045,Final Energy|Electricity|Transportation,0.007045277824602943,GENeSYS-MOD 4.0
Dakar,EJ/yr,ID_2030,2050,Final Energy|Electricity|Transportation,0.009969943371602603,GENeSYS-MOD 4.0
Diourbel,EJ/yr,ID_2030,2025,Final Energy|Electricity|Transportation,2.2837111812145e-06,GENeSYS-MOD 4.0
Diourbel,EJ/yr,ID_2030,2030,Final Energy|Electricity|Transportation,0.000342563238104782,GENeSYS-MOD 4.0
Diourbel,EJ/yr,ID_2030,2035,Final Energy|Electricity|Transportation,0.00039981214782522015,GENeSYS-MOD 4.0
Diourbel,EJ/yr,ID_2030,2040,Final Energy|Electricity|Transportation,0.0006546360830854569,GENeSYS-MOD 4.0
Diourbel,EJ/yr,ID_2030,2045,Final Energy|Electricity|Transportation,0.0015002510418008895,GENeSYS-MOD 4.0
Diourbel,EJ/yr,ID_2030,2050,Final Energy|Electricity|Transportation,0.0022745081502853794,GENeSYS-MOD 4.0
