Timestamp [UTC],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1/1/2050 0:00,9.64E-05,9.11E-05,9.11E-05,9.11E-05,9.11E-05,9.64E-05,9.79E-05,9.11E-05,9.11E-05,9.11E-05,9.11E-05,9.64E-05,9.79E-05,9.11E-05,9.11E-05,9.11E-05,9.11E-05,9.79E-05,9.11E-05,9.11E-05,9.11E-05,9.11E-05,9.64E-05
1/1/2050 1:00,9.04E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,9.04E-05,9.04E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,9.04E-05,9.04E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,9.04E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,9.04E-05
1/1/2050 2:00,8.91E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05,8.91E-05,8.90E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05,8.91E-05,8.90E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05,8.90E-05,8.84E-05,8.84E-05,8.84E-05,8.84E-05,8.91E-05
1/1/2050 3:00,9.13E-05,8.29E-05,8.28E-05,8.28E-05,8.28E-05,9.13E-05,8.25E-05,8.29E-05,8.28E-05,8.28E-05,8.28E-05,9.13E-05,8.25E-05,8.28E-05,8.28E-05,8.28E-05,8.28E-05,8.25E-05,8.29E-05,8.28E-05,8.28E-05,8.28E-05,9.13E-05
1/1/2050 4:00,9.05E-05,8.56E-05,8.55E-05,8.55E-05,8.55E-05,9.04E-05,8.62E-05,8.56E-05,8.55E-05,8.55E-05,8.55E-05,9.04E-05,8.62E-05,8.55E-05,8.55E-05,8.55E-05,8.56E-05,8.62E-05,8.56E-05,8.55E-05,8.55E-05,8.55E-05,9.04E-05
1/1/2050 5:00,8.17E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.17E-05,8.47E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.17E-05,8.47E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.47E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.17E-05
1/1/2050 6:00,8.25E-05,7.97E-05,7.97E-05,7.97E-05,7.97E-05,8.25E-05,7.58E-05,7.97E-05,7.97E-05,7.97E-05,7.97E-05,8.25E-05,7.58E-05,7.97E-05,7.97E-05,7.97E-05,7.97E-05,7.58E-05,7.97E-05,7.97E-05,7.97E-05,7.97E-05,8.25E-05
1/1/2050 7:00,7.66E-05,8.52E-05,8.51E-05,8.51E-05,8.51E-05,7.65E-05,9.00E-05,8.52E-05,8.51E-05,8.51E-05,8.51E-05,7.65E-05,9.00E-05,8.51E-05,8.51E-05,8.51E-05,8.51E-05,9.00E-05,8.52E-05,8.51E-05,8.51E-05,8.51E-05,7.65E-05
1/1/2050 8:00,8.39E-05,8.46E-05,8.46E-05,8.46E-05,8.46E-05,8.39E-05,7.37E-05,8.46E-05,8.46E-05,8.46E-05,8.46E-05,8.39E-05,7.37E-05,8.46E-05,8.46E-05,8.46E-05,8.46E-05,7.37E-05,8.46E-05,8.46E-05,8.46E-05,8.46E-05,8.39E-05
1/1/2050 9:00,8.12E-05,8.92E-05,8.92E-05,8.92E-05,8.92E-05,8.12E-05,7.61E-05,8.92E-05,8.92E-05,8.92E-05,8.92E-05,8.12E-05,7.61E-05,8.92E-05,8.92E-05,8.92E-05,8.92E-05,7.61E-05,8.92E-05,8.92E-05,8.92E-05,8.92E-05,8.12E-05
