Timestamp [UTC],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1/1/2050 0:00,0.000104465,0.000102287,0.000102288,0.000102313,0.000102298,0.000104474,0.000106379,0.000102287,0.000102313,0.000102298,0.000102306,0.000104474,0.000106374,0.000102288,0.000102313,0.000102298,0.000102308,0.000106379,0.000102287,0.000102288,0.0001023,0.000102306,0.000104474
1/1/2050 1:00,9.98E-05,9.78E-05,9.78E-05,9.79E-05,9.79E-05,9.98E-05,0.000101204,9.78E-05,9.79E-05,9.79E-05,9.79E-05,9.98E-05,0.000101199,9.78E-05,9.79E-05,9.79E-05,9.79E-05,0.000101204,9.78E-05,9.78E-05,9.79E-05,9.79E-05,9.98E-05
1/1/2050 2:00,9.54E-05,9.36E-05,9.36E-05,9.36E-05,9.36E-05,9.54E-05,9.57E-05,9.36E-05,9.36E-05,9.36E-05,9.36E-05,9.54E-05,9.57E-05,9.36E-05,9.36E-05,9.36E-05,9.36E-05,9.57E-05,9.36E-05,9.36E-05,9.36E-05,9.36E-05,9.54E-05
1/1/2050 3:00,9.23E-05,8.93E-05,8.93E-05,8.93E-05,8.93E-05,9.23E-05,9.17E-05,8.93E-05,8.93E-05,8.93E-05,8.93E-05,9.23E-05,9.17E-05,8.93E-05,8.93E-05,8.93E-05,8.93E-05,9.17E-05,8.93E-05,8.93E-05,8.93E-05,8.93E-05,9.23E-05
1/1/2050 4:00,9.07E-05,8.83E-05,8.83E-05,8.83E-05,8.83E-05,9.07E-05,8.94E-05,8.83E-05,8.83E-05,8.83E-05,8.83E-05,9.07E-05,8.94E-05,8.83E-05,8.83E-05,8.83E-05,8.83E-05,8.94E-05,8.83E-05,8.83E-05,8.83E-05,8.83E-05,9.07E-05
1/1/2050 5:00,9.07E-05,8.96E-05,8.96E-05,8.97E-05,8.96E-05,9.07E-05,8.86E-05,8.96E-05,8.97E-05,8.96E-05,8.96E-05,9.07E-05,8.86E-05,8.96E-05,8.97E-05,8.96E-05,8.96E-05,8.86E-05,8.96E-05,8.96E-05,8.96E-05,8.96E-05,9.07E-05
1/1/2050 6:00,9.27E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.27E-05,8.99E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.27E-05,8.98E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,8.99E-05,9.22E-05,9.22E-05,9.22E-05,9.22E-05,9.27E-05
1/1/2050 7:00,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,8.89E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,8.89E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,8.89E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05
1/1/2050 8:00,9.38E-05,9.26E-05,9.26E-05,9.27E-05,9.26E-05,9.38E-05,8.89E-05,9.26E-05,9.27E-05,9.26E-05,9.26E-05,9.38E-05,8.89E-05,9.26E-05,9.27E-05,9.26E-05,9.26E-05,8.89E-05,9.26E-05,9.26E-05,9.26E-05,9.26E-05,9.38E-05
1/1/2050 9:00,9.86E-05,9.16E-05,9.16E-05,9.16E-05,9.16E-05,9.86E-05,8.24E-05,9.16E-05,9.16E-05,9.16E-05,9.16E-05,9.86E-05,8.24E-05,9.16E-05,9.16E-05,9.16E-05,9.16E-05,8.24E-05,9.16E-05,9.16E-05,9.16E-05,9.16E-05,9.86E-05
1/1/2050 10:00,0.00010158,9.41E-05,9.41E-05,9.41E-05,9.41E-05,0.000101588,9.15E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,0.000101588,9.15E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.15E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,0.000101588
