Timestamp [UTC],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1/1/2050 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2050 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2050 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2050 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2050 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2050 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2050 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2050 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2050 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2050 9:00,5.64E-05,0.000103348,6.26E-05,0.000107229,0.00010139,0.000100513,9.49E-05,9.90E-05,0.000104484,6.92E-05,9.94E-05,8.42E-05,9.61E-05,0.000106689,0.000102222,0.000107214,0.000102006,0.000100461,0.000103539,9.79E-05,0.000105759,9.91E-05,0.000103546,8.97E-05,0.000108406
1/1/2050 10:00,0.0001134,0.000223586,0.000153193,0.000229412,0.000218194,0.000221747,0.000214339,0.000214891,0.000228552,0.000177872,0.000222287,0.000193269,0.000223747,0.000232631,0.000220161,0.00023207,0.00021829,0.00021769,0.000224197,0.000212566,0.000232044,0.000213755,0.000229915,0.000207355,0.000231096
1/1/2050 11:00,0.000189621,0.000320166,0.000237568,0.0003269,0.000314119,0.000320569,0.000307848,0.000319064,0.000330585,0.000263497,0.000317317,0.000285112,0.000312693,0.000333682,0.000318163,0.000330362,0.000316337,0.000313202,0.000321227,0.000301848,0.000327116,0.000306368,0.00032551,0.000306668,0.000327741
1/1/2050 12:00,0.000279201,0.000385047,0.000317681,0.000392402,0.000378623,0.000385087,0.000371479,0.000387105,0.000393796,0.000329623,0.00037411,0.000352458,0.000363656,0.000396337,0.000382686,0.000397351,0.000383242,0.000374028,0.000385217,0.000368544,0.000395262,0.000368562,0.00038718,0.000376098,0.000390305
1/1/2050 13:00,0.000331064,0.000419501,0.00033877,0.000425934,0.000409514,0.000419221,0.000400218,0.000422057,0.000421704,0.000374011,0.000396826,0.000395823,0.000410743,0.000429604,0.000415527,0.000427597,0.00041696,0.000406533,0.000418621,0.000396791,0.000428464,0.000399985,0.000417276,0.000409464,0.000420512
