Model,Scenario,Region,Variable,Unit,2030
GENeSYS-MOD 4.0,ID_2030,Dakar,Capacity|Electricity|Gas|Fossil|CCGT|w/o CCS,MW,473.8244779183189
GENeSYS-MOD 4.0,ID_2030,Dakar,Capacity|Electricity|Gas|Fossil|OCGT|w/o CCS,MW,218.68822057768588
GENeSYS-MOD 4.0,ID_2030,Dakar,Capacity|Electricity|Oil|w/o CCS,MW,506.49999999999983
GENeSYS-MOD 4.0,ID_2030,Dakar,Capacity|Electricity|Solar|PV|Utility,MW,38.7343016447621
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Battery|Lithium-Ion,EUR/MW,160000.0005184
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Biomass|w/o CCS,EUR/MW,2330000.0
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MW,2758137.8619808
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MW,1800000.0
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Gas|Fossil|CCGT|w/o CCS,EUR/MW,698032.423533882
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Gas|Fossil|OCGT|w/o CCS,EUR/MW,635677.340788036
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Hydro|Pumped Storage,EUR/MW,1424245.4614799998
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Hydro|Run of River,EUR/MW,2560000.0
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Nuclear,EUR/MW,6000000.0
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Oil|w/o CCS,EUR/MW,650000.0
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Solar|PV|Rooftop|Commercial,EUR/MW,570000.0
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Solar|PV|Utility,EUR/MW,380000.0
GENeSYS-MOD 4.0,ID_2030,Dakar,Capital Cost|Electricity|Wind|Onshore,EUR/MW,729013.064706364
GENeSYS-MOD 4.0,ID_2030,Dakar,Charging Efficiency|Electricity|Battery|Lithium-Ion,-,0.95
GENeSYS-MOD 4.0,ID_2030,Dakar,Charging Efficiency|Electricity|Hydro|Pumped Storage,-,0.866
GENeSYS-MOD 4.0,ID_2030,Dakar,Discharging Efficiency|Electricity|Battery|Lithium-Ion,-,0.95
GENeSYS-MOD 4.0,ID_2030,Dakar,Discharging Efficiency|Electricity|Hydro|Pumped Storage,-,0.866
GENeSYS-MOD 4.0,ID_2030,Dakar,Emission Rate|CO2|Electricity|Coal|Hard coal|w/o CCS,tons/MWh,0.67455945348696
