Type,Zone,value,Profile_Timeserie
Total,Dakar,5771782.404175973,TS_LOAD_Dakar.csv
Total,Diourbel,876862.5999308056,TS_LOAD_Diourbel.csv
Total,FKK,977552.0975082779,TS_LOAD_FKK.csv
Total,LS,759501.1973806389,TS_LOAD_LS.csv
Total,MTKK,907145.0799425278,TS_LOAD_MTKK.csv
Total,Thies,2156549.9005173333,TS_LOAD_Thies.csv
Total,ZS,578255.4965003611,TS_LOAD_ZS.csv
MaxActivePowerDemand,Dakar,1500000.0,
CostActivePowerDemand,Dakar,10000.0,
MaxActivePowerDemand,Diourbel,1500000.0,
CostActivePowerDemand,Diourbel,10000.0,
MaxActivePowerDemand,Thies,1500000.0,
CostActivePowerDemand,Thies,10000.0,
MaxActivePowerDemand,LS,1500000.0,
CostActivePowerDemand,LS,10000.0,
MaxActivePowerDemand,FKK,1500000.0,
CostActivePowerDemand,FKK,10000.0,
MaxActivePowerDemand,ZS,1500000.0,
CostActivePowerDemand,ZS,10000.0,
MaxActivePowerDemand,MTKK,1500000.0,
CostActivePowerDemand,MTKK,10000.0,
