Timestep,Hydro|Reservoir_MTKK_0,Electricity|Gas|Fossil|CCGT|w/o CCS_Dakar_0,Electricity|Gas|Fossil|CCGT|w/o CCS_Thies_0,Electricity|Gas|Fossil|OCGT|w/o CCS_Dakar_0,Electricity|Oil|w/o CCS_Dakar_0,Electricity|Oil|w/o CCS_Thies_0,Electricity|Oil|w/o CCS_ZS_0,Electricity|Oil|w/o CCS_MTKK_0,Solar|PV|Utility_Dakar_0,Solar|PV|Utility_Diourbel_0,Solar|PV|Utility_Thies_0,Solar|PV|Utility_LS_0,Solar|PV|Utility_FKK_0,Wind|Onshore_Thies_0,Hydro|Run of River_MTKK_0,SlackUnit_Dakar,SlackUnit_Diourbel,SlackUnit_Thies,SlackUnit_LS,SlackUnit_FKK,SlackUnit_ZS,SlackUnit_MTKK
0,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,53.887180512182766279,12,0,0,0,0,0,0,68.112359821957340955,26.644059818567463083,0,0,0,0,0,0,0
1,194.07442379265384602,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,66.634868285689307754,26.644059818567463083,0,0,0,0,0,0,0
2,145.04703699558837116,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,69.589851358225402578,26.644059818567463083,0,0,0,0,0,0,0
3,105.75279629935189973,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,78.250906743828736012,26.644059818567463083,0,0,0,0,0,0,0
4,68.817441002600816091,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,84.011646243737899908,26.644059818567463083,0,0,0,0,0,0,0
5,59.342340540481863798,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,89.064667297774647636,26.644059818567463083,0,0,0,0,0,0,0
6,103.15333371606854485,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,89.905359981911161071,26.644059818567463083,0,0,0,0,0,0,0
7,119.98924057236072827,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,95.74366778747440776,26.644059818567463083,0,0,0,0,0,0,0
8,111.91197192275370753,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,99.35465710211352075,26.644059818567463083,0,0,0,0,0,0,0
9,89.798394335432732305,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,3.3369083520003521848,3.6235183958273324833,28.694574050598838255,5.8588988903819672061,9.7680882544455656102,97.043121593622146293,26.644059818567463083,0,0,0,0,0,0,0
10,51.733275088466932345,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,3.770091942234351734,0,9.1209999133045460695,9.9715249220782595785,79.679803192545364254,16.200171559544109812,24.476627906315652439,72.988081891641925836,26.644059818567463083,0,0,0,0,0,0,0
11,0,473.82447791831890527,164.01616543326449005,159.00572765673439335,0,0,0,0,16.219903615999029967,19.094248024808749165,141.99850162342536919,28.583839521752711477,45.552482128975320563,69.73760051185222153,26.644059818567463083,0,0,0,0,0,0,0
12,0,473.82447791831890527,164.01616543326449005,78.633556704891532263,0,0,0,0,22.270245338441782224,24.911247078825631718,194.37231149314010281,35.593759141984364192,59.418180222129954871,66.413244555249093537,26.644059818567463083,0,0,0,0,0,0,0
13,0,473.82447791831890527,164.01616543326449005,60.609782151017952856,0,0,0,0,25.515055019926922597,27.879659862236621848,217.41612519822822946,39.002458086338243959,65.188919121182337335,62.867264868205737116,26.644059818567463083,0,0,0,0,0,0,0
14,0,473.82447791831890527,164.01616543326449005,38.452244614767721487,0,0,0,0,26.009690213746598175,28.035721558999998848,219.54425680358912132,38.942604586882538342,65.283160536031559218,59.025786873908813845,26.644059818567463083,0,0,0,0,0,0,0
15,0,473.82447791831890527,164.01616543326449005,110.69858562937190527,0,0,0,0,24.743421307540145904,26.317938163384614114,208.68824156122957447,36.462267139367966706,61.884450532992694605,62.867264868205737116,26.644059818567463083,0,0,0,0,0,0,0
16,0,473.82447791831890527,164.01616543326449005,183.63400535308994677,0,0,0,0,21.403632676751755071,22.43694374495946775,178.66661741587827805,30.570807102275061595,53.099362145843088001,71.067342894493435779,26.644059818567463083,0,0,0,0,0,0,0
17,23.843387549045807816,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,16.172414141347406513,16.278730042002184319,131.88736202497725003,22.531997396329568772,38.578445456747644471,89.081658450441722152,26.644059818567463083,0,0,0,0,0,0,0
18,90.724720632681339794,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,8.5788752448332470379,8.297709828948828914,68.945665934813135323,11.197662440423544084,18.765907718544990956,109.31812127693714842,26.644059818567463083,0,0,0,0,0,0,0
19,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,77.557764095257141435,12,0,1.5455154472422658607,1.2741233383701797699,11.536993690446950112,1.7176268329716888328,2.4420220636113914026,139.10730563117371616,26.644059818567463083,0,0,0,0,0,0,0
20,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,80.250424869663788741,12,0,0,0,0,0,0,172.67074211480695567,26.644059818567463083,0,0,0,0,0,0,0
21,198.4360437540369162,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,42.293262143570750311,12,0,0,0,0,0,0,196.43323849260607972,26.644059818567463083,0,0,0,0,0,0,0
22,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,42.293262143570757416,12,0,0,0,0,0,0,182.27222086324493944,26.644059818567463083,0,0,0,0,0,0,0
23,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,27.236036685581098027,12,0,0,0,0,0,0,175.74392451024456818,26.644059818567463083,0,0,0,0,0,0,0
24,150.83237583541026083,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,171.79163465072750228,26.019589666569782338,0,0,0,0,0,0,0
25,95.466868640048232919,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,165.86689359029256252,26.019589666569782338,0,0,0,0,0,0,0
26,54.377305121582807601,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,160.88405338422856516,26.019589666569782338,0,0,0,0,0,0,0
27,31.087066488632860484,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,0,0,0,0,0,165.54110670654546311,26.019589666569782338,0,0,0,0,0,0,0
