Timestep,Dakar,Diourbel,Thies,LS,FKK,ZS,MTKK
0,567.36621033049812013,97.218633316928347199,230.50283611679518003,77.700769998026260055,104.54821927641282286,59.1480199705324452,82.640916782764293202
1,531.58115942460710812,91.790853823356655994,222.13757905268843729,74.355167223564549772,99.332001284108656591,56.553387557735320001,81.55234268683325638
2,517.72888165458471121,86.370966093184350143,207.46010042976743648,71.089312074827802235,94.040511780296341726,54.124714472433801404,80.191625066919456799
3,506.18531684623280853,84.178809593357343033,205.30355052925011705,67.823456926091054697,90.423569019515710465,51.638215837482249526,75.202327127235548687
4,486.56125667203451712,81.635908053557997732,198.40259084759466646,67.063955728710425319,87.490912726990870851,51.059960340981888294,77.65161884308037088
5,492.33303907621046847,80.057555373682546929,195.38342098687041926,68.05130728530524209,85.144787692971007687,51.811692486432356475,72.571606395402227463
6,531.58115942460710812,79.619124073717145507,197.75562587743948484,70.026010398494918263,85.047032483220178278,53.315156777333299942,72.299462871419464705
7,547.16497191588223359,78.303830173820941241,201.20610571826719593,70.557661236661346038,84.167235595462742026,53.719935624883547121,77.288760811103372816
8,550.05086311797015242,68.570655314589004092,208.32272038997439267,70.329810877447158646,80.550292834682096554,53.546458975933440172,76.7444737631378473
9,569.09774505175084869,69.272145394533637841,207.89141040987092879,69.570309680066529268,84.851522063718519462,52.96820347943307894,80.917341130873481347
10,565.05749736882762591,69.710576694499039263,206.16617048945707324,70.253860757709105656,84.656011644216874856,54.413842220683982021,78.468049415028659155
11,546.01061543504692963,70.149007994464454896,204.44093056904318928,73.443765786707785992,83.482949127206936168,57.247294153535747796,86.723069642505663523
12,549.47368487755261413,72.516537014277631101,205.95051549940532709,76.525062144481026394,84.167235595462742026,59.655728296459756166,83.094489322735554993
13,568.5205668113333104,72.604223274270694333,205.30355052925011705,79.695220142347821479,85.242542902721851306,62.083823126264768177,82.550202274770029476
14,551.78239783922299466,66.992302634713553289,198.83390082769813034,78.891667875519104314,79.083964688419683853,62.623335504499607396,82.822345798752792234
15,599.4630922801206907,75.497869854042363613,208.53837538002613883,79.846360880626576773,83.287438707705277352,62.639526658401621262,79.556623510959695977
16,611.41068185676499525,78.303830173820941241,217.22495837930995322,79.775727269270177544,86.220095000230116966,62.550475311940566314,85.180923006603364911
17,602.81072607454268564,78.917633993772511758,215.75419134715713199,83.911970790205131721,91.205610697522345731,65.291984620848779741,89.0816468503562362
18,596.06928422646524268,76.374732453973166457,215.00802508157812554,82.734743934265139842,94.138266990047171134,64.240716128211118985,86.632355134511414008
19,631.07514450779251547,91.373467225789596569,248.43670508949730902,86.580098496603312697,109.60411872472563743,66.556629391695068421,92.924313408992787799
20,619.41614405135703691,94.228531851164305522,251.97560347624627752,86.544401940326423528,108.8025260047688505,66.808170532672718878,95.777284685412027443
21,613.40194678620559898,101.51876750698902185,254.86106724313845007,86.41072972958743037,113.40581883193532065,65.978373895194707188,93.907658675650480973
22,600.90026609876053953,104.21336627657638019,252.0575523724659206,86.705416194171107236,114.35013415812832704,66.002660626047727987,96.473064961727956756
23,601.2292576957985375,102.27725365592915807,243.81090555288761834,83.559562234620514687,111.18677557059153571,63.608104615039728458,94.123559204676809031
24,567.36621033049812013,97.218633316928347199,230.50283611679518003,77.700769998026260055,104.54821927641282286,59.1480199705324452,82.640916782764293202
25,531.58115942460710812,91.790853823356655994,222.13757905268843729,74.355167223564549772,99.332001284108656591,56.553387557735320001,81.55234268683325638
26,517.72888165458471121,86.370966093184350143,207.46010042976743648,71.089312074827802235,94.040511780296341726,54.124714472433801404,80.191625066919456799
27,506.18531684623280853,84.178809593357343033,205.30355052925011705,67.823456926091054697,90.423569019515710465,51.638215837482249526,75.202327127235548687
28,486.56125667203451712,81.635908053557997732,198.40259084759466646,67.063955728710425319,87.490912726990870851,51.059960340981888294,77.65161884308037088
29,492.33303907621046847,80.057555373682546929,195.38342098687041926,68.05130728530524209,85.144787692971007687,51.811692486432356475,72.571606395402227463
30,531.58115942460710812,79.619124073717145507,197.75562587743948484,70.026010398494918263,85.047032483220178278,53.315156777333299942,72.299462871419464705
31,547.16497191588223359,78.303830173820941241,201.20610571826719593,70.557661236661346038,84.167235595462742026,53.719935624883547121,77.288760811103372816
32,550.05086311797015242,68.570655314589004092,208.32272038997439267,70.329810877447158646,80.550292834682096554,53.546458975933440172,76.7444737631378473
33,569.09774505175084869,69.272145394533637841,207.89141040987092879,69.570309680066529268,84.851522063718519462,52.96820347943307894,80.917341130873481347
34,565.05749736882762591,69.710576694499039263,206.16617048945707324,70.253860757709105656,84.851522063718519462,54.413842220683982021,78.468049415028659155
35,546.01061543504692963,70.412066774443687223,204.00962058893972539,73.443765786707785992,83.97172517596108321,57.247294153535747796,86.723069642505663523
36,546.58779367546458161,71.990419454319138026,205.0878955391983709,76.337465348728017034,83.873969966210253801,59.655728296459756166,83.094489322735554993
37,566.21185384966292986,71.727360674339891489,204.00962058893972539,79.496230828634097065,84.362746014964386632,62.083823126264768177,82.550202274770029476
38,559.28571496465167456,71.113556854388335182,203.57831060883626151,80.47370886966297121,83.189683497954447944,62.623335504499607396,82.822345798752792234
39,600.91180966356887438,76.813163753938567879,209.83230532033650206,80.443328821767750014,84.558256434466045448,62.639526658401621262,79.556623510959695977
40,612.29953634700802922,79.619124073717145507,218.44987872280378838,80.393201742740629356,87.58866793674170026,62.550475311940566314,85.180923006603364911
41,600.31731607593872013,78.742261473786342663,215.22368007162987169,83.969692881206057677,91.107855487771516323,65.291984620848779741,89.0816468503562362
42,594.77063318552552573,76.813163753938567879,215.43933506168158942,82.953480279110763718,94.138266990047171134,64.240716128211118985,86.632355134511414008
43,623.08122587800880865,90.223900357280314211,246.93574635873724787,86.44566678466694043,108.24825396548165202,66.556629391695068421,92.924313408992787799
44,619.41614405135703691,94.228531851164305522,251.97560347624627752,86.64009909119637598,108.8025260047688505,66.808170532672718878,95.777284685412027443
45,613.40194678620559898,101.51876750698902185,254.86106724313845007,86.41072972958743037,113.40581883193532065,65.978373895194707188,93.907658675650480973
46,600.90026609876053953,104.21336627657638019,252.0575523724659206,86.705416194171107236,114.35013415812832704,66.002660626047727987,96.473064961727956756
47,601.2292576957985375,102.27725365592915807,243.81090555288761834,83.559562234620514687,111.18677557059153571,63.608104615039728458,94.123559204676809031
48,567.36621033049812013,97.218633316928347199,230.50283611679518003,77.700769998026260055,104.54821927641282286,59.1480199705324452,82.640916782764293202
49,531.58115942460710812,91.790853823356655994,222.13757905268843729,74.355167223564549772,99.332001284108656591,56.553387557735320001,81.55234268683325638
50,517.72888165458471121,86.370966093184350143,207.46010042976743648,71.089312074827802235,94.040511780296341726,54.124714472433801404,80.191625066919456799
51,506.18531684623280853,84.178809593357343033,205.30355052925011705,67.823456926091054697,90.423569019515710465,51.638215837482249526,75.202327127235548687
52,486.56125667203451712,81.635908053557997732,198.40259084759466646,67.063955728710425319,87.490912726990870851,51.059960340981888294,77.65161884308037088
53,492.33303907621046847,80.057555373682546929,195.38342098687041926,68.05130728530524209,85.144787692971007687,51.811692486432356475,72.571606395402227463
54,531.58115942460710812,79.619124073717145507,197.75562587743948484,70.026010398494918263,85.047032483220178278,53.315156777333299942,72.299462871419464705
55,547.16497191588223359,78.303830173820941241,201.20610571826719593,70.557661236661346038,84.167235595462742026,53.719935624883547121,77.288760811103372816
56,550.05086311797015242,68.570655314589004092,208.32272038997439267,70.329810877447158646,80.550292834682096554,53.546458975933440172,76.7444737631378473
57,569.09774505175084869,69.272145394533637841,207.89141040987092879,69.570309680066529268,84.851522063718519462,52.96820347943307894,80.917341130873481347
58,565.05749736882762591,69.710576694499039263,206.16617048945707324,70.557661236661346038,84.753766853967704265,54.413842220683982021,78.468049415028659155
59,546.01061543504692963,71.464301894360659162,205.51920551930186321,73.899466505136160777,84.94927727346934887,57.247294153535747796,86.723069642505663523
60,548.31932839671742386,72.428850754284539448,205.73486050935360936,76.632151813311708111,84.167235595462742026,59.655728296459756166,83.094489322735554993
61,567.36621033049812013,72.165791974305292911,204.65658555909493543,79.701296151926868561,84.656011644216874856,62.083823126264768177,82.550202274770029476
62,558.13135848381659798,70.236694254457532338,202.71569064862930531,80.297504591870676904,82.114376190695338664,62.623335504499607396,82.822345798752792234
63,601.70254385294094845,76.637791233952412995,209.83230532033650206,80.421303287043713226,84.264990805213557223,62.639526658401621262,79.556623510959695977
64,614.29080127644874665,79.794496593703314602,218.89844110211137718,80.429657800214897634,87.58866793674170026,62.550475311940566314,85.180923006603364911
65,602.07193792680823208,78.829947733779434316,215.65499005173333558,84.075263547641966966,90.71683464876819869,65.291984620848779741,89.0816468503562362
66,593.11413163552708738,75.936301154007765035,214.14540512137119777,82.859302130635569483,93.062959682788061855,64.240716128211118985,86.632355134511414008
67,627.23113742661132619,90.619365389849107828,247.32823844063139518,86.815543867791305388,108.1016211508554079,66.556629391695068421,92.924313408992787799
68,619.41614405135703691,94.228531851164305522,251.97560347624627752,86.450223791851229294,108.8025260047688505,66.808170532672718878,95.777284685412027443
69,613.40194678620559898,101.51876750698902185,254.86106724313845007,86.41072972958743037,113.40581883193532065,65.978373895194707188,93.907658675650480973
70,600.90026609876053953,104.21336627657638019,252.0575523724659206,86.705416194171107236,114.35013415812832704,66.002660626047727987,96.473064961727956756
71,601.2292576957985375,102.27725365592915807,243.81090555288761834,83.559562234620514687,111.18677557059153571,63.608104615039728458,94.123559204676809031
72,567.36621033049812013,97.218633316928347199,230.50283611679518003,77.700769998026260055,104.54821927641282286,59.1480199705324452,82.640916782764293202
73,531.58115942460710812,91.790853823356655994,222.13757905268843729,74.355167223564549772,99.332001284108656591,56.553387557735320001,81.55234268683325638
74,517.72888165458471121,86.370966093184350143,207.46010042976743648,71.089312074827802235,94.040511780296341726,54.124714472433801404,80.191625066919456799
75,506.18531684623280853,84.178809593357343033,205.30355052925011705,67.823456926091054697,90.423569019515710465,51.638215837482249526,75.202327127235548687
76,486.56125667203451712,81.635908053557997732,198.40259084759466646,67.063955728710425319,87.490912726990870851,51.059960340981888294,77.65161884308037088
77,492.33303907621046847,80.057555373682546929,195.38342098687041926,68.05130728530524209,85.144787692971007687,51.811692486432356475,72.571606395402227463
78,531.58115942460710812,79.619124073717145507,197.75562587743948484,70.026010398494918263,85.047032483220178278,53.315156777333299942,72.299462871419464705
79,547.16497191588223359,78.303830173820941241,201.20610571826719593,70.557661236661346038,84.167235595462742026,53.719935624883547121,77.288760811103372816
80,550.05086311797015242,68.570655314589004092,208.32272038997439267,70.329810877447158646,80.550292834682096554,53.546458975933440172,76.7444737631378473
81,569.09774505175084869,69.272145394533637841,207.89141040987092879,69.570309680066529268,84.851522063718519462,52.96820347943307894,80.917341130873481347
82,565.05749736882762591,69.710576694499039263,206.16617048945707324,70.253860757709105656,84.656011644216874856,54.413842220683982021,78.468049415028659155
83,546.01061543504692963,69.535204174512884379,203.79396559888800766,73.215915427493584389,82.89641786870197393,57.247294153535747796,86.723069642505663523
84,545.43343719462939134,71.639674414346814046,204.44093056904318928,76.269110240963769343,83.38519391745610676,59.655728296459756166,83.094489322735554993
85,565.63467560924527788,72.165791974305292911,204.44093056904318928,79.45066075679125106,84.851522063718519462,62.083823126264768177,82.550202274770029476
86,556.39982376256375574,70.149007994464454896,202.500035658577616,79.951172045865092741,82.309886610197011692,62.623335504499607396,82.822345798752792234
87,599.30725415520794286,76.199359933987011573,208.96968536012960271,79.948893542272955415,83.97172517596108321,62.639526658401621262,79.556623510959695977
88,611.97054474997003126,79.268379033744835738,218.0983610890194484,79.916994491982976001,87.295402307489226246,62.550475311940566314,85.180923006603364911
89,600.75019975625195912,78.479202693807096125,215.00802508157812554,83.517030167567199328,91.010100278020672704,65.291984620848779741,89.0816468503562362
90,590.74770084981491891,74.971752294083884749,212.85147518106080611,82.241068155967724351,92.867449263286417249,64.240716128211118985,86.632355134511414008
91,626.67127453340617649,90.057296463293454281,246.3232861869903445,86.06971369196352839,108.46038277064094757,66.556629391695068421,92.924313408992787799
92,619.41614405135703691,94.228531851164305522,251.97560347624627752,86.312754075125326381,108.8025260047688505,66.808170532672718878,95.777284685412027443
93,613.40194678620559898,101.51876750698902185,254.86106724313845007,86.41072972958743037,113.40581883193532065,65.978373895194707188,93.907658675650480973
94,600.90026609876053953,104.21336627657638019,252.0575523724659206,86.705416194171107236,114.35013415812832704,66.002660626047727987,96.473064961727956756
95,601.2292576957985375,102.27725365592915807,243.81090555288761834,83.559562234620514687,111.18677557059153571,63.608104615039728458,94.123559204676809031
96,567.36621033049812013,97.218633316928347199,230.50283611679518003,77.700769998026260055,104.54821927641282286,59.1480199705324452,82.640916782764293202
97,531.58115942460710812,91.790853823356655994,222.13757905268843729,74.355167223564549772,99.332001284108656591,56.553387557735320001,81.55234268683325638
98,517.72888165458471121,86.370966093184350143,207.46010042976743648,71.089312074827802235,94.040511780296341726,54.124714472433801404,80.191625066919456799
99,506.18531684623280853,84.178809593357343033,205.30355052925011705,67.823456926091054697,90.423569019515710465,51.638215837482249526,75.202327127235548687
100,486.56125667203451712,81.635908053557997732,198.40259084759466646,67.063955728710425319,87.490912726990870851,51.059960340981888294,77.65161884308037088
101,492.33303907621046847,80.057555373682546929,195.38342098687041926,68.05130728530524209,85.144787692971007687,51.811692486432356475,72.571606395402227463
102,531.58115942460710812,79.619124073717145507,197.75562587743948484,70.026010398494918263,85.047032483220178278,53.315156777333299942,72.299462871419464705
103,547.16497191588223359,78.303830173820941241,201.20610571826719593,70.557661236661346038,84.167235595462742026,53.719935624883547121,77.288760811103372816
104,550.05086311797015242,68.570655314589004092,208.32272038997439267,70.329810877447158646,80.550292834682096554,53.546458975933440172,76.7444737631378473
105,569.09774505175084869,69.272145394533637841,207.89141040987092879,69.570309680066529268,84.851522063718519462,52.96820347943307894,80.917341130873481347
106,565.05749736882762591,69.710576694499039263,206.16617048945707324,70.253860757709105656,85.535808531974325319,54.413842220683982021,78.468049415028659155
107,546.01061543504692963,70.236694254457532338,203.79396559888800766,73.519715906445838982,83.678459546708594985,57.247294153535747796,86.723069642505663523
108,545.43343719462939134,71.990419454319138026,204.44093056904318928,76.44455501755868454,83.776214756459424393,59.655728296459756166,83.094489322735554993
109,562.74878440715735906,71.727360674339891489,203.36265561878454378,79.505344843002660582,84.264990805213557223,62.083823126264768177,82.550202274770029476
110,554.66828904131102718,70.67512555442293376,202.28438066852586985,80.445607325359887341,82.505397029698670508,62.623335504499607396,82.822345798752792234
111,597.85853677175975918,76.725477493945490437,209.18534035018132045,80.423581790635864763,84.362746014964386632,62.639526658401621262,79.556623510959695977
