Timestep,Dakar>Thies,Diourbel>Thies,FKK>MTKK,FKK>Thies,FKK>ZS,LS>Thies,MTKK>ZS
0,132.64980529093554651,-97.883295167675896664,-109.72240252852412823,0,0,-79.556990924424553668,48.407460441910245663
1,155.73693490763980662,-93.349915526033669266,-86.595556968714504364,-17.46779646733421032,0,-75.969107267998424504,45.709898550736056677
2,178.82406452434315725,-89.451384406741226485,-34.010605697783148571,-65.5081080369495794,0,-72.608314469589117834,43.165574366134478623
3,194.98505525603559363,-86.897083653142772164,0,-98.712736929207494541,2.6193657441436357658,-70.329810877447130224,38.753616582839697458
4,209.41451126647552883,-84.441868373336546938,0,-117.26924724906029951,23.717511517517891662,-69.114608961638168694,16.730262015064795378
5,208.8373330260583316,-82.337398133502688324,0,-110.89324568780648406,20.176411039038384843,-69.038658841900087282,20.271362493544302197
6,181.13277748601376516,-81.372849273578822249,-11.942266670369690473,-77.894771090640915645,0,-70.55766123666137446,41.604284525583466348
7,197.29376821770620154,-79.531437813724096486,0,-92.269625206975888432,5.1697333189882215265,-70.709561476137423597,36.550202305895311383
8,189.79045109227718058,-71.376615634367567509,-0.38571843957834062167,-81.630902541366140213,0,-71.393112553780042617,42.240365571733889283
9,137.72302846878483251,-64.664252989603937749,-20.078447505535621076,-51.267698603466669738,0,-68.905842124584296471,45.015991954935600461
10,154.27736969447869342,-58.744544242485517316,2.0469621172572942669,-120.34488287377098459,58.739193334506694555,-60.512908659803542832,0
11,95.97173463020408235,-51.198993616745156032,36.850240969640140065,-136.52543313781870893,53.315156777333299942,-42.979098509339792145,0
12,49.741767779559268092,-50.735775429497039113,21.519489118611431877,-118.35578722198306423,63.726068736325828468,-52.052606485576461637,0
13,3.1510661030797564308,-49.363656221709675265,21.428774610617210783,-114.81284015931123577,62.193691670599832833,-45.038075406862503769,0
14,0.63616606412870169152,-45.398773448887254744,35.308094333737926718,-123.36655414329925406,61.29681739552779618,-43.571080847429357163,0
15,21.595696834607224446,-50.32494847016971562,32.858802617893047682,-119.10611775988172667,59.177511000853996848,-43.217251950887202838,0
16,67.358964868054499675,-57.049994158486470042,28.867364266145955298,-128.89559792253749038,59.338844284377501026,-48.385795576252462524,0
17,157.16421392628672038,-62.710165325706043404,40.408971118254726207,-161.07648424960007105,63.477418872830639884,-64.449319254100146281,0
18,160.5391431040061434,-66.954275950828559871,0,-97.310346914612637192,23.971297460539517488,-73.652556205235896414,28.12427653805002592
19,96.793148153442416515,-82.771426271332188662,-99.458643640591503754,0,0,-82.719914856370337475,54.084772906550767857
20,132.61310981299720879,-92.563369773895715298,-85.522588623386923246,-22.719800029509769956,0,-86.518578899615476985,54.767114392421206048
21,129.89222998694185662,-100.0324854001063386,-112.37059116067405284,0,0,-88.654296266649794234,55.482416441592135925
22,139.54276604692404362,-103.76441262541175092,-112.5526869173020259,-2.8277871516002051067,0,-86.861873440831573134,53.953508908845151382
23,140.57949667028151453,-103.22689585165426251,-113.01970254360537638,-1.5709094305098005862,0,-86.6044025349194726,53.758636806524577878
24,128.60955760801243741,-99.046014975184107243,-110.92576916055679703,0,0,-81.013714221000554971,49.513663206715420984
25,160.93153907139731018,-92.255591001319999123,-103.04083394205508739,0,0,-77.072662507792529141,46.520612756829564205
26,181.13277748601376516,-89.276011886755100022,-100.1531450460155952,0,0,-72.912114948541329795,43.339051015084578466
27,208.8373330260583316,-86.458652353177399164,-78.810840625848300078,-19.879886482294750749,0,-69.874110159018755439,41.026029029083133537
28,223.2667890364982668,-83.389633253419560788,-49.841798238339549698,-43.709937493202687619,0,-68.127257405043337712,39.696041387132311229
29,234.23317560443229013,-80.846731713620329174,-27.174222555285837188,-64.715674610492442298,0,-67.443706327400718692,39.233436989931988137
30,229.03857144067387708,-80.934417973613335562,-23.081941022130081365,-65.386523802369083569,0,-68.431057883995549673,39.985169135382477634
31,235.38753208526759408,-78.128457653834743724,0,-89.2596960828450392,6.6565438433957524467,-67.747506806352930653,32.750369795486335533
32,259.05183994238905143,-70.061321734471334821,12.079738958690427353,-141.59306518848370615,51.40691363888208798,-67.671556686614962928,0
33,209.68467949004934781,-64.977538392719907279,15.537464229158899798,-137.71785238398115325,47.648252911629697337,-57.624068756455017137,0
34,173.21919209795578354,-64.332141386665853133,38.14079818608684036,-151.07047014599038448,52.910377929783066975,-57.607414879447674139,0
35,90.977820552619050432,-57.991012985063434826,22.613195852710532563,-125.06610069630505677,53.315156777333299942,-48.272953320986857761,0
36,53.337086392240962596,-56.009524037294909249,27.148921252423178885,-117.67088843187457314,54.818621068234278937,-43.815693985054053883,0
37,0,-53.823144272916692898,11.546025877411750571,-100.10959329820116182,56.206434259835077683,-41.002061725553744509,0
38,0,-47.92806056812753468,32.863935256061154178,-111.23427873411355904,56.206434259835077683,-38.258889126889584986,0
39,6.0134799699853829225,-55.709731813958683233,21.796765280762315342,-101.34031756385093104,55.975132061234944558,-41.293659035170094285,0
40,55.493802911164493707,-58.248612375179504852,19.710331596894548056,-108.99064158624605625,57.864871023798173155,-51.076112077928769395,0
41,174.97198031870084378,-66.432152705092221368,12.399669457080108259,-133.56387365527962174,62.442341534095021416,-67.170800947279076354,0
42,166.53530013714043889,-69.991462724944085494,-8.1127265197706606159,-66.591527827555182739,0,-71.391880401273056123,47.333639984909041232
43,112.60529577292345493,-90.861641197678977733,-103.98283199461701543,0,0,-84.441601119705751444,52.371980125916707038
44,138.86584339475029992,-95.350039116475841183,-102.49796826489506429,-6.2097351864154006762,0,-87.095799809624736554,53.750541229573570945
45,137.75353220056331338,-99.677356047134367145,-108.28784747344900552,-0.99465661119620563113,0,-87.73302131422713046,54.051234087753755375
46,148.76230470548398443,-102.54294302370817604,-104.19188304422169722,-4.637036867179631372,0,-86.637061086406902177,53.782923537377598677
47,136.11770725373389723,-102.43596578651659001,-107.98724755544697018,0,0,-83.841337178848789335,51.66014760972473141
48,125.72366640592463227,-97.638650502295149636,-104.82779917630017508,0,0,-77.907354323713775557,47.154959036490424751
49,160.93153907139731018,-92.187195718525345001,-99.596917902533391498,0,0,-74.507067463040698385,44.611213107385367493
50,175.36099508183724538,-86.721711133156645701,-90.081202340327422462,-4.2525750692211659043,0,-71.317162434041961205,42.124714472433822721
51,186.32738164977217821,-84.529554633329667013,-62.692103650119520353,-27.926975788897834718,0,-67.975357165567174889,39.638215837482221104
52,206.52862006438772369,-81.986653093530321712,-19.156261726429875125,-68.530161420062540856,0,-67.291806087924669555,39.059960340981888294
53,200.75683766021211341,-80.408300413654842487,-4.0490835962738174203,-81.291214516199033824,0,-68.279157644519500536,39.811692486432377791
54,161.50871731181541691,-79.969869113689469486,-32.063426644906769525,-53.179116257815167046,0,-70.253860757709162499,41.315156777333299942
55,145.92490482054017775,-78.654575213793236799,-32.843526566768446173,-51.519219448196054145,0,-70.785511595875505009,41.71993562488353291
56,143.03901361845237261,-68.921400354561342283,-16.657856193402778899,-64.185702270531692193,0,-70.55766123666137446,41.546458975933433067
57,127.04691474527317041,-66.691670268775737895,0,-88.573282262092561723,10.061238399804096844,-64.284814546454299489,30.906965079628946569
58,135.90011133986536151,-66.866781542163835184,7.8731782348081083001,-137.20944781174466698,54.413842220683932283,-57.145692759820803985,0
59,96.882504759966650454,-61.320500434086170571,34.267576874700921508,-151.15027816364545288,57.247294153535790429,-50.665251524446716758,0
60,52.805058901067241095,-58.6706045454498053,30.638996554930827187,-144.27707864320063891,59.662667362417778349,-46.904676832934001141,0
61,49.381648680327089096,-54.896665703891017074,30.18542401495960803,-140.34598826238516267,62.090762192222769045,-48.051049461338379842,0
62,46.48250240413017309,-53.68690954825103745,30.366853030948050218,-132.27318980822337835,62.630852825954093532,-49.591797772699237612,0
63,101.19786277066759794,-62.087378181432086421,0,-113.86380415864459792,60.49037497695383081,-52.062667355720918749,0
64,84.624945279196253978,-69.193350045075476373,-48.048126185464298032,-15.745582815082798334,0,-58.436595897141387468,50.557992633395087978
65,92.801852933384907374,-72.529799561474078473,-73.389920048889166537,0,0,-69.991588012864440316,53.299501942303265878
66,96.735192553734123067,-74.401138773505635982,-87.408715254614776313,0,0,-78.322098675204301799,52.248233449665633543
67,140.45874695405655075,-92.583372350267609363,-104.95919722952635311,-5.9464466695599185186,0,-86.743577733444226396,54.564724968646032721
68,155.86159287944064999,-98.563740545222231049,-101.85526306762585591,-12.760765261024516803,0,-88.657334271439367512,54.815687854127190803
69,152.76207330748729873,-104.90433400532185715,-104.55410745936893591,-12.999464922294009739,0,-88.279102675143803935,53.98646947214569991
70,156.18932288245014206,-106.63175332718560639,-101.96441444243851038,-15.22746366314640909,0,-87.737578321411433535,54.01075620299872071
71,125.89445263933521346,-104.81401715752895143,-106.7090544659941429,-7.3702977611242204148,0,-84.468685167885155352,51.6156219364942217
72,125.72366640592463227,-99.689632123533328922,-107.31664681655627192,0,0,-78.375966562497637824,47.154959036490424751
73,160.93153907139731018,-94.243438515363095576,-44.762071572863646907,-57.287524542317896703,0,-74.96276818146907317,44.611213107385367493
74,175.36099508183724538,-87.247828693115138776,0,-135.43448552680638386,40.51417685875242114,-71.317162434041961205,1.6105376136814015808
75,181.50882613656813191,-84.529554633329667013,24.412088098091317079,-166.76713858434186477,51.638215837482221104,-67.975357165567174889,0
76,167.07787779111822601,-81.986653093530321712,26.861379813936082428,-165.60776330141061408,51.059960340981888294,-67.291806087924669555,0
77,188.09395966670399503,-80.408300413654842487,21.781367366257995855,-158.93335796516294067,51.811692486432320948,-68.279157644519500536,0
78,161.50871731181541691,-79.969869113689469486,13.687962830301216854,-152.24566251035639652,53.315156777333299942,-70.253860757709162499,0
79,145.92490482054017775,-78.654575213793236799,5.8403359780884329666,-143.92301761793623882,53.71993562488353291,-70.785511595875505009,0
80,143.03901361845237261,-68.921400354561342283,0,-133.54063247449039409,52.697074010555979839,-70.55766123666137446,0
81,126.77293700689824618,-65.785790669818879906,6.118472827250343471,-131.85480911794229542,52.968203479433100256,-65.675776153523429457,0
82,137.33364258260917268,-62.824229042880233465,14.029064463792451534,-125.38710232175435522,54.413842220683932283,-59.226934949906421934,0
83,84.469171598001594248,-57.042050995334307117,35.932830613361375072,-133.04113582567697449,57.247294153535790429,-53.55512050434322191,0
84,21.115287479682592675,-51.92705817013700198,32.304250293591280752,-121.8759265848270843,59.662667362417778349,-53.068853080285407486,0
85,-4.1673790982267746585,-50.203692320960044526,31.850677753620061594,-119.36079509722048897,62.090762192222769045,-52.416505119787984768,0
86,35.088723326499348332,-49.495643552795513642,32.032106769608617469,-115.35293300618377543,62.630852825954093532,-51.238717367011759052,0
87,52.87490051095301169,-53.951398268454681784,28.766384481815521212,-117.13703805776549416,62.647043979856107399,-59.362555303440331045,0
88,101.99616632660763571,-59.679107768041717463,2.0344892911285796799,-108.57329612922740125,62.557992633395087978,-65.248927546942240951,0
89,104.19227091219363501,-65.407434033427762188,-9.9171019560353670386,-49.082131893967016367,0,-74.177626383514734698,53.299501942303265878
90,104.32647050803734601,-72.005977229598670419,-81.105453480453093107,0,0,-76.505916877902109263,52.248233449665633543
91,85.122430184828772326,-91.236615403250880263,-103.29394349086589955,-6.6746385652554636181,0,-84.055865674211304395,54.564724968646032721
92,106.89296156751970557,-99.563363909143276942,-100.19000932896540235,-16.193433191980147967,0,-87.138331876678080334,54.815687854127190803
93,107.4741328966410947,-102.99101981227283886,-102.88885372070848234,-14.716528922122506629,0,-86.64085859239378351,53.98646947214569991
94,126.94614131964772241,-104.66319679034086221,-100.29916070377805681,-15.307127899648548919,0,-86.936304558174811064,54.01075620299872071
95,115.77748156900997856,-102.71919240629426895,-105.04380072733368934,-7.2994189746100346383,0,-83.782096085453076739,51.6156219364942217
96,125.72366640592463227,-97.638650502295149636,-105.00473610594917773,0,0,-77.907354323713775557,47.154959036490424751
97,160.93153907139731018,-92.187195718525345001,-73.962128090873648034,-25.634789811659629777,0,-74.507067463040698385,44.611213107385367493
98,175.36099508183724538,-86.721711133156645701,-18.922993716353403215,-75.410783693195298838,0,-71.317162434041961205,42.124714472433822721
99,186.32738164977217821,-84.529554633329667013,0,-104.05251095780477044,13.433431518787642744,-67.975357165567174889,26.204784318694635203
100,206.52862006438772369,-81.986653093530321712,0,-100.14626405889475791,12.459840912402114554,-67.291806087924669555,26.600119428579773739
101,200.75683766021211341,-80.408300413654842487,0,-93.332770536783755233,7.992472424310903989,-68.279157644519500536,31.819220062121473802
102,161.50871731181541691,-79.969869113689469486,-37.140826309291981033,-48.101716593429955537,0,-70.253860757709162499,41.315156777333299942
103,145.92490482054017775,-78.654575213793236799,-46.762235584181610193,-37.600510430782833282,0,-70.785511595875505009,41.71993562488353291
104,143.03901361845237261,-68.921400354561342283,-33.236788721866673768,-47.606769742068081541,0,-70.55766123666137446,41.546458975933433067
105,126.38655814508820185,-66.802143390599781014,-19.626538737997748285,-52.935226011547456437,0,-66.560933539840107187,40.968203479433100256
106,132.79537697318664868,-65.568748113628544161,0,-59.689329069968607655,5.5210942824356834535,-59.678259841048657108,36.892747938248305672
107,140.61756022851841408,-61.688754771298818014,37.528698779577780442,-138.72002961997077364,57.247294153535790429,-50.726410399785436312,0
108,97.469635584232491965,-58.372116160440896238,33.900118459807572435,-127.2409412626689118,59.662667362417778349,-46.294104714586637783,0
109,63.363357956270192517,-52.031032008851184401,33.446545919836353278,-135.50580837412553592,62.090762192222769045,-45.251961496744797842,0
110,33.145858421133198135,-45.997488050402921544,33.627974935824795466,-127.2502532201970098,62.630852825954093532,-41.596138152345474737,0
111,87.027479742032483045,-57.291278661989167631,30.362252648031699209,-132.28440020259677112,62.647043979856107399,-45.891882649410604245,0
112,110.07292320423221099,-61.372541003923856806,10.394533662784283479,-119.49283496467796795,62.557992633395087978,-50.069797647625819081,0
113,112.68841593155411829,-67.26288027101395528,-10.225122037387677665,-64.177778093790948333,0,-62.490376606008794624,53.299501942303265878
114,119.85619186919029744,-64.469305057778456103,-36.87546041957136822,-45.768571912466541107,0,-70.291561412776559337,52.248233449665633543
115,74.616212212138634641,-84.474289585142059877,-101.69807532464960786,-2.7789812171063204005,0,-82.219331715168664232,54.564724968646032721
116,83.544202147381838586,-94.635396097532179738,-98.594141162749110663,-10.609181201998126198,0,-86.542882937931608467,54.815687854127190803
117,91.760552006247962709,-101.95719880695446591,-101.29298555449219066,-12.415874427670587465,0,-86.64085859239378351,53.98646947214569991
118,92.079946771982577047,-104.66319679034086221,-98.70329253756176513,-15.951837874988996191,0,-86.936304558174811064,54.01075620299872071
119,91.750955174944465398,-102.71919240629426895,-103.44793256111739765,-8.0350412950192549033,0,-83.782096085453076739,51.6156219364942217
120,125.72366640592463227,-97.638650502295149636,-104.82779917630017508,0,0,-77.907354323713775557,47.154959036490424751
121,160.93153907139731018,-92.187195718525345001,-84.606715863916861053,-14.990202038616644131,0,-74.507067463040698385,44.611213107385367493
122,175.36099508183724538,-86.721711133156645701,-44.385344106628963345,-49.948433302919966081,0,-71.317162434041961205,42.124714472433822721
123,186.32738164977217821,-84.529554633329667013,-11.73933053037933405,-78.879748908638248395,0,-67.975357165567174889,39.638215837482221104
124,206.52862006438772369,-81.986653093530321712,0,-124.78121918886017738,37.094796042367534028,-67.291806087924669555,1.9651642986143542657
125,200.75683766021211341,-80.408300413654842487,12.653461437116106936,-149.80545203602105175,51.811692486432320948,-68.279157644519500536,0
126,161.50871731181541691,-79.969869113689469486,0,-115.90158695546642775,30.659044052744775399,-70.253860757709162499,10.656112724588524543
127,145.92490482054017775,-78.654575213793236799,0,-87.636500052268729632,3.273754037304229314,-70.785511595875505009,38.446181587579360439
128,143.03901361845237261,-68.921400354561342283,-6.4254885589783725663,-74.418069904956155369,0,-70.55766123666137446,41.546458975933433067
129,126.49895926852332195,-67.177752004801391195,0,-91.497280377834613319,13.518354008306459946,-62.377511130700554531,27.44984947112664031
130,130.92673681907854188,-62.102248848287104011,30.800161145872834823,-150.15641297704314638,54.413842220683932283,-51.40224903074613394,0
131,54.707739455823684693,-53.789852912134620055,39.055181373349796559,-139.92918488901523233,57.247294153535790429,-43.95464026682475378,0
132,53.648555403067803127,-59.058026965687531629,35.426601053579702238,-136.07537452831002156,59.662667362417778349,-43.888725736252581555,0
133,26.165607009292216389,-58.177600130943119439,34.973028513608483081,-132.61222809772016262,62.090762192222769045,-44.930018472030724297,0
134,-26.00566662895562331,-48.858216070429989486,35.154457529596925269,-126.79377920368142441,62.630852825954093532,-42.324753462182684416,0
135,7.2612601800201446167,-52.433439688582211602,31.888735241803829012,-134.75227384513300422,62.647043979856107399,-43.581883817941161396,0
136,59.788321757107041776,-57.644267424251097509,37.513034737447469524,-152.40176297204334332,62.557992633395087978,-49.044591339430326116,0
137,126.45862134491744655,-62.945695236714300336,40.961163949742058321,-174.51095293411344755,65.299501942303322721,-60.311642843269055447,0
138,122.77138525620011933,-66.682615726264430123,0,-112.48084169017420209,29.931759082726557608,-70.455948952613084657,22.316474366939132778
139,74.981515863305503444,-86.728557256987983237,-100.17159273087747806,-7.0808752146867846022,0,-83.126844146657958845,54.564724968646032721
140,73.575612384194755577,-96.294420136601274862,-97.067658568977094546,-16.959883396973509662,0,-87.268966082627571268,54.815687854127190803
141,79.584037866941798711,-101.95719880695446591,-99.766502960720117699,-13.942357021442603582,0,-86.64085859239378351,53.98646947214569991
142,92.079946771982577047,-104.66319679034086221,-97.176809943789635327,-17.478320468761467055,0,-86.936304558174811064,54.01075620299872071
