Timestep,Hydro|Reservoir_MTKK_0,Electricity|Gas|Fossil|CCGT|w/o CCS_Dakar_0,Electricity|Gas|Fossil|CCGT|w/o CCS_Thies_0,Electricity|Gas|Fossil|OCGT|w/o CCS_Dakar_0,Electricity|Oil|w/o CCS_Dakar_0,Electricity|Oil|w/o CCS_Thies_0,Electricity|Oil|w/o CCS_ZS_0,Electricity|Oil|w/o CCS_MTKK_0,Solar|PV|Utility_Dakar_0,Solar|PV|Utility_Diourbel_0,Solar|PV|Utility_Thies_0,Solar|PV|Utility_LS_0,Solar|PV|Utility_FKK_0,Wind|Onshore_Thies_0,Hydro|Run of River_MTKK_0,SlackUnit_Dakar,SlackUnit_Diourbel,SlackUnit_Thies,SlackUnit_LS,SlackUnit_FKK,SlackUnit_ZS,SlackUnit_MTKK
0,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,247.1533066953840887,23.799251348355820568,1500000,1500000,1500000,1500000,1500000,1500000,1500000
1,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,241.24038556723934335,23.799251348355820568,1500000,1500000,1500000,1500000,1500000,1500000,1500000
2,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,236.05069654609772556,23.799251348355820568,1500000,1500000,1500000,1500000,1500000,1500000,1500000
3,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,230.579545387297145,23.799251348355820568,1500000,1500000,1500000,1500000,1500000,1500000,1500000
4,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,225.40315378998201368,23.799251348355820568,1500000,1500000,1500000,1500000,1500000,1500000,1500000
5,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,223.8842924906984706,23.799251348355820568,1500000,1500000,1500000,1500000,1500000,1500000,1500000
6,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,231.56133851314726257,23.799251348355820568,1500000,1500000,1500000,1500000,1500000,1500000,1500000
7,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,216.43847389367556389,23.799251348355820568,1500000,1500000,1500000,1500000,1500000,1500000,1500000
8,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,201.32299673188524025,23.799251348355820568,1500000,1500000,1500000,1500000,1500000,1500000,1500000
9,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,4.8472984481689360692,3.3289234042966571181,30.114511735576932949,7.9242661251209298712,9.2865627771137404523,178.98406344928039857,23.799251348355820568,1500000,1500000,1500000,1500000,1500000,1500000,1500000
