scenario,NaturalGaz,Hydro,Oil,Solar,WindPower,Non Served
0,7279.816874,1719.881354,1246.075113,1010.0167,736.879576,1.123869
1,7273.89479,1813.662469,1156.234807,1010.246024,738.057347,1.072353
2,7292.928991,1763.297769,1189.019177,1010.002605,735.770987,1.936264
3,7278.998322,1841.240587,1124.549161,1010.090784,737.537543,0.627537
4,7287.758464,1693.945979,1263.728477,1010.221927,737.051707,0.546237
5,7262.867026,1803.350287,1181.721578,1010.021981,734.591727,0.786905
6,7275.449327,1655.130212,1319.106114,1010.018863,733.588983,0.677465
7,7279.589825,1756.579794,1201.754329,1010.060359,735.824184,9.683163
8,7294.004608,1797.794794,1155.362201,1010.157242,735.150222,0.448681
9,7238.323906,1771.958814,1235.935544,1010.067827,735.849927,0.827263
10,7287.608293,1757.683889,1199.991475,1010.317912,736.764518,0.755949
11,7270.44252,1789.575222,1189.514141,1010.188048,733.172611,0.781159
12,7282.973552,1812.920427,1152.08447,1010.344977,734.076285,0.947093
13,7278.544295,1788.025443,1179.94484,1010.022033,736.550536,0.537545
14,7265.216504,1746.705088,1233.289537,1010.437813,737.11737,0.783443
15,7266.547799,1784.101315,1194.875693,1010.269626,737.053286,0.307727
