,Hydro,WindPower,Solar,NaturalGaz,Oil,Non Served
2030-01-01 00:00:00,194.2572674765222,0.0,0.0,0.0,0.0,0.0
2030-01-01 01:00:00,149.20467591541077,0.0,0.0,0.0,0.0,0.0
2030-01-01 02:00:00,108.73298224963138,0.0,0.0,0.0,0.0,0.0
2030-01-01 03:00:00,83.54413865144657,0.0,0.0,0.0,0.0,0.0
2030-01-01 04:00:00,66.09184072056964,0.0,0.0,0.0,0.0,0.0
2030-01-01 05:00:00,60.747057130191095,0.0,0.0,0.0,0.0,0.0
2030-01-01 06:00:00,84.78012502502781,0.0,0.0,0.0,0.0,0.0
2030-01-01 07:00:00,92.38314205745593,0.0,0.0,0.0,0.0,0.0
2030-01-01 08:00:00,91.74908610384307,0.0,0.0,0.0,0.0,0.0
2030-01-01 09:00:00,71.46210211216888,0.0,0.0,0.0,0.0,0.0
2030-01-01 10:00:00,47.21427265291411,0.0,0.0,0.0,0.0,0.0
2030-01-01 11:00:00,34.92696252909218,0.0,0.0,0.0,0.0,0.0
2030-01-01 12:00:00,34.92696252909218,0.0,0.0,0.0,0.0,0.0
2030-01-01 13:00:00,34.92696252909218,0.0,0.0,0.0,0.0,0.0
2030-01-01 14:00:00,34.92696252909218,0.0,0.0,0.0,0.0,0.0
2030-01-01 15:00:00,36.0380441950347,0.0,0.0,0.0,0.0,0.0
2030-01-01 16:00:00,52.1420984503631,0.0,0.0,0.0,0.0,0.0
2030-01-01 17:00:00,83.17972439245716,0.0,0.0,0.0,0.0,0.0
2030-01-01 18:00:00,142.5366792315593,0.0,0.0,0.0,0.0,0.0
2030-01-01 19:00:00,232.72830558586233,0.0,0.0,0.0,0.0,0.0
2030-01-01 20:00:00,234.90851898952897,0.0,0.0,0.0,0.0,0.0
2030-01-01 21:00:00,234.68660472974128,0.0,0.0,0.0,0.0,0.0
2030-01-01 22:00:00,232.46878376328812,0.0,0.0,0.0,0.0,0.0
2030-01-01 23:00:00,229.96242993906225,0.0,0.0,0.0,0.0,0.0
2030-01-02 00:00:00,192.15238138018623,0.0,0.0,0.0,0.0,0.0
2030-01-02 01:00:00,134.56887768083408,0.0,0.0,0.0,0.0,0.0
2030-01-02 02:00:00,96.03383749726612,0.0,0.0,0.0,0.0,0.0
2030-01-02 03:00:00,74.48531361585056,0.0,0.0,0.0,0.0,0.0
2030-01-02 04:00:00,60.95029419297224,0.0,0.0,0.0,0.0,0.0
2030-01-02 05:00:00,60.23814764517725,0.0,0.0,0.0,0.0,0.0
2030-01-02 06:00:00,83.64610041801376,0.0,0.0,0.0,0.0,0.0
2030-01-02 07:00:00,95.0421314168203,0.0,0.0,0.0,0.0,0.0
2030-01-02 08:00:00,87.87761453474046,0.0,0.0,0.0,0.0,0.0
2030-01-02 09:00:00,62.50242332201959,0.0,0.0,0.0,0.0,0.0
