,Hydro|Reservoir,Electricity|Gas|Fossil|CCGT|w/o CCS,Electricity|Gas|Fossil|OCGT|w/o CCS,Electricity|Oil|w/o CCS,Solar|PV|Utility,Wind|Onshore,Hydro|Run of River,SlackUnit
2030-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 09:00:00,0.0,0.0,0.0,0.0,5.891683487416644,0.0,0.0,0.0
2030-01-01 10:00:00,0.0,0.0,0.0,0.0,13.824367106625257,0.0,0.0,0.0
2030-01-01 11:00:00,0.0,0.0,0.0,0.0,21.071891821234647,0.0,0.0,0.0
2030-01-01 12:00:00,0.0,0.0,0.0,0.0,25.879304633182407,0.0,0.0,0.0
2030-01-01 13:00:00,0.0,0.0,0.0,0.0,28.276295193958738,0.0,0.0,0.0
2030-01-01 14:00:00,0.0,0.0,0.0,0.0,28.474603653726305,0.0,0.0,0.0
2030-01-01 15:00:00,0.0,0.0,0.0,0.0,26.60918673993337,0.0,0.0,0.0
2030-01-01 16:00:00,0.0,0.0,0.0,0.0,22.460548168655865,0.0,0.0,0.0
2030-01-01 17:00:00,0.0,0.0,0.0,0.0,16.316649941068274,0.0,0.0,0.0
2030-01-01 18:00:00,0.0,0.0,0.0,0.0,8.32995417138121,0.0,0.0,0.0
2030-01-01 19:00:00,0.0,0.0,0.0,0.0,1.4626641329498125,0.0,0.0,0.0
2030-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 09:00:00,0.0,0.0,0.0,0.0,6.257188414018105,0.0,0.0,0.0
2030-01-02 10:00:00,0.0,0.0,0.0,0.0,14.345243272978692,0.0,0.0,0.0
2030-01-02 11:00:00,0.0,0.0,0.0,0.0,21.217403334863832,0.0,0.0,0.0
2030-01-02 12:00:00,0.0,0.0,0.0,0.0,25.756058056647507,0.0,0.0,0.0
2030-01-02 13:00:00,0.0,0.0,0.0,0.0,28.37575782797428,0.0,0.0,0.0
2030-01-02 14:00:00,0.0,0.0,0.0,0.0,28.22287223346335,0.0,0.0,0.0
2030-01-02 15:00:00,0.0,0.0,0.0,0.0,26.322789774651387,0.0,0.0,0.0
2030-01-02 16:00:00,0.0,0.0,0.0,0.0,22.477100724742492,0.0,0.0,0.0
2030-01-02 17:00:00,0.0,0.0,0.0,0.0,16.266209754862132,0.0,0.0,0.0
2030-01-02 18:00:00,0.0,0.0,0.0,0.0,8.412496005570713,0.0,0.0,0.0
2030-01-02 19:00:00,0.0,0.0,0.0,0.0,1.4127210757918771,0.0,0.0,0.0
2030-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 09:00:00,0.0,0.0,0.0,0.0,6.096284312081444,0.0,0.0,0.0
2030-01-03 10:00:00,0.0,0.0,0.0,0.0,14.187957165781766,0.0,0.0,0.0
2030-01-03 11:00:00,0.0,0.0,0.0,0.0,20.992387997895307,0.0,0.0,0.0
2030-01-03 12:00:00,0.0,0.0,0.0,0.0,25.88552334933175,0.0,0.0,0.0
2030-01-03 13:00:00,0.0,0.0,0.0,0.0,28.295641799418163,0.0,0.0,0.0
2030-01-03 14:00:00,0.0,0.0,0.0,0.0,28.161978528104605,0.0,0.0,0.0
2030-01-03 15:00:00,0.0,0.0,0.0,0.0,26.580468331305873,0.0,0.0,0.0
2030-01-03 16:00:00,0.0,0.0,0.0,0.0,22.372800288600406,0.0,0.0,0.0
2030-01-03 17:00:00,0.0,0.0,0.0,0.0,16.305073278510466,0.0,0.0,0.0
2030-01-03 18:00:00,0.0,0.0,0.0,0.0,8.33245362576248,0.0,0.0,0.0
2030-01-03 19:00:00,0.0,0.0,0.0,0.0,1.3903042381550896,0.0,0.0,0.0
2030-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
