,Hydro|Reservoir,Electricity|Gas|Fossil|CCGT|w/o CCS,Electricity|Gas|Fossil|OCGT|w/o CCS,Electricity|Oil|w/o CCS,Solar|PV|Utility,Wind|Onshore,Hydro|Run of River,SlackUnit
2030-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 09:00:00,0.0,0.0,0.0,0.0,14.714913415442801,0.0,0.0,0.0
2030-01-01 10:00:00,0.0,0.0,0.0,0.0,33.60770524693204,0.0,0.0,0.0
2030-01-01 11:00:00,0.0,0.0,0.0,0.0,50.07789725895137,0.0,0.0,0.0
2030-01-01 12:00:00,0.0,0.0,0.0,0.0,61.37189460804799,0.0,0.0,0.0
2030-01-01 13:00:00,0.0,0.0,0.0,0.0,66.49832447275539,0.0,0.0,0.0
2030-01-01 14:00:00,0.0,0.0,0.0,0.0,66.64624308032325,0.0,0.0,0.0
2030-01-01 15:00:00,0.0,0.0,0.0,0.0,62.33501005273091,0.0,0.0,0.0
2030-01-01 16:00:00,0.0,0.0,0.0,0.0,52.67255644987502,0.0,0.0,0.0
2030-01-01 17:00:00,0.0,0.0,0.0,0.0,38.48241981803152,0.0,0.0,0.0
2030-01-01 18:00:00,0.0,0.0,0.0,0.0,19.5477094740067,0.0,0.0,0.0
2030-01-01 19:00:00,0.0,0.0,0.0,0.0,3.360359938237082,0.0,0.0,0.0
2030-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 09:00:00,0.0,0.0,0.0,0.0,15.293087935010515,0.0,0.0,0.0
2030-01-02 10:00:00,0.0,0.0,0.0,0.0,34.715547043228206,0.0,0.0,0.0
2030-01-02 11:00:00,0.0,0.0,0.0,0.0,50.784955082061174,0.0,0.0,0.0
2030-01-02 12:00:00,0.0,0.0,0.0,0.0,61.77439831508196,0.0,0.0,0.0
2030-01-02 13:00:00,0.0,0.0,0.0,0.0,67.6241374877591,0.0,0.0,0.0
2030-01-02 14:00:00,0.0,0.0,0.0,0.0,67.25101973284623,0.0,0.0,0.0
2030-01-02 15:00:00,0.0,0.0,0.0,0.0,63.00419073784704,0.0,0.0,0.0
2030-01-02 16:00:00,0.0,0.0,0.0,0.0,53.52313681090473,0.0,0.0,0.0
2030-01-02 17:00:00,0.0,0.0,0.0,0.0,38.48583778905366,0.0,0.0,0.0
2030-01-02 18:00:00,0.0,0.0,0.0,0.0,19.768512551703747,0.0,0.0,0.0
2030-01-02 19:00:00,0.0,0.0,0.0,0.0,3.4222703567511727,0.0,0.0,0.0
2030-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 09:00:00,0.0,0.0,0.0,0.0,15.316487063674607,0.0,0.0,0.0
2030-01-03 10:00:00,0.0,0.0,0.0,0.0,34.35868077317528,0.0,0.0,0.0
2030-01-03 11:00:00,0.0,0.0,0.0,0.0,50.28688791478262,0.0,0.0,0.0
2030-01-03 12:00:00,0.0,0.0,0.0,0.0,60.68647318640847,0.0,0.0,0.0
2030-01-03 13:00:00,0.0,0.0,0.0,0.0,66.46173713514739,0.0,0.0,0.0
2030-01-03 14:00:00,0.0,0.0,0.0,0.0,66.85059045476594,0.0,0.0,0.0
2030-01-03 15:00:00,0.0,0.0,0.0,0.0,62.64303588151162,0.0,0.0,0.0
2030-01-03 16:00:00,0.0,0.0,0.0,0.0,52.801300025041996,0.0,0.0,0.0
2030-01-03 17:00:00,0.0,0.0,0.0,0.0,38.57636027945742,0.0,0.0,0.0
2030-01-03 18:00:00,0.0,0.0,0.0,0.0,19.750616571352023,0.0,0.0,0.0
2030-01-03 19:00:00,0.0,0.0,0.0,0.0,3.2738358290290206,0.0,0.0,0.0
2030-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
