,Hydro|Reservoir,Electricity|Gas|Fossil|CCGT|w/o CCS,Electricity|Gas|Fossil|OCGT|w/o CCS,Electricity|Oil|w/o CCS,Solar|PV|Utility,Wind|Onshore,Hydro|Run of River,SlackUnit
2030-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 09:00:00,0.0,0.0,0.0,0.0,8.445876727771847,0.0,0.0,0.0
2030-01-01 10:00:00,0.0,0.0,0.0,0.0,19.780560741278126,0.0,0.0,0.0
2030-01-01 11:00:00,0.0,0.0,0.0,0.0,29.22811423392854,0.0,0.0,0.0
2030-01-01 12:00:00,0.0,0.0,0.0,0.0,35.573658693003416,0.0,0.0,0.0
2030-01-01 13:00:00,0.0,0.0,0.0,0.0,38.82298320587309,0.0,0.0,0.0
2030-01-01 14:00:00,0.0,0.0,0.0,0.0,38.805859625483045,0.0,0.0,0.0
2030-01-01 15:00:00,0.0,0.0,0.0,0.0,36.13501576013664,0.0,0.0,0.0
2030-01-01 16:00:00,0.0,0.0,0.0,0.0,30.33095184295758,0.0,0.0,0.0
2030-01-01 17:00:00,0.0,0.0,0.0,0.0,21.61662347661688,0.0,0.0,0.0
2030-01-01 18:00:00,0.0,0.0,0.0,0.0,10.606095425886798,0.0,0.0,0.0
2030-01-01 19:00:00,0.0,0.0,0.0,0.0,1.6252253587899677,0.0,0.0,0.0
2030-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 09:00:00,0.0,0.0,0.0,0.0,8.801520320488375,0.0,0.0,0.0
2030-01-02 10:00:00,0.0,0.0,0.0,0.0,20.129071704162953,0.0,0.0,0.0
2030-01-02 11:00:00,0.0,0.0,0.0,0.0,29.71961367906279,0.0,0.0,0.0
2030-01-02 12:00:00,0.0,0.0,0.0,0.0,36.16595675270297,0.0,0.0,0.0
2030-01-02 13:00:00,0.0,0.0,0.0,0.0,39.6135854984744,0.0,0.0,0.0
2030-01-02 14:00:00,0.0,0.0,0.0,0.0,39.63877691962516,0.0,0.0,0.0
2030-01-02 15:00:00,0.0,0.0,0.0,0.0,36.93127542025912,0.0,0.0,0.0
2030-01-02 16:00:00,0.0,0.0,0.0,0.0,31.159436764175666,0.0,0.0,0.0
2030-01-02 17:00:00,0.0,0.0,0.0,0.0,22.345133032326864,0.0,0.0,0.0
2030-01-02 18:00:00,0.0,0.0,0.0,0.0,11.160398895097805,0.0,0.0,0.0
2030-01-02 19:00:00,0.0,0.0,0.0,0.0,1.7327746156244301,0.0,0.0,0.0
2030-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 09:00:00,0.0,0.0,0.0,0.0,8.797568725013749,0.0,0.0,0.0
2030-01-03 10:00:00,0.0,0.0,0.0,0.0,20.304259103538133,0.0,0.0,0.0
2030-01-03 11:00:00,0.0,0.0,0.0,0.0,29.756172523195552,0.0,0.0,0.0
2030-01-03 12:00:00,0.0,0.0,0.0,0.0,36.100254891944815,0.0,0.0,0.0
2030-01-03 13:00:00,0.0,0.0,0.0,0.0,38.96442397989495,0.0,0.0,0.0
2030-01-03 14:00:00,0.0,0.0,0.0,0.0,38.83799926867669,0.0,0.0,0.0
2030-01-03 15:00:00,0.0,0.0,0.0,0.0,35.91709844169581,0.0,0.0,0.0
2030-01-03 16:00:00,0.0,0.0,0.0,0.0,30.66767387934311,0.0,0.0,0.0
2030-01-03 17:00:00,0.0,0.0,0.0,0.0,22.07197240915074,0.0,0.0,0.0
2030-01-03 18:00:00,0.0,0.0,0.0,0.0,10.82889955073125,0.0,0.0,0.0
2030-01-03 19:00:00,0.0,0.0,0.0,0.0,1.6356970867977316,0.0,0.0,0.0
2030-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
