,Dakar,Diourbel,Thies,LS,FKK,ZS,MTKK
0,6347.315419289937,6347.7164946309385,6347.488889609938,6347.8697018244375,6347.847195546938,6347.873275911437,6347.026202395937
1,6347.303715338618,6347.704790679617,6347.477185658617,6347.859605464368,6347.835491595616,6347.863179551367,6347.014498444617
2,6347.300320703867,6347.701396044868,6347.473791023867,6347.857818420867,6347.832096960867,6347.863179551367,6347.011103809868
3,5738.646141935307,5739.047217276307,5738.819612255306,5739.200424469806,5739.177918192306,5739.203998556806,5738.356925041307
4,5738.612904981221,5739.013980322221,5738.786375301219,5739.168795106972,5739.144681238219,5739.173709476594,5738.323688087221
5,5130.2360671893875,5130.463672210388,5130.236067189387,5130.561436195387,5130.535535283137,5130.5650102823865,5129.714542132138
6,5130.0177709281925,5130.418846269193,5130.191241248191,5130.559649151886,5130.533209570691,5130.5650102823865,5129.712216419692
7,5130.003759026138,5130.404834367138,5130.177229346137,5130.550893074442,5130.532140648386,5130.554913922315,5129.711147497388
8,4521.53456292381,4521.783851734811,4521.55624671381,4521.881615719811,4521.861877863935,4521.904023763495,4521.26407343562
9,4521.354608028685,4521.755683369687,4521.528078348685,4521.8811689589365,4521.738341794731,4521.885636567685,4521.040884712936
10,4521.240715577884,4521.641790918884,4521.414185897884,4521.798213294884,4521.72920941469,4521.7712114287315,4520.917348643731
11,3912.8232822597333,3913.094254860735,3912.8666498397333,3913.2017952442347,3913.158649485717,3913.186070132842,3912.337656334718
12,3912.6432108432173,3913.044286184219,3912.8166811632173,3913.1811557632186,3912.971662172476,3913.0045318064763,3912.150669021476
13,3304.1120015956567,3304.404657986658,3304.177052965657,3304.521974768658,3304.4969673781575,3304.6267882661136,3303.986391177363
14,3304.0842799914067,3304.376936382407,3304.149331361407,3304.521974768657,3304.496520617282,3304.5268891382825,3303.6759742271574
15,3303.756721084675,3304.157796425675,3303.9301914046755,3304.314218801676,3304.2457651317604,3304.526889138282,3303.6755274662823
16,2695.39094453308,2695.705284714081,2695.4776796930805,2695.8421542930805,2695.817593663455,2695.9099407439485,2695.3560917790473
17,2695.0396901590834,2695.440765500083,2695.2131604790834,2695.5971878760834,2695.528734206169,2695.8475154235807,2694.996600512456
18,2086.877652742046,2087.278728083046,2087.0511230620464,2087.4351504590463,2087.398745946568,2087.6728381584144,2086.906928555021
19,2086.870597125059,2087.271672466059,2087.044067445059,2087.428094842059,2087.3879451987514,2087.6727158894637,2086.906928555021
20,2086.867035397657,2087.2681107386575,2087.0405057176567,2087.4245331146576,2087.364446817146,2087.645740141521,2086.906928555021
21,2086.8434453143377,2087.244520655338,2087.016915634338,2087.400943031338,2087.358540751585,2087.645740141521,2086.897535338399
22,2086.836691398447,2087.237766739447,2087.0101617184473,2087.3941891154473,2087.3577846029684,2087.6457401415205,2086.886346148828
23,2086.828557335062,2087.2296326760616,2087.0020276550617,2087.386055052062,2087.3371658518176,2087.6016073311666,2086.8835631238285
24,2086.8162560507226,2087.217331391723,2086.9897263707226,2087.3737537677225,2087.3176013821476,2087.5954075554614,2086.8808412333037
25,2086.7056038546393,2087.1066791956387,2086.879074174639,2087.2631015716393,2087.22669705916,2087.5748455538883,2086.8723417974775
26,2086.699216666004,2087.0733790973954,2086.845774076395,2087.2298014733956,2087.1933969609163,2087.496283270929,2086.872219528526
27,2086.6894402675034,2087.065676386081,2086.8380713650813,2087.222098762082,2087.1856942496024,2087.4934698360785,2086.8627957446665
28,2086.672303756395,2087.0448698466057,2086.817264825606,2087.2012922226063,2087.1644279712777,2087.478261658987,2086.8627651774286
29,2086.6646010450813,2087.0444101077564,2086.8168050867566,2087.2008324837566,2087.1328385526917,2087.4732891244603,2086.8565959689613
30,2086.6437945056064,2087.0352406370043,2086.8076356160036,2087.1805468176067,2087.123978907927,2087.473105721034,2086.801134846924
31,2086.6433347667567,2087.025464238504,2086.797859217504,2087.1623338175045,2087.112093147692,2087.4645034150803,2086.7661197412635
32,2086.635788393653,2087.024124441606,2086.796519420606,2087.1623338175036,2087.1032335029267,2087.452933730758,2086.763092178361
33,2086.6354027672537,2087.0151799446535,2086.787574923653,2087.161825922153,2087.0844173698347,2087.443429956753,2086.7603091533615
34,2086.623049100606,2087.014794318254,2086.787189297254,2087.161440295754,2087.083041844134,2087.4346223731864,2086.7575872628368
35,2086.602885703406,2087.003961044406,2086.776356023406,2087.1603834204066,2087.018496168197,2087.4290020366407,2086.7395112069617
36,2086.582140298406,2086.9832156394054,2086.755610618406,2087.1396380154065,2087.0008080460975,2087.4114209465965,2086.72569182858
37,2086.56350756874,2086.9645829097403,2086.73697788874,2087.12100528574,2086.993316383375,2087.4028186406426,2086.72569182858
38,2086.5619486396135,2086.963023980613,2086.735418959613,2087.1194463566135,2086.99210760525,2087.3784425142735,2086.6194263394605
39,2086.479714841577,2086.880790182576,2086.653185161577,2087.037212558577,2086.939107988041,2087.3756594892734,2086.6192429360335
40,2086.47101440073,2086.8720897417293,2086.6444847207295,2087.0285121177294,2086.9387411811877,2087.3465431924988,2086.6192429360335
41,2086.418014783521,2086.8190901245202,2086.5914851035204,2086.9755125005204,2086.930789637666,2087.3465193158036,2086.599070945758
42,2086.4178925145698,2086.818967855569,2086.5913628345693,2086.9753902315697,2086.9305756670014,2087.267971109159,2086.537477873034
43,2086.417647976667,2086.8187233176664,2086.591118296667,2086.9751456936674,2086.9069365616547,2087.0918584107594,2086.2384423866347
44,2086.409696433145,2086.810771774145,2086.5831667531447,2086.967194150145,2086.903681903409,2087.049644719823,2086.195781934823
45,2086.4094824624813,2086.8105578034806,2086.582952782481,2086.966980179481,2086.891998520501,2086.9365515374093,2086.082688752409
46,2086.347797688044,2086.7488730290434,2086.521268008043,2086.9052954050435,2086.868890892564,2086.9248681545014,2086.071005369501
47,1478.2731564489172,1478.6742317899175,1478.4466267689168,1478.8306541659176,1478.8049327059161,1479.4516177763396,1479.0745292381666
48,1478.2318876746551,1478.6329630156554,1478.4053579946549,1478.789385391655,1478.7527765548048,1479.3897495984754,1478.7660258911608
49,1478.231683350284,1478.6327586912835,1478.4051536702834,1478.7891810672838,1478.7526848530915,1479.3897495984754,1478.7660258911608
50,1478.2315916485704,1478.6326669895702,1478.4050619685702,1478.7890893655704,1478.7434313349058,1479.3897495984754,1478.7660075508181
51,1478.2116550779065,1478.6127304189067,1478.3851253979058,1478.7691527949066,1478.7430645280524,1479.3821893155969,1478.7659892104755
52,1478.211288271053,1478.6123636120533,1478.3847585910526,1478.7687859880534,1478.743064528052,1479.3198381753762,1478.7659892104755
53,1478.211288271053,1478.6123636120533,1478.3847585910526,1478.7687859880534,1478.735229140035,1479.3117949301413,1478.7659892104755
54,1478.2034528830343,1478.6045282240345,1478.3769232030347,1478.7609506000344,1478.7203815114615,1479.266746856454,1478.7659892104755
55,1478.1985995283492,1478.5996748693492,1478.3720698483485,1478.756097245349,1478.719325926017,1479.2582451026522,1478.7659892104755
56,1478.1906730748926,1478.5917484158929,1478.3641433948922,1478.7481707918928,1478.7113689053228,1479.2580616992254,1478.7659892104755
57,1478.1746397790098,1478.5757151200098,1478.348110099009,1478.7321374960097,1478.7064160360092,1479.2499267522771,1478.7659892104755
58,1478.1413768479536,1478.5424521889538,1478.3148471679533,1478.6988745649535,1478.673153104954,1479.249926752277,1478.7659892104755
59,1478.1124047942922,1478.5134801352922,1478.2858751142915,1478.669902511292,1478.6441810512915,1479.2050987627017,1478.7659892104755
60,1478.0890191427382,1478.4900944837384,1478.2624894627377,1478.6465168597385,1478.6207953997375,1479.2048786785897,1478.7659892104755
61,1478.0800588803697,1478.48113422137,1478.253529200369,1478.6375565973697,1478.6118351373693,1479.204695275163,1478.7659892104755
62,1478.0795086700896,1478.4805840110898,1478.252978990089,1478.6370063870897,1478.611284927089,1479.1263737999755,1478.7659892104755
63,1478.071557126568,1478.472632467568,1478.2450274465673,1478.629054843568,1478.603333383568,1479.0731907793397,1478.7659892104755
64,1478.0675799866256,1478.4686553276254,1478.2410503066249,1478.6250777036255,1478.5585970957052,1479.073007375913,1478.7659892104755
65,1478.0462078280661,1478.4472831690657,1478.219678148066,1478.6037055450663,1478.5585604150194,1479.073007375913,1478.7659892104755
66,1478.026820838706,1478.4278961797063,1478.200291158705,1478.584318555706,1478.5578268013128,1479.0650558323912,1478.7659892104755
67,1478.0267841580207,1478.4278594990208,1478.2002544780203,1478.5842818750211,1478.556257226858,1479.0120745555244,1478.7659892104755
68,1478.0260505443139,1478.4271258853141,1478.1995208643134,1478.5835482613143,1478.5352518751517,1479.0115426855878,1478.7659892104755
69,1478.0054060111986,1478.4064813521984,1478.1788763311981,1478.5629037281988,1478.526499215719,1479.0115060049022,1478.7659892104755
70,1478.005344876723,1478.4064202177228,1478.1788151967226,1478.5628425937232,1478.5264380812437,1479.0033710579537,1478.7659892104755
71,1477.9646715643573,1478.3657469053571,1478.138141884357,1478.5221692813575,1478.485764768878,1479.0030042511005,1478.7659892104755
72,1477.9644972089986,1478.3655725499984,1478.1379675289986,1478.521994925999,1478.4855904135197,1479.0030042511005,1478.7659892104755
73,1477.9643290891913,1478.365404430191,1478.1377994091906,1478.5218268061915,1478.4796887295522,1479.0030042511005,1478.7659892104755
74,1477.947912472553,1478.3489878135533,1478.1213827925521,1478.505410189553,1478.4533731362767,1479.0030042511005,1478.7659892104755
75,1477.8945460484906,1478.2956213894906,1478.06801636849,1478.4520437654908,1478.4263223054897,1479.0030042511005,1478.7659892104755
76,1477.8945460484906,1478.2956213894906,1478.06801636849,1478.4520437654908,1478.4263223054895,1479.0030042511005,1478.7659892104755
77,1477.894362645064,1478.295437986064,1478.0678329650632,1478.451860362064,1478.426138902063,1479.0030042511005,1478.7659892104755
78,1477.8864111015423,1478.2874864425423,1478.0598814215414,1478.4439088185422,1478.4181873585412,1479.0030042511005,1478.7659892104755
79,1477.882112880418,1478.2831882214175,1478.055583200418,1478.439610597418,1478.3656645902424,1479.0030042511005,1478.7659892104755
80,1477.8411429437426,1478.2422182847426,1478.0146132637426,1478.3986406607426,1478.364857615164,1479.0030042511005,1478.7659892104755
81,1477.8409595403164,1478.2420348813162,1478.0144298603159,1478.3984572573165,1478.3646008503665,1478.9977535078954,1478.31611506791
82,1477.8409595403164,1478.242034881316,1478.0144298603157,1478.3984572573165,1478.3620527448363,1478.936068733458,1478.295347688748
83,1477.840959540316,1478.242034881316,1478.0144298603157,1478.3984572573158,1478.3566859875305,1478.9250319250839,1478.1974400953923
84,1477.8338883332417,1478.2349636742417,1478.0073586532426,1478.3913860502416,1478.3566859875305,1478.922524005224,1478.1972571469578
85,1477.8330813581651,1478.2341566991652,1478.0065516781644,1478.3905790751653,1478.3561357772503,1478.919465875084,1478.1972571469578
86,1477.8328245933678,1478.2338999343679,1478.0062949133671,1478.390322310368,1478.3561357772503,1478.9015732226355,1478.186312040297
87,1477.8327328916546,1478.2338082326542,1478.0062032116539,1478.3902306086545,1478.3561357772503,1478.874566907455,1478.1862203385838
88,1477.832671757179,1478.2337470981784,1478.0061420771785,1478.3901694741787,1478.3561357772503,1478.8615539807226,1478.1835290152972
89,1477.8326411899413,1478.233716530941,1478.0061115099406,1478.3901389069415,1478.3561357772503,1478.85787280236,1478.1835290152972
90,1477.8326106227034,1478.233685963703,1478.0060809427027,1478.3901083397034,1478.356099096565,1478.798848783971,1478.183406746346
91,1477.8249097305315,1478.2259850715316,1477.9983800505306,1478.3824074475315,1478.356099096565,1478.7960050785268,1478.180745990297
92,1477.8249097305315,1478.2259850715316,1477.9983800505306,1478.3824074475315,1478.356099096565,1478.7956382716736,1478.1806542885838
93,1477.8243595202516,1478.2254348612514,1477.9978298402507,1478.3818572372516,1478.356099096565,1478.7956382716736,1478.1627616361352
94,1477.8243595202516,1478.2254348612514,1477.9978298402507,1478.3818572372516,1478.353826096175,1478.7956382716736,1478.162669934422
95,1477.8243595202516,1478.2254348612514,1477.9978298402507,1478.3818572372516,1478.3537649617,1478.7933440258341,1478.162639367184
96,1477.8243595202516,1478.2254348612514,1477.9978298402507,1478.3818572372516,1478.3537343944613,1478.790561000834,1478.1625935163274
97,1477.8243595202514,1478.2254348612514,1477.9978298402507,1478.3818572372516,1478.3537038272239,1478.7791018271237,1478.1487741379456
98,1477.8243228395663,1478.2253981805661,1477.9977931595654,1478.3818205565663,1478.3318428973662,1478.7697630544344,1478.0424016634934
