Time,Thies>Dakar,Dakar>Thies,TotalExportsCountriesIn,TotalImportsCountriesIn
2030-01-01 00:00:00,-0.0,132.6,132.6,0.0
2030-01-01 01:00:00,-0.0,155.7,155.7,0.0
2030-01-01 02:00:00,-0.0,178.8,178.8,0.0
2030-01-01 03:00:00,-0.0,195.0,195.0,0.0
2030-01-01 04:00:00,-0.0,209.4,209.4,0.0
2030-01-01 05:00:00,-0.0,208.8,208.8,0.0
2030-01-01 06:00:00,-0.0,181.1,181.1,0.0
2030-01-01 07:00:00,-0.0,197.3,197.3,0.0
2030-01-01 08:00:00,-0.0,189.8,189.8,0.0
2030-01-01 09:00:00,-0.0,137.7,137.7,0.0
2030-01-01 10:00:00,-0.0,154.3,154.3,0.0
2030-01-01 11:00:00,-0.0,96.0,96.0,0.0
2030-01-01 12:00:00,-0.0,49.7,49.7,0.0
2030-01-01 13:00:00,-0.0,3.2,3.2,0.0
2030-01-01 14:00:00,-0.0,0.6,0.6,0.0
2030-01-01 15:00:00,-0.0,21.6,21.6,0.0
2030-01-01 16:00:00,-0.0,67.4,67.4,0.0
2030-01-01 17:00:00,-0.0,157.2,157.2,0.0
2030-01-01 18:00:00,-0.0,160.5,160.5,0.0
2030-01-01 19:00:00,-0.0,96.8,96.8,0.0
2030-01-01 20:00:00,-0.0,132.6,132.6,0.0
2030-01-01 21:00:00,-0.0,129.9,129.9,0.0
2030-01-01 22:00:00,-0.0,139.5,139.5,0.0
2030-01-01 23:00:00,-0.0,140.6,140.6,0.0
2030-01-02 00:00:00,-0.0,128.6,128.6,0.0
2030-01-02 01:00:00,-0.0,160.9,160.9,0.0
2030-01-02 02:00:00,-0.0,181.1,181.1,0.0
2030-01-02 03:00:00,-0.0,208.8,208.8,0.0
2030-01-02 04:00:00,-0.0,223.3,223.3,0.0
2030-01-02 05:00:00,-0.0,234.2,234.2,0.0
2030-01-02 06:00:00,-0.0,229.0,229.0,0.0
2030-01-02 07:00:00,-0.0,235.4,235.4,0.0
2030-01-02 08:00:00,-0.0,259.1,259.1,0.0
2030-01-02 09:00:00,-0.0,209.7,209.7,0.0
2030-01-02 10:00:00,-0.0,173.2,173.2,0.0
2030-01-02 11:00:00,-0.0,91.0,91.0,0.0
2030-01-02 12:00:00,-0.0,53.3,53.3,0.0
2030-01-02 13:00:00,-0.0,0.0,0.0,0.0
2030-01-02 14:00:00,-0.0,0.0,0.0,0.0
2030-01-02 15:00:00,-0.0,6.0,6.0,0.0
2030-01-02 16:00:00,-0.0,55.5,55.5,0.0
2030-01-02 17:00:00,-0.0,175.0,175.0,0.0
2030-01-02 18:00:00,-0.0,166.5,166.5,0.0
2030-01-02 19:00:00,-0.0,112.6,112.6,0.0
2030-01-02 20:00:00,-0.0,138.9,138.9,0.0
2030-01-02 21:00:00,-0.0,137.8,137.8,0.0
2030-01-02 22:00:00,-0.0,148.8,148.8,0.0
2030-01-02 23:00:00,-0.0,136.1,136.1,0.0
2030-01-03 00:00:00,-0.0,125.7,125.7,0.0
2030-01-03 01:00:00,-0.0,160.9,160.9,0.0
2030-01-03 02:00:00,-0.0,175.4,175.4,0.0
2030-01-03 03:00:00,-0.0,186.3,186.3,0.0
2030-01-03 04:00:00,-0.0,206.5,206.5,0.0
2030-01-03 05:00:00,-0.0,200.8,200.8,0.0
2030-01-03 06:00:00,-0.0,161.5,161.5,0.0
2030-01-03 07:00:00,-0.0,145.9,145.9,0.0
2030-01-03 08:00:00,-0.0,143.0,143.0,0.0
2030-01-03 09:00:00,-0.0,127.0,127.0,0.0
2030-01-03 10:00:00,-0.0,135.9,135.9,0.0
2030-01-03 11:00:00,-0.0,96.9,96.9,0.0
2030-01-03 12:00:00,-0.0,52.8,52.8,0.0
2030-01-03 13:00:00,-0.0,49.4,49.4,0.0
2030-01-03 14:00:00,-0.0,46.5,46.5,0.0
2030-01-03 15:00:00,-0.0,101.2,101.2,0.0
2030-01-03 16:00:00,-0.0,84.6,84.6,0.0
2030-01-03 17:00:00,-0.0,92.8,92.8,0.0
2030-01-03 18:00:00,-0.0,96.7,96.7,0.0
2030-01-03 19:00:00,-0.0,140.5,140.5,0.0
2030-01-03 20:00:00,-0.0,155.9,155.9,0.0
2030-01-03 21:00:00,-0.0,152.8,152.8,0.0
2030-01-03 22:00:00,-0.0,156.2,156.2,0.0
2030-01-03 23:00:00,-0.0,125.9,125.9,0.0
2030-01-04 00:00:00,-0.0,125.7,125.7,0.0
2030-01-04 01:00:00,-0.0,160.9,160.9,0.0
2030-01-04 02:00:00,-0.0,175.4,175.4,0.0
2030-01-04 03:00:00,-0.0,181.5,181.5,0.0
2030-01-04 04:00:00,-0.0,167.1,167.1,0.0
2030-01-04 05:00:00,-0.0,188.1,188.1,0.0
