Time,Solar|PV|Utility,Electricity|Gas|Fossil|CCGT|w/o CCS,Electricity|Gas|Fossil|OCGT|w/o CCS,Electricity|Oil|w/o CCS,SlackUnit
2030-01-01 00:00:00,0.0,473.8,218.7,0.0,0
2030-01-01 01:00:00,0.0,473.8,218.7,0.0,0
2030-01-01 02:00:00,0.0,473.8,218.7,0.0,0
2030-01-01 03:00:00,0.0,473.8,218.7,0.0,0
2030-01-01 04:00:00,0.0,473.8,218.7,0.0,0
2030-01-01 05:00:00,0.0,473.8,218.7,0.0,0
2030-01-01 06:00:00,0.0,473.8,218.7,0.0,0
2030-01-01 07:00:00,0.0,473.8,218.7,0.0,0
2030-01-01 08:00:00,0.0,473.8,218.7,0.0,0
2030-01-01 09:00:00,4.5,473.8,218.7,0.0,0
2030-01-01 10:00:00,11.2,473.8,218.7,0.0,0
2030-01-01 11:00:00,17.6,473.8,143.1,0.0,0
2030-01-01 12:00:00,21.9,473.8,74.7,0.0,0
2030-01-01 13:00:00,25.3,473.8,25.2,0.0,0
2030-01-01 14:00:00,25.0,473.8,13.2,0.0,0
2030-01-01 15:00:00,23.0,473.8,43.1,0.0,0
2030-01-01 16:00:00,21.1,473.8,82.7,0.0,0
2030-01-01 17:00:00,15.6,473.8,199.8,0.0,0
2030-01-01 18:00:00,8.8,473.8,218.7,0.0,0
2030-01-01 19:00:00,1.6,473.8,218.7,0.0,0
2030-01-01 20:00:00,0.0,473.8,218.7,25.0,0
2030-01-01 21:00:00,0.0,473.8,218.7,17.1,0
2030-01-01 22:00:00,0.0,473.8,218.7,13.2,0
2030-01-01 23:00:00,0.0,473.8,218.7,22.9,0
2030-01-02 00:00:00,0.0,473.8,218.7,0.0,0
2030-01-02 01:00:00,0.0,473.8,218.7,0.0,0
2030-01-02 02:00:00,0.0,473.8,218.7,0.0,0
2030-01-02 03:00:00,0.0,473.8,218.7,0.0,0
2030-01-02 04:00:00,0.0,473.8,218.7,0.0,0
2030-01-02 05:00:00,0.0,473.8,218.7,0.0,0
2030-01-02 06:00:00,0.0,473.8,218.7,0.0,0
2030-01-02 07:00:00,0.0,473.8,218.7,0.0,0
2030-01-02 08:00:00,0.0,473.8,218.7,0.0,0
2030-01-02 09:00:00,2.1,473.8,190.9,0.0,0
2030-01-02 10:00:00,7.4,473.8,140.5,0.0,0
2030-01-02 11:00:00,13.5,473.8,23.3,0.0,0
2030-01-02 12:00:00,16.2,466.5,0.0,0.0,0
2030-01-02 13:00:00,20.8,417.8,0.0,0.0,0
2030-01-02 14:00:00,22.1,422.9,0.0,0.0,0
2030-01-02 15:00:00,21.6,457.7,0.0,0.0,0
2030-01-02 16:00:00,18.9,473.8,82.8,0.0,0
2030-01-02 17:00:00,12.3,473.8,218.7,0.0,0
2030-01-02 18:00:00,6.8,473.8,218.7,0.0,0
2030-01-02 19:00:00,0.9,473.8,218.7,4.1,0
2030-01-02 20:00:00,0.0,473.8,218.7,10.8,0
2030-01-02 21:00:00,0.0,473.8,218.7,42.0,0
2030-01-02 22:00:00,0.0,473.8,218.7,47.3,0
2030-01-02 23:00:00,0.0,473.8,218.7,21.6,0
2030-01-03 00:00:00,0.0,473.8,218.7,0.0,0
2030-01-03 01:00:00,0.0,473.8,218.7,0.0,0
2030-01-03 02:00:00,0.0,473.8,218.7,0.0,0
2030-01-03 03:00:00,0.0,473.8,218.7,0.0,0
2030-01-03 04:00:00,0.0,473.8,218.7,0.0,0
2030-01-03 05:00:00,0.0,473.8,218.7,0.0,0
2030-01-03 06:00:00,0.0,473.8,218.7,0.0,0
2030-01-03 07:00:00,0.0,473.8,218.7,0.0,0
2030-01-03 08:00:00,0.0,473.8,218.7,0.0,0
2030-01-03 09:00:00,3.6,473.8,218.7,0.0,0
2030-01-03 10:00:00,9.6,473.8,218.7,0.0,0
2030-01-03 11:00:00,14.2,473.8,163.5,0.0,0
2030-01-03 12:00:00,18.5,473.8,121.5,0.0,0
2030-01-03 13:00:00,18.9,473.8,134.1,0.0,0
2030-01-03 14:00:00,22.5,473.8,118.1,0.0,0
2030-01-03 15:00:00,16.0,473.8,218.7,0.0,0
2030-01-03 16:00:00,11.7,473.8,218.7,0.0,0
2030-01-03 17:00:00,9.8,473.8,218.7,0.0,0
2030-01-03 18:00:00,5.2,473.8,218.7,0.0,0
2030-01-03 19:00:00,0.5,473.8,218.7,78.4,0
2030-01-03 20:00:00,0.0,473.8,218.7,84.1,0
2030-01-03 21:00:00,0.0,473.8,218.7,74.6,0
2030-01-03 22:00:00,0.0,473.8,218.7,64.1,0
2030-01-03 23:00:00,0.0,473.8,218.7,34.1,0
2030-01-04 00:00:00,0.0,473.8,218.7,0.0,0
2030-01-04 01:00:00,0.0,473.8,218.7,0.0,0
2030-01-04 02:00:00,0.0,473.8,218.7,0.0,0
2030-01-04 03:00:00,0.0,473.8,213.9,0.0,0
2030-01-04 04:00:00,0.0,473.8,179.2,0.0,0
2030-01-04 05:00:00,0.0,473.8,206.0,0.0,0
2030-01-04 06:00:00,0.0,473.8,218.7,0.0,0
2030-01-04 07:00:00,0.0,473.8,218.7,0.0,0
2030-01-04 08:00:00,0.0,473.8,218.7,0.0,0
2030-01-04 09:00:00,3.4,473.8,218.7,0.0,0
2030-01-04 10:00:00,9.3,473.8,218.7,0.0,0
2030-01-04 11:00:00,12.7,473.8,148.0,0.0,0
2030-01-04 12:00:00,18.2,473.8,83.1,0.0,0
2030-01-04 13:00:00,22.7,473.8,71.3,0.0,0
2030-01-04 14:00:00,22.2,473.8,91.4,0.0,0
2030-01-04 15:00:00,23.1,473.8,153.7,0.0,0
2030-01-04 16:00:00,18.9,473.8,218.7,0.0,0
2030-01-04 17:00:00,12.7,473.8,218.7,0.0,0
2030-01-04 18:00:00,5.8,473.8,218.7,0.0,0
2030-01-04 19:00:00,1.3,473.8,218.7,22.1,0
2030-01-04 20:00:00,0.0,473.8,218.7,42.9,0
2030-01-04 21:00:00,0.0,473.8,218.7,31.8,0
2030-01-04 22:00:00,0.0,473.8,218.7,34.9,0
2030-01-04 23:00:00,0.0,473.8,218.7,24.0,0
2030-01-05 00:00:00,0.0,473.8,218.7,0.0,0
2030-01-05 01:00:00,0.0,473.8,218.7,0.0,0
2030-01-05 02:00:00,0.0,473.8,218.7,0.0,0
2030-01-05 03:00:00,0.0,473.8,218.7,0.0,0
2030-01-05 04:00:00,0.0,473.8,218.7,0.0,0
2030-01-05 05:00:00,0.0,473.8,218.7,0.0,0
2030-01-05 06:00:00,0.0,473.8,218.7,0.0,0
2030-01-05 07:00:00,0.0,473.8,218.7,0.0,0
2030-01-05 08:00:00,0.0,473.8,218.7,0.0,0
2030-01-05 09:00:00,3.0,473.8,218.7,0.0,0
2030-01-05 10:00:00,4.8,473.8,218.7,0.0,0
2030-01-05 11:00:00,13.2,473.8,199.6,0.0,0
2030-01-05 12:00:00,16.4,473.8,152.7,0.0,0
2030-01-05 13:00:00,17.7,473.8,130.6,0.0,0
2030-01-05 14:00:00,17.8,473.8,81.2,0.0,0
2030-01-05 15:00:00,17.0,473.8,181.9,0.0,0
2030-01-05 16:00:00,16.4,473.8,218.7,0.0,0
