Time,Wind|Onshore,Solar|PV|Utility,Electricity|Gas|Fossil|CCGT|w/o CCS,Electricity|Oil|w/o CCS,SlackUnit
2030-01-01 00:00:00,95.8,0.0,164.0,23.4,0
2030-01-01 01:00:00,95.0,0.0,164.0,0.0,0
2030-01-01 02:00:00,101.9,0.0,164.0,0.0,0
2030-01-01 03:00:00,108.7,0.0,164.0,0.0,0
2030-01-01 04:00:00,106.8,0.0,164.0,0.0,0
2030-01-01 05:00:00,93.2,0.0,164.0,0.0,0
2030-01-01 06:00:00,87.0,0.0,164.0,0.0,0
2030-01-01 07:00:00,81.3,0.0,164.0,0.0,0
2030-01-01 08:00:00,71.6,0.0,164.0,0.0,0
2030-01-01 09:00:00,49.9,38.8,164.0,0.0,0
2030-01-01 10:00:00,34.9,94.0,164.0,0.0,0
2030-01-01 11:00:00,30.8,145.2,164.0,0.0,0
2030-01-01 12:00:00,35.0,179.4,164.0,0.0,0
2030-01-01 13:00:00,38.7,208.9,164.0,0.0,0
2030-01-01 14:00:00,39.7,209.2,164.0,0.0,0
2030-01-01 15:00:00,38.6,187.1,164.0,0.0,0
2030-01-01 16:00:00,38.1,165.4,164.0,0.0,0
2030-01-01 17:00:00,43.5,118.5,164.0,0.0,0
2030-01-01 18:00:00,49.6,67.5,164.0,0.0,0
2030-01-01 19:00:00,58.3,12.9,164.0,72.0,0
2030-01-01 20:00:00,56.5,0.0,164.0,100.0,0
2030-01-01 21:00:00,49.9,0.0,164.0,100.0,0
2030-01-01 22:00:00,45.2,0.0,164.0,100.0,0
2030-01-01 23:00:00,39.7,0.0,164.0,100.0,0
2030-01-02 00:00:00,33.5,0.0,164.0,96.8,0
2030-01-02 01:00:00,25.1,0.0,164.0,46.5,0
2030-01-02 02:00:00,17.3,0.0,164.0,18.7,0
2030-01-02 03:00:00,14.7,0.0,164.0,0.0,0
2030-01-02 04:00:00,14.1,0.0,164.0,0.0,0
2030-01-02 05:00:00,16.2,0.0,164.0,0.0,0
2030-01-02 06:00:00,20.3,0.0,164.0,0.0,0
2030-01-02 07:00:00,29.0,0.0,164.0,0.0,0
2030-01-02 08:00:00,41.1,0.0,164.0,0.0,0
2030-01-02 09:00:00,53.0,19.8,164.0,0.0,0
2030-01-02 10:00:00,69.9,54.4,164.0,0.0,0
2030-01-02 11:00:00,55.8,108.0,164.0,0.0,0
2030-01-02 12:00:00,51.9,136.3,164.0,0.0,0
2030-01-02 13:00:00,50.5,172.8,162.8,0.0,0
2030-01-02 14:00:00,45.5,191.2,149.4,0.0,0
2030-01-02 15:00:00,38.4,178.2,164.0,0.0,0
2030-01-02 16:00:00,32.1,158.6,164.0,0.0,0
2030-01-02 17:00:00,24.2,98.1,164.0,0.0,0
2030-01-02 18:00:00,23.2,54.8,164.0,0.0,0
2030-01-02 19:00:00,23.4,7.3,164.0,100.0,0
2030-01-02 20:00:00,24.1,0.0,164.0,100.0,0
2030-01-02 21:00:00,25.4,0.0,164.0,100.0,0
2030-01-02 22:00:00,19.3,0.0,164.0,100.0,0
2030-01-02 23:00:00,21.1,0.0,164.0,100.0,0
2030-01-03 00:00:00,23.0,0.0,164.0,93.6,0
2030-01-03 01:00:00,26.2,0.0,164.0,37.9,0
2030-01-03 02:00:00,30.8,0.0,164.0,0.0,0
2030-01-03 03:00:00,35.6,0.0,164.0,0.0,0
2030-01-03 04:00:00,46.1,0.0,164.0,0.0,0
2030-01-03 05:00:00,61.0,0.0,164.0,0.0,0
2030-01-03 06:00:00,75.8,0.0,164.0,0.0,0
2030-01-03 07:00:00,92.4,0.0,164.0,0.0,0
2030-01-03 08:00:00,105.4,0.0,164.0,0.0,0
2030-01-03 09:00:00,108.0,28.8,164.0,0.0,0
2030-01-03 10:00:00,92.6,80.3,164.0,0.0,0
2030-01-03 11:00:00,94.0,119.6,164.0,0.0,0
2030-01-03 12:00:00,86.3,158.5,164.0,0.0,0
2030-01-03 13:00:00,64.5,175.7,164.0,0.0,0
2030-01-03 14:00:00,44.8,188.6,164.0,0.0,0
2030-01-03 15:00:00,28.5,148.0,164.0,0.0,0
2030-01-03 16:00:00,19.0,97.4,164.0,0.0,0
2030-01-03 17:00:00,16.5,74.6,164.0,12.7,0
2030-01-03 18:00:00,19.3,36.1,164.0,53.6,0
2030-01-03 19:00:00,26.2,4.6,164.0,100.0,0
2030-01-03 20:00:00,37.1,0.0,164.0,100.0,0
2030-01-03 21:00:00,49.1,0.0,164.0,100.0,0
2030-01-03 22:00:00,43.6,0.0,164.0,100.0,0
2030-01-03 23:00:00,53.0,0.0,164.0,100.0,0
2030-01-04 00:00:00,73.3,0.0,164.0,47.7,0
2030-01-04 01:00:00,125.8,0.0,164.0,0.0,0
2030-01-04 02:00:00,162.5,0.0,164.0,0.0,0
2030-01-04 03:00:00,179.3,0.0,164.0,0.0,0
2030-01-04 04:00:00,182.6,0.0,164.0,0.0,0
2030-01-04 05:00:00,151.3,0.0,164.0,0.0,0
2030-01-04 06:00:00,174.9,0.0,164.0,0.0,0
2030-01-04 07:00:00,184.8,0.0,164.0,0.0,0
2030-01-04 08:00:00,174.7,0.0,164.0,0.0,0
2030-01-04 09:00:00,151.8,29.0,164.0,0.0,0
2030-01-04 10:00:00,86.0,68.6,164.0,0.0,0
2030-01-04 11:00:00,90.7,111.9,164.0,0.0,0
2030-01-04 12:00:00,91.0,158.2,164.0,0.0,0
2030-01-04 13:00:00,74.7,194.1,164.0,0.0,0
2030-01-04 14:00:00,51.0,165.2,164.0,0.0,0
2030-01-04 15:00:00,38.3,183.1,164.0,0.0,0
2030-01-04 16:00:00,33.1,151.3,164.0,0.0,0
2030-01-04 17:00:00,35.0,101.1,164.0,0.0,0
2030-01-04 18:00:00,49.9,38.6,164.0,6.7,0
2030-01-04 19:00:00,72.3,10.0,164.0,100.0,0
2030-01-04 20:00:00,91.0,0.0,164.0,100.0,0
2030-01-04 21:00:00,90.3,0.0,164.0,100.0,0
2030-01-04 22:00:00,68.3,0.0,164.0,100.0,0
2030-01-04 23:00:00,58.1,0.0,164.0,100.0,0
2030-01-05 00:00:00,63.6,0.0,164.0,53.0,0
2030-01-05 01:00:00,89.8,0.0,164.0,0.0,0
2030-01-05 02:00:00,102.0,0.0,164.0,0.0,0
2030-01-05 03:00:00,111.7,0.0,164.0,0.0,0
2030-01-05 04:00:00,77.7,0.0,164.0,0.0,0
