,MTKK-0,MTKK-1,MTKK-2,MTKK-3,MTKK-4,MTKK-5,MTKK-6,MTKK-7,MTKK-8,MTKK-9,MTKK-10,MTKK-11,MTKK-12,MTKK-13,MTKK-14,MTKK-15
2030-01-01 00:00:00,364837.87776939926,364830.4476440944,364821.32783748035,364859.2324358725,364842.0621523307,364821.7128906691,364830.5438850023,364964.6121036916,364869.4108489435,364922.8975974293,364885.9562952996,364856.2485949674,364919.3799497296,364927.62754898105,364842.9478806,364821.01775074296
2030-01-01 01:00:00,364707.0228167291,364676.16443604254,364648.581251168,364798.95903906174,364692.979107288,364702.988055922,364759.27137640415,364984.8529341106,364788.6893583883,364901.55619475746,364815.5745444864,364769.38233474543,364897.07053727424,364921.2212945345,364709.72746394074,364653.407090592
2030-01-01 02:00:00,364632.4764281185,364575.32619612874,364524.8620516528,364775.5301053689,364573.2699539488,364640.65538467176,364726.8418447888,365005.0937645297,364749.0112414144,364919.59698932566,364786.7440024494,364735.0245845265,364912.505830186,364943.6445129334,364624.0934710446,364524.4632232213
2030-01-01 03:00:00,364594.3568838131,364503.7183962064,364440.43709283374,364777.50427771657,364495.1913793798,364610.14496699,364737.54603024473,365025.3345949488,364722.22440407606,364942.7069737935,364775.8386124864,364724.8619649796,364937.52063484007,364977.26677974575,364584.2792847011,364424.9205539884
2030-01-01 04:00:00,364578.98641013936,364449.2511180293,364392.9474893116,364793.7193175684,364465.9048302174,364588.51954497024,364758.02879619406,365045.5754253679,364716.62198281783,364965.8169582612,364780.4556732409,364722.5433155195,364962.53543949407,365010.88904655824,364583.4573367346,364362.55015964824
2030-01-01 05:00:00,364568.05771269073,364388.6586947072,364354.93298625137,364806.27878721984,364459.0072535506,364589.05628636293,364778.5115621435,365065.81625578686,364720.6640685812,364988.92694272887,364771.3666765799,364721.08928874007,364987.5502441482,365044.51131337066,364608.55599774094,364314.28532424493
2030-01-01 06:00:00,364523.12811047566,364281.56772110495,364273.1074900157,364778.11084145535,364428.8210181742,364576.05174581206,364798.9943280929,365086.057086206,364694.0940402457,365003.8231013506,364709.70870085096,364683.2457300599,365012.56504880224,365078.13358018314,364612.99549123814,364231.80282523826
2030-01-01 07:00:00,364500.5470131224,364155.52566626994,364174.4460869237,364718.9417794991,364381.56196303613,364597.7646364812,364819.47709404235,365106.297916625,364656.18276760366,364983.24827100575,364613.6767202392,364664.8226510544,365037.57985345623,365111.7558469955,364597.9653301744,364135.7024547154
2030-01-01 08:00:00,364465.26787498005,364035.6736956015,364083.86195248127,364667.4018196164,364333.9023463948,364619.4775271503,364839.9598599917,365126.5387470441,364625.1677283764,364960.0775850723,364515.49850559194,364631.5292556637,365062.5946581104,365145.37811380794,364587.326199404,364049.2742691542
2030-01-01 09:00:00,364409.9696731044,363974.05986442976,364015.3913956262,364666.9305165536,364323.9253907961,364641.19041781937,364860.44262594107,365146.7795774632,364638.7031929341,364952.9470554887,364456.405985734,364603.2860651432,365087.6094627644,365179.0003806204,364612.98265026626,363997.3317148198
2030-01-01 10:00:00,364401.1989080099,363987.2655754018,363984.9859580181,364685.733361671,364351.29271015926,364662.9033084885,364880.92539189046,365167.0204078822,364657.9967243687,364941.39578901406,364452.3817966145,364608.71558139456,365112.62426741846,365212.6226474328,364647.5351785888,364018.3494655628
2030-01-01 11:00:00,364432.06106217334,364012.6040959962,364006.3137954984,364704.5362067883,364384.1653176498,364684.61619915767,364901.40815783985,365187.2612383013,364677.2902558034,364964.50577348174,364477.56357035966,364637.870553724,365137.63907207246,365246.2449142452,364682.08770691126,364039.36721630575
