Timestep,Hydro|Reservoir_MTKK_0
0,364859.23243587254547
1,364798.95903906179592
2,364775.5301053688745
3,364777.50427771656541
4,364793.71931756840786
5,364806.2787872198387
6,364778.11084145540372
7,364718.94177949905861
8,364667.40181961643975
9,364666.93051655363524
10,364685.73336167098023
11,364704.53620678832522
12,364723.3390519056702
13,364742.14189702301519
14,364760.94474214036018
15,364779.74758725770516
16,364782.89363640162628
17,364708.20417135948082
18,364555.97951392107643
19,364374.78235903842142
20,364193.58520415576641
21,364012.38804927311139
22,363831.19089439045638
23,363649.99373950780137
24,363496.76705807883991
25,363412.8203832063009
26,363376.42433597298805
27,363367.74931815115269
28,363386.34147196297999
29,363402.43640893878182
30,363373.93252390093403
31,363340.53005543141626
32,363319.24618356418796
33,363337.85479860054329
34,363356.46341363689862
35,363375.07202867325395
36,363393.68064370960928
37,363412.28925874596462
38,363430.89787378231995
39,363449.50648881867528
40,363422.98581831535557
41,363315.70560660329647
42,363157.95927855832269
43,362976.56789359467803
44,362795.17650863103336
45,362613.78512366738869
46,362432.39373870374402
47,362251.00235374009935
48,362069.49511212005746
49,361887.98787050001556
50,361758.98278533358825
51,361679.6877582166926
52,361645.25149047927698
53,361632.4627853340935
54,361603.54117514338577
55,361569.46776543790475
56,361535.84792827238562
57,361541.71631388482638
58,361560.20907226478448
59,361578.70183064474259
60,361597.19458902470069
61,361615.68734740465879
62,361634.1801057846169
63,361652.672864164575
64,361623.45303931587841
65,361526.5181223283289
66,361352.03780487651238
67,361170.53056325647049
68,360989.02332163642859
69,360807.5160800163867
70,360626.0088383963448
71,360444.5015967763029
72,360262.87168325547827
73,360081.24176973465364
74,359913.29312994290376
75,359785.23360281641362
76,359694.9813480694429
77,359634.84745621052571
78,359551.22234879859025
79,359497.35988163331058
80,359445.47029160062084
81,359414.18760565412231
82,359432.55769213329768
83,359450.92777861247305
84,359469.29786509164842
85,359487.66795157082379
86,359506.03803804999916
87,359524.40812452917453
88,359542.7782110083499
89,359507.1597728729248
90,359379.34577158174943
91,359197.7158580609248
92,359016.08594454010017
93,358834.45603101927554
94,358652.82611749845091
95,358471.19620397762628
96,358291.30490144510986
97,358187.02283901238116
98,358115.75472050323151
99,358081.27485300967237
